"","x"
"1","RECORD_TYPE"
"2","JOIN_KEY"
"3","T_TABLE"
"4","CRUISE"
"5","PERMIT"
"6","VESSEL"
"7","VESSEL_LENGTH"
"8","HAUL_SEQ"
"9","HAUL_JOIN"
"10","TRIP_SEQ"
"11","TRIP_JOIN"
"12","HAUL_DATE"
"13","HAUL"
"14","HAUL_PURPOSE_CODE"
"15","GEAR_TYPE"
"16","PERFORMANCE"
"17","VESSEL_TYPE"
"18","DEPLOYMENT_DATE"
"19","DEPLOY_LATITUDE"
"20","DEPLOY_LONGITUDE"
"21","DEPLOY_LONGITUDE_CONVERTED"
"22","DEPLOY_LONGITUDE_SECONDS"
"23","DEPLOY_LATITUDE_SECONDS"
"24","DEPLOY_E_W"
"25","FISHING_DEPTH_FATHOMS"
"26","BOTTOM_DEPTH_FATHOMS"
"27","RETRIEVAL_DATE"
"28","DURATION_IN_MIN"
"29","LOCATION"
"30","RETRV_LATITUDE"
"31","RETRV_LONGITUDE"
"32","RETRV_LATITUDE_SECONDS"
"33","RETRV_LONGITUDE_SECONDS"
"34","RETRV_LONGITUDE_CONVERTED"
"35","RETRV_E_W"
"36","GENERIC_AREA"
"37","NMFS_AREA"
"38","COBLZ_AREA"
"39","VESSEL_ESTIMATE"
"40","OFFICIAL_TOTAL_CATCH"
"41","OBSERVER_ESTIMATE"
"42","OBSERVER_ESTIMATE_METHOD"
"43","DENSITY"
"44","CATCHER_BOAT_ADFG"
"45","IFQ"
"46","CDQ_CODE"
"47","SKATES_IN_SET"
"48","HOOKS_PER_SKATE"
"49","TOTAL_HOOK_POTS"
"50","HAUL_SAMPLED_BY"
"51","RANDOM_SAMPLE_TABLE"
"52","RANDOM_BREAK_TABLE"
"53","MM_PERCENT_MONITORED"
"54","BIRD_DETERRENCE"
"55","BIRD_VERIFICATION"
"56","PROCESSOR"
"57","FISHING_START_DATE"
"58","DATE_OF_ENTRY"
"59","YEAR"
"60","LATDD_END"
"61","LONDD_END"
"62","LATDD_START"
"63","LONDD_START"
"64","SEABIRD_SAMPLE_TYPE"
"65","ATLAS_VERSION"
"66","AKFIN_LOAD_DATE"
"67","GEAR_DESCRIPTION"
"68","AK_GEAR"
"69","GEAR_PERFORMANCE_DESCRIPTION"
"70","FMP_AREA"
"71","FMP_SUBAREA"
"72","FMP_GEAR"
"73","AKFIN_VDATE"
