"","x"
"1","RECORD_TYPE"
"2","JOIN_KEY"
"3","SPECIES_KEY"
"4","SEX_KEY"
"5","T_TABLE"
"6","CRUISE"
"7","PERMIT"
"8","HAUL_JOIN"
"9","PORT_JOIN"
"10","LENGTH_SEQ"
"11","VESSEL"
"12","HAUL_OFFLOAD_DATE"
"13","HAUL_OFFLOAD"
"14","GEAR"
"15","NMFS_AREA"
"16","LATDD_START"
"17","LONDD_START"
"18","LATDD_END"
"19","LONDD_END"
"20","SPECIES"
"21","SEX"
"22","LENGTH"
"23","FREQUENCY"
"24","EGGS"
"25","YEAR"
"26","VIABILITY"
"27","INJURY"
"28","SAMPLE_SYSTEM"
"29","PERFORMANCE"
"30","AKFIN_LOAD_DATE"
"31","GEAR_DESCRIPTION"
"32","GEAR_PERFORMANCE_DESCRIPTION"
"33","AKR_GEAR"
"34","FMP_GEAR"
"35","FMP_AREA"
"36","FMP_SUBAREA"
"37","SPECIES_NAME"
"38","AKR_SPECIES_CODE"
"39","AKFIN_VDATE"
