"","x"
"1","RECORD_TYPE"
"2","JOIN_KEY"
"3","SPECIES_KEY"
"4","SEX_KEY"
"5","T_TABLE"
"6","CRUISE"
"7","PERMIT"
"8","VESSEL"
"9","GEAR"
"10","NMFS_AREA"
"11","LATDD_START"
"12","LONDD_START"
"13","LATDD_END"
"14","LONDD_END"
"15","LENGTH_SEQ"
"16","PERFORMANCE"
"17","FISHING_DEPTH"
"18","BOTTOM_DEPTH"
"19","LENGTH"
"20","WEIGHT"
"21","SPECIES"
"22","SEX"
"23","HAUL_OFFLOAD_DATE"
"24","HAUL_OFFLOAD"
"25","SPECIMEN_NUMBER"
"26","AGE"
"27","MATURITY_CODE"
"28","MATURITY_DESCRIPTION"
"29","SPECIMEN_TYPE"
"30","SPECIMEN_TYPE_DESCRIPTION"
"31","HAUL_JOIN"
"32","PORT_JOIN"
"33","YEAR"
"34","VIABILITY"
"35","INJURY"
"36","SPECIAL_PROJECT_CODE"
"37","SAMPLE_SYSTEM"
"38","AKFIN_LOAD_DATE"
"39","GEAR_DESCRIPTION"
"40","GEAR_PERFORMANCE_DESCRIPTION"
"41","AKR_GEAR"
"42","FMP_GEAR"
"43","FMP_AREA"
"44","FMP_SUBAREA"
"45","SPECIES_NAME"
"46","AKR_SPECIES_CODE"
"47","AKFIN_VDATE"
