"","YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
"1",2018,2018-04-12,301,"GOA",1533.58
"2",2018,2018-04-14,301,"GOA",52.59
"3",2018,2018-09-22,301,"GOA",25651
"4",2018,2018-09-25,301,"GOA",179.72
"5",2018,2018-09-27,301,"GOA",31693.18
"6",2018,2018-09-25,301,"GOA",1309.66
"7",2018,2018-09-25,301,"GOA",385.44
"8",2018,2018-09-26,301,"GOA",21203.55
"9",2018,2018-05-02,301,"GOA",2721.43
"10",2018,2018-05-02,301,"GOA",3094.34
"11",2018,2018-05-02,301,"GOA",7015.82
"12",2018,2018-05-02,301,"GOA",3470.31
"13",2018,2018-05-03,301,"GOA",16349.25
"14",2018,2018-05-03,301,"GOA",7821.58
"15",2018,2018-10-07,301,"GOA",13.03
"16",2018,2018-10-08,301,"GOA",141.02
"17",2018,2018-10-09,301,"GOA",106.72
"18",2018,2018-10-09,301,"GOA",78.48
"19",2018,2018-10-11,301,"GOA",137.53
"20",2018,2018-10-12,301,"GOA",295.28
"21",2018,2018-05-03,301,"GOA",32838.66
"22",2018,2018-05-06,301,"GOA",60.23
"23",2018,2018-05-06,301,"GOA",22.62
"24",2018,2018-05-07,301,"GOA",279.29
"25",2018,2018-05-07,301,"GOA",77.81
"26",2018,2018-05-07,301,"GOA",16.6
"27",2018,2018-05-07,301,"GOA",73.26
"28",2018,2018-05-09,301,"GOA",88909.41
"29",2018,2018-05-12,301,"GOA",82660.53
"30",2018,2018-05-13,301,"GOA",27016.14
"31",2018,2018-05-13,301,"GOA",21756.44
"32",2018,2018-05-15,301,"GOA",36.11
"33",2018,2018-05-16,301,"GOA",24803.09
"34",2018,2018-05-21,301,"GOA",79578.44
"35",2018,2018-10-14,301,"GOA",79.65
"36",2018,2018-09-25,301,"GOA",610.03
"37",2018,2018-09-26,301,"GOA",277
"38",2018,2018-09-26,301,"GOA",3771.47
"39",2018,2018-09-26,301,"GOA",10593.67
"40",2018,2018-09-26,301,"GOA",19756.63
"41",2018,2018-05-07,301,"GOA",2612.85
"42",2018,2018-06-01,301,"GOA",21248.58
"43",2018,2018-10-15,301,"GOA",683.79
"44",2018,2018-10-19,301,"GOA",257.35
"45",2018,2018-10-21,301,"GOA",10.17
"46",2018,2018-06-01,301,"GOA",37022
"47",2018,2018-06-01,301,"GOA",45360
"48",2018,2018-06-03,301,"GOA",32830.46
"49",2018,2018-06-03,301,"GOA",45517
"50",2018,2018-06-03,301,"GOA",15880
"51",2018,2018-06-05,301,"GOA",21983
"52",2018,2018-06-05,301,"GOA",32720.14
"53",2018,2018-06-05,301,"GOA",68040
"54",2018,2018-10-22,301,"GOA",3.49
"55",2018,2018-10-22,301,"GOA",2256.86
"56",2018,2018-10-23,301,"GOA",830.79
"57",2018,2018-10-24,301,"GOA",106.39
"58",2018,2018-10-25,301,"GOA",117.8
"59",2018,2018-10-26,301,"GOA",30.8
"60",2018,2018-10-26,301,"GOA",74.01
"61",2018,2018-09-19,301,"GOA",903.29
"62",2018,2018-09-19,301,"GOA",11779.09
"63",2018,2018-09-20,301,"GOA",326.52
"64",2018,2018-09-20,301,"GOA",73.26
"65",2018,2018-10-23,301,"GOA",372.54
"66",2018,2018-10-23,301,"GOA",56765.32
"67",2018,2018-10-23,301,"GOA",575.81
"68",2018,2018-10-24,301,"GOA",4630.08
"69",2018,2018-10-24,301,"GOA",123.28
"70",2018,2018-10-24,301,"GOA",29063.67
"71",2018,2018-10-26,301,"GOA",135.72
"72",2018,2018-10-13,301,"GOA",8.98
"73",2018,2018-10-13,301,"GOA",8.84
"74",2018,2018-10-13,301,"GOA",67.93
"75",2018,2018-05-14,301,"GOA",43962
"76",2018,2018-05-14,301,"GOA",37095
"77",2018,2018-05-14,301,"GOA",30679
"78",2018,2018-10-04,301,"GOA",162.27
"79",2018,2018-10-26,301,"GOA",336.56
"80",2018,2018-10-26,301,"GOA",759.22
"81",2018,2018-10-30,301,"GOA",5969.61
"82",2018,2018-10-30,301,"GOA",55189.06
"83",2018,2018-04-07,301,"GOA",40.81
"84",2018,2018-04-07,301,"GOA",107.72
"85",2018,2018-04-08,301,"GOA",360.82
"86",2018,2018-04-08,301,"GOA",97.15
"87",2018,2018-04-08,301,"GOA",144.28
"88",2018,2018-04-11,301,"GOA",32.24
"89",2018,2018-05-25,301,"GOA",27210
"90",2018,2018-09-13,301,"GOA",75540
"91",2018,2018-09-18,301,"GOA",32648
"92",2018,2018-09-18,301,"GOA",48398
"93",2018,2018-05-25,301,"GOA",6121
"94",2018,2018-05-25,301,"GOA",1300.91
"95",2018,2018-10-27,301,"GOA",96353.52
"96",2018,2018-04-11,301,"GOA",36.09
"97",2018,2018-04-12,301,"GOA",120.99
"98",2018,2018-04-12,301,"GOA",379.34
"99",2018,2018-10-13,301,"GOA",53.52
"100",2018,2018-10-14,301,"GOA",112.12
"101",2018,2018-05-07,301,"GOA",22680
"102",2018,2018-05-08,301,"GOA",36290
"103",2018,2018-05-08,301,"GOA",43514
"104",2018,2018-05-12,301,"GOA",64711
"105",2018,2018-05-12,301,"GOA",53816
"106",2018,2018-05-14,301,"GOA",53514
"107",2018,2018-05-22,301,"GOA",548.93
"108",2018,2018-05-22,301,"GOA",3003.76
"109",2018,2018-05-22,301,"GOA",528.92
"110",2018,2018-05-22,301,"GOA",544.92
"111",2018,2018-05-31,301,"GOA",360.19
"112",2018,2018-05-31,301,"GOA",326.03
"113",2018,2018-05-31,301,"GOA",1986.33
"114",2018,2018-06-01,301,"GOA",4013.06
"115",2018,2018-06-01,301,"GOA",6952.35
"116",2018,2018-06-03,301,"GOA",12274.81
"117",2018,2018-06-03,301,"GOA",20286.96
"118",2018,2018-06-03,301,"GOA",25534.84
"119",2018,2018-06-04,301,"GOA",44591.95
"120",2018,2018-06-06,301,"GOA",54230.11
"121",2018,2018-05-24,301,"GOA",27210
"122",2018,2018-05-24,301,"GOA",90720
