"","Age","SD"
"1",1,0.20936
"2",2,0.2497
"3",3,0.29004
"4",4,0.33038
"5",5,0.37072
"6",6,0.41106
"7",7,0.4514
"8",8,0.49174
"9",9,0.53207
"10",10,0.57241
"11",11,0.61275
"12",12,0.65309
"13",13,0.69343
"14",14,0.73377
"15",15,0.77411
"16",16,0.81445
"17",17,0.85479
"18",18,0.89513
"19",19,0.93547
"20",20,0.97581
"21",21,1.0161
"22",22,1.0565
"23",23,1.0968
"24",24,1.1372
"25",25,1.1775
"26",26,1.2178
"27",27,1.2582
"28",28,1.2985
"29",29,1.3389
"30",30,1.3792
"31",31,1.4195
"32",32,1.4599
"33",33,1.5002
"34",34,1.5406
"35",35,1.5809
"36",36,1.6212
"37",37,1.6616
"38",38,1.7019
"39",39,1.7423
"40",40,1.7826
"41",41,1.8229
"42",42,1.8633
"43",43,1.9036
"44",44,1.9439
"45",45,1.9843
"46",46,2.0246
"47",47,2.065
"48",48,2.1053
"49",49,2.1456
"50",50,2.186
"51",51,2.2263
"52",52,2.2667
"53",53,2.307
"54",54,2.3473
"55",55,2.3877
"56",56,2.428
"57",57,2.4684
"58",58,2.5087
"59",59,2.549
"60",60,2.5894
"61",61,2.6297
"62",62,2.6701
"63",63,2.7104
"64",64,2.7507
"65",65,2.7911
"66",66,2.8314
"67",67,2.8717
"68",68,2.9121
"69",69,2.9524
"70",70,2.9928
"71",71,3.0331
"72",72,3.0734
"73",73,3.1138
"74",74,3.1541
"75",75,3.1945
"76",76,3.2348
"77",77,3.2751
"78",78,3.3155
