"","SURVEY","YEAR","SPECIES_CODE","HAUL_COUNT","CATCH_COUNT","MEAN_WGT_CPUE","VAR_WGT_CPUE","MEAN_NUM_CPUE","VAR_NUM_CPUE","TOTAL_BIOMASS","BIOMASS_VAR","MIN_BIOMASS","MAX_BIOMASS","TOTAL_POP","POP_VAR","MIN_POP","MAX_POP"
"1","GOA",1993,30060,774,303,1646.85754760911,136869.59971887,2839.65746212246,331921.435231653,483622.5,11803384717.4398,260686,706559,833902151,28624299362686200,486730073,1181074229
"2","GOA",1996,30060,807,323,2569.57709355079,459736.559686449,4156.76390473002,1014806.34376039,771412.6,41434154090.1475,355756,1187069,1247900372,91460297279173296,630350491,1865450253
"3","GOA",1999,30060,764,299,2272.0237003969,1474389.20795219,3787.53962187937,3493899.37331628,727063.5,150983542177.921,0,1566366,1212034916,357789721025696000,0,2504050288
"4","GOA",2001,30060,489,180,3051.8997304775,1013045.49217146,5392.27810177389,3505337.73668644,673155,49285342915.2483,219825,1126485,1189370111,170537032859241984,346103142,2032637080
"5","GOA",1990,30060,708,309,535.620884746495,25756.3070728558,1079.90249187188,66730.4279059049,157295.2,2221176958.98776,59785,254806,317129401,5754710429128130,160175459,474083343
"6","GOA",2015,30060,771,347,3563.69902554589,305285.491887215,5528.61952171895,669840.332244562,1140406.6,31262494795.8486,790319,1490494,1769194594,68594415579308200,1250621989,2287767199
"7","GOA",2021,30060,529,280,4795.27548199257,975693.812435389,7311.8200712614,2292648.16356908,1478939.5,92808451380.1706,863252,2094627,2255077880,218077764672232992,1311295191,3198860569
"8","GOA",2017,30060,536,281,5091.68444163002,1289383.74182357,7172.19717812395,2041831.36057958,1570358.8,122646784050.749,854180,2286537,2212021453,194219953165283008,1310781918,3113260988
"9","GOA",1987,30060,783,301,761.116620494802,29948.4591253144,1517.37241436573,90175.5219818833,241205.8,3007833249.07378,126802,355610,480875927,9056657377087840,282358667,679393187
"10","GOA",2011,30060,670,303,2524.74330700617,193038.03874378,4470.35837939757,583183.088048889,778669.7,18361868451.9043,507658,1049682,1378727496,55472647856427000,907674854,1849780138
"11","GOA",1984,30060,929,347,706.708034966251,32269.304680554,1506.16963667681,154347.920448565,220672.3,3146335439.19481,104001,337344,470307875,15049296440712900,215142681,725473069
"12","GOA",2013,30060,548,241,4210.03467125717,479277.463904783,6666.86227160601,1060642.49330904,1298443.2,45589096332.7843,871411,1725475,2056167139,100888809601356000,1420907162,2691427116
"13","GOA",2009,30060,823,388,2029.48790542976,135419.985763784,3672.15941597721,376363.011714156,649448.8,13867565648.217,413928,884970,1175112537,38541126282576800,782474657,1567750417
"14","GOA",2019,30060,541,305,3930.22960261,282986.121302287,6706.92921347268,771466.465028022,1212144.6,26917772097.5714,860222,1564067,2068522688,73382250659426592,1487460239,2649585137
"15","GOA",2005,30060,837,372,2390.26605070815,209950.582542068,4198.46684336185,532406.364635975,764900.8,21499806471.418,471645,1058157,1343536260,54520609875093400,876543284,1810529236
"16","GOA",2007,30060,816,316,2150.52022975374,127292.555992196,3499.01425175988,310757.247295843,688179.8,13035283284.0365,459835,916524,1119707656,31822825140828100,762928592,1476486720
"17","GOA",2003,30060,809,315,1483.12724264406,54521.6623092025,2532.39558556876,136239.619810372,457421.5,5186125996.80166,314832,600011,781034208,12959176301080800,555634220,1006434196
