"","SURVEY","YEAR","SPECIES_CODE","LENGTH","MALES","FEMALES","UNSEXED","TOTAL"
"1","GOA",1984,30060,370,7426387,8182967,10855162,26464516
"2","GOA",1984,30060,400,3915108,4901957,1359802,10176868
"3","GOA",1984,30060,430,288627,1382529,361975,2033131
"4","GOA",1984,30060,290,3246658,3860927,3466510,10574094
"5","GOA",1984,30060,260,2548305,2710559,2988553,8247416
"6","GOA",1984,30060,110,5760,0,254466,260225
"7","GOA",1984,30060,510,0,0,1299,1299
"8","GOA",1984,30060,490,0,0,13540,13540
"9","GOA",1984,30060,220,1234527,819471,1749696,3803693
"10","GOA",1984,30060,350,17972894,23702567,23988455,65663915
"11","GOA",1984,30060,270,1925414,2213316,1833344,5972075
"12","GOA",1984,30060,160,258909,59370,167890,486170
"13","GOA",1984,30060,480,0,6204,104313,110517
"14","GOA",1984,30060,500,0,4043,11691,15734
"15","GOA",1984,30060,380,5813192,6558163,6751691,19123046
"16","GOA",1984,30060,50,0,0,18619,18619
"17","GOA",1984,30060,170,239696,142606,147344,529646
"18","GOA",1984,30060,210,553093,353175,835255,1741523
"19","GOA",1984,30060,440,18137,598361,145510,762008
"20","GOA",1984,30060,130,31414,0,1101891,1133305
"21","GOA",2003,30060,330,22411308,15173681,0,37584989
"22","GOA",2003,30060,350,41577281,25406108,0,66983389
"23","GOA",2003,30060,420,2389893,15081998,0,17471892
"24","GOA",2003,30060,290,7586373,7064635,26002,14677010
"25","GOA",2003,30060,450,289152,4189626,0,4478778
"26","GOA",2003,30060,360,45140838,31739448,0,76880286
"27","GOA",2003,30060,300,8423273,7980787,0,16404060
"28","GOA",2003,30060,430,1321076,10260736,0,11581812
"29","GOA",2003,30060,480,0,377740,0,377740
"30","GOA",2003,30060,620,0,47742,0,47742
"31","GOA",2003,30060,410,7738273,23984094,0,31722367
"32","GOA",2003,30060,230,6277846,8153963,1040064,15471872
"33","GOA",2003,30060,190,6092551,4133960,491276,10717788
"34","GOA",2003,30060,500,11895,54140,0,66035
"35","GOA",2003,30060,490,43252,0,0,43252
"36","GOA",2003,30060,220,9443030,8761096,1131694,19335821
"37","GOA",2003,30060,340,28968926,20673397,0,49642323
"38","GOA",2003,30060,440,750183,5791257,0,6541440
"39","GOA",2003,30060,470,101427,733589,0,835016
"40","GOA",2003,30060,250,5069423,4815702,183443,10068569
"41","GOA",2003,30060,280,7487056,9171005,0,16658060
"42","GOA",2003,30060,580,0,7439,0,7439
"43","GOA",2003,30060,380,35591337,30779987,0,66371324
"44","GOA",2003,30060,140,866144,795404,826511,2488059
"45","GOA",2003,30060,200,6502438,5704997,813099,13020534
"46","GOA",2003,30060,460,66797,1206488,0,1273285
"47","GOA",2003,30060,130,247535,209919,268892,726346
"48","GOA",2003,30060,180,3037009,2698803,259458,5995269
"49","GOA",2003,30060,530,161800,0,0,161800
"50","GOA",2003,30060,160,1854050,1194923,656869,3705841
"51","GOA",2003,30060,210,4872590,3774041,988492,9635123
"52","GOA",2003,30060,270,10338660,8509839,26002,18874500
"53","GOA",2003,30060,90,26435,0,175862,202297
"54","GOA",2003,30060,240,6516858,7032939,338021,13887818
"55","GOA",2003,30060,370,40024708,35353998,0,75378706
"56","GOA",2003,30060,310,8138762,7894638,0,16033399
"57","GOA",2003,30060,400,17185229,28021372,0,45206602
"58","GOA",2003,30060,390,28268456,27720171,0,55988627
"59","GOA",2003,30060,80,0,0,43239,43239
"60","GOA",2003,30060,510,11049,0,0,11049
"61","GOA",2003,30060,260,7370777,4930787,179015,12480578
"62","GOA",2003,30060,110,19022,77637,1374930,1471589
"63","GOA",2021,30060,100,123912,35023,10756,169690
"64","GOA",2021,30060,240,13144388,10991404,0,24135792
"65","GOA",2021,30060,420,15540928,59322119,0,74863046
"66","GOA",2021,30060,140,345205,233400,0,578605
"67","GOA",2021,30060,290,5763508,5070544,0,10834053
"68","GOA",2021,30060,190,4944817,2769709,0,7714525
"69","GOA",2021,30060,410,49896856,93490844,0,143387701
"70","GOA",2021,30060,430,3398938,37067523,0,40466461
"71","GOA",2021,30060,250,11234327,9514860,0,20749187
"72","GOA",2021,30060,450,328507,3564663,0,3893170
"73","GOA",2021,30060,110,135810,0,0,135810
"74","GOA",2021,30060,460,26111,1670780,0,1696891
"75","GOA",2021,30060,340,90961817,74283803,0,165245620
"76","GOA",2021,30060,120,0,30123,0,30123
"77","GOA",2021,30060,90,36300,31882,0,68182
"78","GOA",2021,30060,490,0,135730,0,135730
"79","GOA",2021,30060,300,7699276,7667891,0,15367167
"80","GOA",2021,30060,480,65063,63573,0,128636
"81","GOA",2021,30060,160,318583,430143,16144,764870
"82","GOA",2021,30060,350,140063206,88051954,0,228115159
"83","GOA",2021,30060,260,8737203,9638276,0,18375479
"84","GOA",2021,30060,320,26392724,21147092,0,47539816
"85","GOA",2021,30060,360,145880329,150675622,0,296555951
"86","GOA",2021,30060,170,1972943,1065567,0,3038510
"87","GOA",2021,30060,200,6877297,5706295,0,12583592
"88","GOA",2021,30060,150,477490,353067,0,830557
"89","GOA",2021,30060,330,51458687,37717153,0,89175841
"90","GOA",2021,30060,280,6271684,6089777,0,12361461
"91","GOA",2021,30060,130,267408,29362,0,296770
"92","GOA",2021,30060,270,7469597,8252404,0,15722001
"93","GOA",2021,30060,180,3672407,2798709,0,6471116
"94","GOA",2021,30060,230,16392917,12491580,36507,28921004
"95","GOA",2021,30060,370,130833625,131198586,0,262032211
"96","GOA",2021,30060,310,11045440,12626141,0,23671582
"97","GOA",2021,30060,380,128614566,89837998,0,218452564
"98","GOA",2021,30060,470,0,546205,0,546205
"99","GOA",2021,30060,400,100333928,97765215,128756,198227898
"100","GOA",2021,30060,390,130471744,90740118,128756,221340618
"101","GOA",2021,30060,220,13889465,13975855,0,27865320
