"","CRUISEJOIN","REGION","SPECIES_CODE","LENGTH","FREQUENCY","YEAR","PERFORMANCE","HAULJOIN"
"1",-608,"GOA",30060,310,2,2005,0,-12880
"2",-608,"GOA",30060,290,1,2005,0,-12880
"3",-608,"GOA",30060,290,1,2005,0,-12880
"4",-608,"GOA",30060,300,1,2005,0,-12880
"5",-608,"GOA",30060,320,4,2005,0,-12880
"6",-608,"GOA",30060,330,5,2005,0,-12880
"7",-608,"GOA",30060,330,1,2005,0,-12880
"8",-608,"GOA",30060,340,2,2005,0,-12880
"9",-608,"GOA",30060,340,2,2005,0,-12880
"10",-608,"GOA",30060,350,5,2005,0,-12880
"11",-608,"GOA",30060,350,6,2005,0,-12880
"12",-608,"GOA",30060,360,6,2005,0,-12880
"13",-608,"GOA",30060,370,3,2005,0,-12880
"14",-608,"GOA",30060,370,2,2005,0,-12880
"15",-608,"GOA",30060,390,1,2005,0,-12880
"16",-608,"GOA",30060,400,1,2005,0,-12880
"17",-608,"GOA",30060,310,1,2005,1.11,-12881
"18",-608,"GOA",30060,270,2,2005,1.11,-12881
"19",-608,"GOA",30060,290,1,2005,1.11,-12881
"20",-608,"GOA",30060,300,1,2005,1.11,-12881
"21",-608,"GOA",30060,320,1,2005,1.11,-12881
"22",-608,"GOA",30060,340,1,2005,1.11,-12881
"23",-608,"GOA",30060,350,1,2005,1.11,-12881
"24",-608,"GOA",30060,360,1,2005,1.11,-12881
"25",-608,"GOA",30060,240,1,2005,0,-12882
"26",-608,"GOA",30060,220,2,2005,0,-12882
"27",-608,"GOA",30060,230,1,2005,0,-12882
"28",-608,"GOA",30060,230,1,2005,0,-12882
"29",-608,"GOA",30060,250,4,2005,0,-12882
"30",-608,"GOA",30060,250,1,2005,0,-12882
"31",-608,"GOA",30060,260,13,2005,0,-12882
"32",-608,"GOA",30060,260,12,2005,0,-12882
"33",-608,"GOA",30060,270,7,2005,0,-12882
"34",-608,"GOA",30060,270,9,2005,0,-12882
"35",-608,"GOA",30060,290,3,2005,0,-12882
"36",-608,"GOA",30060,280,8,2005,0,-12882
"37",-608,"GOA",30060,280,6,2005,0,-12882
"38",-608,"GOA",30060,290,8,2005,0,-12882
"39",-608,"GOA",30060,300,4,2005,0,-12882
"40",-608,"GOA",30060,300,5,2005,0,-12882
"41",-608,"GOA",30060,310,6,2005,0,-12882
"42",-608,"GOA",30060,310,7,2005,0,-12882
"43",-608,"GOA",30060,320,6,2005,0,-12882
"44",-608,"GOA",30060,320,2,2005,0,-12882
"45",-608,"GOA",30060,330,7,2005,0,-12882
"46",-608,"GOA",30060,330,5,2005,0,-12882
"47",-608,"GOA",30060,340,4,2005,0,-12882
"48",-608,"GOA",30060,340,5,2005,0,-12882
"49",-608,"GOA",30060,350,2,2005,0,-12882
"50",-608,"GOA",30060,360,2,2005,0,-12882
"51",-608,"GOA",30060,370,2,2005,0,-12882
"52",-608,"GOA",30060,380,1,2005,0,-12882
"53",-608,"GOA",30060,380,2,2005,0,-12882
"54",-608,"GOA",30060,410,1,2005,0,-12882
"55",-608,"GOA",30060,260,3,2005,0,-12889
"56",-608,"GOA",30060,230,1,2005,0,-12889
"57",-608,"GOA",30060,240,2,2005,0,-12889
"58",-608,"GOA",30060,250,1,2005,0,-12889
"59",-608,"GOA",30060,260,2,2005,0,-12889
"60",-608,"GOA",30060,270,3,2005,0,-12889
"61",-608,"GOA",30060,270,4,2005,0,-12889
"62",-608,"GOA",30060,280,7,2005,0,-12889
"63",-608,"GOA",30060,280,4,2005,0,-12889
"64",-608,"GOA",30060,290,8,2005,0,-12889
"65",-608,"GOA",30060,290,12,2005,0,-12889
"66",-608,"GOA",30060,300,3,2005,0,-12889
"67",-608,"GOA",30060,300,8,2005,0,-12889
"68",-608,"GOA",30060,310,8,2005,0,-12889
"69",-608,"GOA",30060,310,10,2005,0,-12889
"70",-608,"GOA",30060,320,10,2005,0,-12889
"71",-608,"GOA",30060,320,14,2005,0,-12889
"72",-608,"GOA",30060,330,16,2005,0,-12889
"73",-608,"GOA",30060,330,12,2005,0,-12889
"74",-608,"GOA",30060,340,8,2005,0,-12889
"75",-608,"GOA",30060,340,15,2005,0,-12889
"76",-608,"GOA",30060,350,3,2005,0,-12889
"77",-608,"GOA",30060,350,12,2005,0,-12889
"78",-608,"GOA",30060,360,7,2005,0,-12889
"79",-608,"GOA",30060,360,5,2005,0,-12889
"80",-608,"GOA",30060,370,1,2005,0,-12889
"81",-608,"GOA",30060,370,3,2005,0,-12889
"82",-608,"GOA",30060,380,2,2005,0,-12889
"83",-608,"GOA",30060,390,1,2005,0,-12889
"84",-608,"GOA",30060,400,2,2005,0,-12889
"85",-608,"GOA",30060,420,1,2005,0,-12889
"86",-608,"GOA",30060,140,1,2005,0,-12891
"87",-608,"GOA",30060,190,1,2005,0,-12891
"88",-608,"GOA",30060,210,1,2005,0,-12891
"89",-608,"GOA",30060,350,7,2005,0,-12894
"90",-608,"GOA",30060,330,1,2005,0,-12894
"91",-608,"GOA",30060,340,1,2005,0,-12894
"92",-608,"GOA",30060,350,1,2005,0,-12894
"93",-608,"GOA",30060,360,5,2005,0,-12894
"94",-608,"GOA",30060,360,4,2005,0,-12894
"95",-608,"GOA",30060,370,1,2005,0,-12894
"96",-608,"GOA",30060,370,2,2005,0,-12894
"97",-608,"GOA",30060,380,1,2005,0,-12894
"98",-608,"GOA",30060,380,2,2005,0,-12894
"99",-608,"GOA",30060,390,1,2005,0,-12894
"100",-608,"GOA",30060,340,1,2005,0,-12895
"101",-608,"GOA",30060,320,1,2005,0,-12895
"102",-608,"GOA",30060,330,1,2005,0,-12895
"103",-608,"GOA",30060,340,1,2005,0,-12895
"104",-608,"GOA",30060,350,1,2005,0,-12895
"105",-608,"GOA",30060,360,1,2005,0,-12895
"106",-608,"GOA",30060,370,1,2005,0,-12895
