"","Year","Catch"
"1",1961,16000
"2",1962,65000
"3",1963,136300
"4",1964,243400
"5",1965,348600
"6",1966,200800
"7",1967,120000
"8",1968,100200
"9",1969,72600
"10",1970,44900
"11",1971,77500
"12",1972,77600
"13",1973,56400
"14",1974,51000
"15",1975,50400
"16",1976,45500
"17",1977,21600
"18",1978,8000
"19",1979,8300
"20",1980,10800
"21",1981,10500
"22",1982,5400
"23",1983,2821
"24",1984,2752
"25",1985,800
"26",1986,2200
"27",1987,4500
"28",1988,8540
"29",1989,11780
"30",1990,13090
"31",1991,6548
"32",1992,6538
"33",1993,2060
"34",1994,1841
"35",1995,5741
"36",1996,8378
"37",1997,9519
"38",1998,8908
"39",1999,10473
"40",2000,10146
"41",2001,10817
"42",2002,11734
"43",2003,10846
"44",2004,11640
"45",2005,11248
"46",2006,13595
"47",2007,12955
"48",2008,12461
"49",2009,12986
"50",2010,15616
"51",2011,14224
"52",2012,14916
"53",2013,13181
"54",2014,17712
"55",2015,18733
"56",2016,23034
"57",2017,23860
"58",2018,24737
"59",2019,25470
"60",2020,25191
"61",2021,28187
