Length,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,2
17,,,,,,,,,,,1,,,1,2
18,,,21,,3,,,,,,3,,,2,2
19,,,28,12,8,,,28,,,4,,,4,3
20,,,143,75,10,,2,78,,,7,2,2,7,9
21,3,14,214,238,42,11,45,128,26,,14,3,9,19,14
22,16,16,351,588,101,29,149,185,128,,18,10,12,56,20
23,18,42,352,1079,249,133,254,372,196,275,31,26,20,138,56
24,90,75,891,1959,584,349,423,731,475,1158,78,46,51,265,100
25,132,95,1688,3058,1033,613,632,1019,826,2622,177,64,94,408,134
26,201,243,2318,5049,1763,1034,1298,1631,1857,3682,311,125,167,581,198
27,374,602,4160,8206,2705,1542,2448,1365,3702,4009,509,295,334,834,314
28,653,1229,6153,12751,4550,2598,4376,2561,5841,4739,690,524,564,1167,484
29,1135,2076,8402,17952,6986,4375,6990,3908,7171,6086,738,720,837,1551,630
30,1560,2919,11407,20526,9160,6140,8679,5501,7995,8116,818,946,1301,2137,890
31,1575,3036,12844,22922,11512,8368,11567,7873,8589,9393,939,1136,1849,2624,1306
32,1130,2384,11166,19863,11596,9945,12854,6964,8471,10202,978,1415,2299,2766,1710
33,825,2003,8715,14521,11175,10573,13309,6499,7781,10528,931,2026,2784,2827,2026
34,934,2289,6765,11077,10412,11700,12583,6409,6827,8978,797,2767,3143,2724,2131
35,814,2271,5413,7790,9207,11276,10574,5989,6923,7920,644,3598,3337,2510,2165
36,696,1673,4258,5539,8681,10990,10025,8034,7484,8113,520,4170,3415,2289,2109
37,575,1279,3055,3765,7650,9714,8331,8629,7333,7537,440,4098,3127,1862,1826
38,399,976,2119,2452,6237,7777,6170,7096,6553,6508,350,3379,2484,1281,1392
39,282,595,1094,1193,4728,5092,3888,5232,3982,4662,226,2138,1627,763,911
40,160,335,660,652,3093,2557,2047,3158,2207,3137,126,1050,880,411,524
41,60,131,341,363,1857,1279,1000,1771,1077,1887,64,434,398,197,248
42,26,35,140,171,1040,607,407,902,483,952,40,140,144,79,100
43,4,12,80,49,521,286,211,603,169,476,24,49,72,29,50
44,8,7,22,28,260,152,130,325,91,206,8,22,45,6,23
45,0,3,,13,102,103,80,146,17,78,1,9,31,3,9
46,4,3,,,27,3,47,9,,,,3,29,1,2
47,1,2,,,18,3,8,2,,,,5,23,1,1
48,6,0,,,15,,6,2,,,,23,11,,
49,6,2,,,22,,4,,,,,40,7,,
50,5,,,,19,,,,,,,27,3,,
51,,,,,,,,,,,,6,,,
52,,,,,,,,,,,,1,,,
53,,,,,,,,,,,,1,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,
