File_Type,Vessel_Code,Cruise_Number,Species,collection,Region,Read_Code,Reader,Tester,Read_Age,Test_Age,Final_Age,Date_Released,date_read,Latitude,Longitude,RACE_Code,common_name
RACE,2,199506,301,2956301,GOA,2,H,A,11,9,9,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,7,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,7,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,9,9,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,7,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,7,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,9,9,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,11,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,9,9,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,7,7,7,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,6,9,9,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,7,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,6,6,6,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,14,16,13,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,10,10,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,7,7,7,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,12,11,11,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,11,9,11,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,9,9,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,10,10,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,19,20,20,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,9,12,12,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,9,9,9,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,9,10,10,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,11,11,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,7,6,7,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,9,11,10,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,7,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,10,10,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,5,5,5,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,9,9,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,9,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,9,9,9,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,9,9,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,9,10,10,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,10,10,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,8,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,10,10,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,13,11,12,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,11,10,10,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,10,10,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,10,11,11,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
RACE,2,199506,301,2956301,GOA,2,H,A,8,9,8,5/9/1996,1/18/1996,,,30060,PACIFIC OCEAN PERCH
