"","year","rec","rec_lci","rec_uci","TB","TB_lci","TB_uci","SB","SB_lci","SB_uci"
"1",1961,106682,21712,783942,1060020,963871,1200263,221690,185563,275912
"2",1962,130023,23332,411714,1189070,1088583,1333096,235899,200558,288004
"3",1963,201228,31882,415035,1253520,1150750,1398728,247043,211643,295433
"4",1964,133217,23736,360306,1219880,1118455,1360758,249511,210869,291532
"5",1965,139080,26230,415605,1048580,958187,1176399,219342,184917,256871
"6",1966,279167,35688,513436,753194,687485,854020,155679,131796,186382
"7",1967,156141,28949,405502,606287,553345,695120,134267,114570,160801
"8",1968,88418,20297,235809,533158,485593,616459,126033,107997,151492
"9",1969,63891,16427,165004,472622,429778,553695,114470,98251,138796
"10",1970,66390,15902,157452,434250,392556,515107,106550,90675,130363
"11",1971,56228,14784,133888,418245,376300,498558,106452,90934,130879
"12",1972,41795,11628,105564,362669,323323,443130,93963,78998,117771
"13",1973,36243,10858,93610,301925,265477,382539,80829,67279,104109
"14",1974,33119,9198,84891,258738,223277,338907,72902,59514,96332
"15",1975,31046,9069,79997,217927,182684,297209,63797,50966,88628
"16",1976,30594,8697,76750,175670,140940,254720,51793,39485,77687
"17",1977,36478,10217,98049,137865,103062,216896,39531,27482,65750
"18",1978,57002,16425,127454,125332,89586,205470,35284,22817,62559
"19",1979,43582,12999,109783,127135,89997,208055,36034,23154,64329
"20",1980,38397,10898,94051,128827,90426,211073,36459,23055,65323
"21",1981,39871,11498,95100,128122,88697,211834,35628,21823,65005
"22",1982,51049,16775,120526,128333,87590,212563,34768,20749,64251
"23",1983,52520,16472,121900,134452,91522,222356,36105,21636,65765
"24",1984,54777,17042,128289,143872,99410,233447,38832,23881,68680
"25",1985,79404,28427,174472,154953,107897,248841,42012,26622,71523
"26",1986,119374,49885,243830,171355,121604,271140,46350,30315,76345
"27",1987,111550,42599,231405,189349,135097,295797,50399,33585,81018
"28",1988,174357,84513,328253,210763,150530,327127,53709,36211,85388
"29",1989,137064,54845,277229,231955,164838,359345,55684,37422,88920
"30",1990,108957,39425,225584,252232,177238,391462,56973,37691,92463
"31",1991,54081,16059,129984,270301,188219,421013,58915,38257,96992
"32",1992,64692,24693,133883,293406,204344,453600,65083,42576,106357
"33",1993,66390,23814,145340,313765,218611,480381,73323,48533,118168
"34",1994,75002,29300,158227,336057,236380,509909,85226,57461,134297
"35",1995,61011,19208,146095,355282,252091,533842,98726,67656,152355
"36",1996,138527,63056,271924,370838,263544,554647,111097,76650,168450
"37",1997,151872,68716,305738,385187,274756,573395,121220,83818,182508
"38",1998,89446,27449,209316,398042,284385,590977,128682,88910,192917
"39",1999,110873,34843,237904,412325,294411,612407,134112,92836,200746
"40",2000,225302,116241,436039,430411,307407,640833,137236,94798,205491
"41",2001,140000,45279,319074,450651,321425,673339,139909,96583,209101
"42",2002,214664,103995,414594,475483,339898,712149,142748,98331,213078
"43",2003,117254,36296,278269,499692,356660,748712,146460,100573,218551
"44",2004,171111,77705,344151,526946,376594,786798,152216,104532,227255
"45",2005,70089,18529,182272,549891,392620,822779,159246,109367,237226
"46",2006,116129,40887,254575,571056,407740,852666,167917,115877,250397
"47",2007,85884,23124,208982,585522,418358,874470,177063,122388,264524
"48",2008,198781,96265,403021,601542,429670,897967,187413,129288,279371
"49",2009,144335,44268,333656,616994,442114,921510,198335,137571,294874
"50",2010,224074,103731,454838,635279,455179,949212,208343,145092,310091
"51",2011,78714,20325,221238,648115,464573,970860,215647,150072,321521
"52",2012,164016,63841,359123,663328,476834,993408,221684,153939,330714
"53",2013,58139,15214,175891,673299,483683,1014365,225966,156538,337887
"54",2014,148133,48734,344581,684207,493288,1028772,230461,159892,345069
"55",2015,104545,26843,306280,687619,493511,1034800,233421,160964,350033
"56",2016,124113,30637,350598,688486,492628,1038737,236705,163445,356791
"57",2017,75356,16199,250708,681729,484462,1033697,238462,163719,361419
"58",2018,245504,57710,730324,678616,478134,1037253,239234,162576,365479
"59",2019,125646,25140,468490,674551,472541,1037338,238340,160985,365168
"60",2020,85489,17812,405930,668793,464381,1041118,235704,157498,362549
"61",2021,85004,16269,396653,661766,455914,1046349,222301,146338,346345
"62",2022,113527,22274,388720,650740,443328,1050356,216600,140734,339144
"63",2023,113527,21444,394555,634430,431177,1015296,210090,136183,323370
