"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1961",145.49,139.21,105.77,105.14,106.58,105.97,105.5,104.82,149.09,106.68
"1962",163.79,158.38,130.53,129.74,131.07,130.28,129.49,128.59,159.81,130.02
"1963",215.26,212.85,219.15,216.97,213.39,211.59,207.9,206,193.35,201.23
"1964",148.06,142.28,137.12,135.75,136.79,135.38,134.73,133.06,139.94,133.22
"1965",157.58,151.19,140.89,139.81,141.14,140.03,139.36,138.1,150.95,139.08
"1966",315.12,306.78,303.8,299.41,296.74,292.84,289.6,285.25,282.79,279.17
"1967",177.62,170.08,161.67,159.79,160.73,159.05,158.17,156.28,164.74,156.14
"1968",100.18,95.626,92.917,91.603,92.044,90.797,90.443,88.93,92.959,88.419
"1969",73.975,70.06,67.059,66.005,66.545,65.521,65.462,64.216,68.495,63.891
"1970",78.825,74.326,70.664,69.294,69.767,68.535,68.509,67.061,71.019,66.39
"1971",67.705,62.968,60.014,58.62,59.342,58.066,58.292,56.747,60.625,56.228
"1972",50.906,46.73,44.393,43.259,44.092,42.999,43.375,42.019,45.974,41.795
"1973",44.561,40.52,38.54,37.45,38.326,37.259,37.709,36.388,40.169,36.243
"1974",41.025,37.014,35.283,34.195,35.106,34.036,34.55,33.231,36.852,33.119
"1975",38.712,34.722,33.119,32.027,32.963,31.892,32.462,31.144,34.67,31.046
"1976",38.344,34.257,32.651,31.522,32.504,31.402,32.043,30.687,34.273,30.594
"1977",45.952,41.059,38.988,37.596,38.763,37.436,38.255,36.628,40.859,36.478
"1978",73.585,65.998,61.984,59.514,61.056,58.91,60.238,57.658,63.274,57.002
"1979",55.198,49.321,46.669,44.904,46.302,44.681,45.81,43.835,48.697,43.582
"1980",48.199,43.027,40.797,39.262,40.567,39.156,40.254,38.537,42.93,38.397
"1981",49.586,44.301,42.041,40.48,41.873,40.45,41.685,39.957,44.529,39.871
"1982",63.243,56.622,53.59,51.555,53.327,51.555,53.31,51.187,56.788,51.049
"1983",64.059,57.366,54.406,52.407,54.347,52.616,54.609,52.534,58.507,52.52
"1984",65.789,59.06,56.007,54.058,56.159,54.489,56.716,54.707,61.213,54.777
"1985",94.035,84.868,80.294,77.659,80.688,78.532,82.02,79.407,88.651,79.404
"1986",140.41,127.4,120.57,116.7,121.3,118.15,123.78,119.9,133.12,119.37
"1987",130.68,119.21,112.71,109.32,113.47,110.7,115.54,112.09,124.43,111.55
"1988",202.52,185.2,175.55,170.38,177.08,172.79,181.21,175.87,193.79,174.36
"1989",157.53,144.58,137.15,133.47,138.74,135.52,141.87,137.91,152.36,137.06
"1990",125.51,115.55,109.54,106.9,110.9,108.54,113.55,110.44,120.87,108.96
"1991",58.946,54.256,52.248,51.263,53.487,52.476,55.038,53.701,60.054,54.081
"1992",69.427,64.973,62.322,61.564,64.091,63.116,66.286,64.9,71.404,64.692
"1993",70.623,66.389,63.59,63.077,65.771,64.877,68.099,66.715,73.338,66.39
"1994",75.697,71.813,69.261,68.742,72.029,71.469,75.696,74.601,82.284,75.002
"1995",61.833,58.493,56.582,55.946,58.673,58.279,61.497,60.633,67.258,61.011
"1996",135.78,129.64,125.08,124.08,131.02,131.49,139.04,138.32,151.22,138.53
"1997",139.96,135.23,131.1,131.58,138.7,139.8,149.01,149.52,165.14,151.87
"1998",85.014,82.264,79.225,79.4,82.31,82.414,88.286,88.294,97.437,89.446
"1999",107.52,104.11,98.934,99.41,102.9,103.19,109.83,109.97,120.34,110.87
"2000",202.45,203.74,194.83,197.62,205.83,208.37,220.87,222.37,242.79,225.3
"2001",126.42,127.72,121.86,124.3,128.68,131.49,138.56,139.86,151.88,140
"2002",168.2,182.97,174.27,177.79,183.55,192.96,205.63,212.7,227.25,214.66
"2003",96.45,107.8,102.02,105.2,105.71,109.27,113.71,116.48,125.41,117.25
"2004",124.7,147.92,138.7,155.76,156.42,162.52,167.03,169.73,180.7,171.11
"2005",57.477,62.169,57.233,64.389,63.53,67.22,68.601,68.868,75.056,70.089
"2006",89.041,100.55,93.331,105.33,101.52,111.82,114.32,117.65,121.29,116.13
"2007",88.316,96.72,86.169,87.09,84.379,86.866,87.99,89.825,93.005,85.884
"2008",259.47,326.7,220.62,221.73,218.7,232.22,215.13,217.73,217.44,198.78
"2009",101.42,143.34,119.63,142.6,124.26,148.25,140.81,157.6,159.86,144.34
"2010",108.76,154.24,152.16,183.14,170.36,203.44,186.33,237.66,235.66,224.07
"2011",82.981,84.135,69.36,71.756,65.371,69.288,61.874,71.247,78.86,78.714
"2012",94.684,92.934,92.515,110.59,131.52,149.15,116.69,145.24,153.04,164.02
"2013",NA,91.444,73.491,74.751,68.019,69.802,55.279,55.578,57.328,58.139
"2014",NA,NA,83.234,83.767,99.446,107.1,98.179,136.18,133.19,148.13
"2015",NA,NA,NA,83.161,80.907,82.676,78.208,86.106,92.122,104.54
"2016",NA,NA,NA,NA,84.022,84.572,81.71,90.055,120.09,124.11
"2017",NA,NA,NA,NA,NA,83.989,73.739,74.711,82.126,75.356
"2018",NA,NA,NA,NA,NA,NA,83.377,83.886,261.62,245.5
"2019",NA,NA,NA,NA,NA,NA,NA,83.349,132.46,125.65
"2020",NA,NA,NA,NA,NA,NA,NA,NA,94.139,85.489
"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,85.004
