"","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1961",214460,213480,206480,207740,210870,212110,215430,216880,231890,221690
"1962",229810,228990,222440,223520,226320,227400,230320,231570,243930,235900
"1963",239500,239010,236550,237330,239580,240370,242630,243570,248490,247040
"1964",238880,238530,242990,243380,244870,245290,246690,247210,242750,249510
"1965",213810,213080,217050,217030,217740,217760,218260,218300,214190,219340
"1966",158090,156690,156960,156520,156710,156300,156150,155670,155670,155680
"1967",138420,136740,136530,135950,136030,135480,135200,134560,134940,134270
"1968",130600,128760,128560,127920,128000,127400,127120,126410,126720,126030
"1969",119180,117230,117040,116360,116470,115840,115620,114870,115170,114470
"1970",111350,109320,109050,108340,108500,107860,107710,106940,107350,106550
"1971",111350,109230,108790,108070,108290,107640,107600,106820,107440,106450
"1972",99119,96849,96209,95447,95745,95063,95138,94316,95208,93963
"1973",86397,83935,83067,82244,82615,81886,82079,81196,82362,80829
"1974",78899,76220,75108,74221,74679,73899,74218,73270,74751,72902
"1975",70198,67282,65942,64991,65550,64718,65172,64152,65979,63797
"1976",58584,55417,53878,52860,53529,52640,53229,52130,54311,51793
"1977",46708,43292,41577,40493,41268,40319,41033,39852,42375,39531
"1978",42861,39183,37301,36146,37030,36016,36855,35585,38457,35284
"1979",43942,40019,37999,36780,37775,36700,37665,36310,39520,36034
"1980",44631,40470,38345,37066,38178,37045,38138,36701,40243,36459
"1981",44018,39621,37423,36085,37319,36125,37352,35829,39697,35628
"1982",43370,38730,36476,35076,36434,35176,36540,34927,39114,34768
"1983",44939,40043,37731,36261,37749,36422,37931,36223,40731,36105
"1984",47930,42756,40381,38831,40457,39053,40723,38910,43746,38832
"1985",51414,45935,43483,41839,43616,42126,43978,42050,47233,42012
"1986",56057,50254,47721,45976,47916,46336,48393,46343,51885,46349
"1987",60377,54243,51634,49784,51899,50227,52513,50343,56249,50399
"1988",63908,57438,54756,52799,55102,53341,55882,53594,59879,53709
"1989",66079,59250,56488,54416,56929,55076,57910,55503,62203,55684
"1990",67575,60339,57468,55270,58026,56074,59256,56722,63908,56973
"1991",69748,62045,59020,56680,59722,57664,61264,58593,66369,58915
"1992",76197,67935,64689,62182,65580,63400,67519,64688,73212,65083
"1993",84744,75828,72297,69598,73429,71110,75874,72858,82286,73323
"1994",96921,87278,83411,80501,84846,82377,87912,84691,95170,85226
"1995",110540,100170,95956,92841,97756,95141,101550,98122,109720,98726
"1996",122750,111740,107230,103950,109440,106710,114020,110430,123080,111100
"1997",132360,120880,116160,112770,118810,116010,124190,120470,134060,121220
"1998",138870,127160,122350,118950,125460,122650,131600,127840,142140,128680
"1999",142920,131230,126460,123130,130020,127280,136880,133160,147940,134110
"2000",144290,132820,128180,124990,132210,129600,139760,136150,151260,137240
"2001",144870,133760,129300,126320,133830,131410,142100,138670,154030,139910
"2002",145260,134610,130340,127600,135440,133270,144500,141310,156950,142750
"2003",146140,136020,131920,129470,137680,135820,147680,144790,160770,146460
"2004",148620,139120,135160,133050,141670,140180,152780,150260,166700,152220
"2005",151930,143180,139300,137600,146640,145600,159030,156950,173930,159250
"2006",156390,148590,144730,143520,152980,152470,166810,165250,182830,167920
"2007",160750,154200,150270,149660,159520,159640,174950,174010,192200,177060
"2008",165700,160700,156680,156760,167000,167840,184200,183950,202740,187410
"2009",170620,167660,163420,164400,174890,176630,193930,194500,213750,198330
"2010",174320,173830,169250,171350,181910,184690,202750,204180,223700,208340
"2011",175470,177800,172690,176100,186500,190420,208950,211260,230790,215650
"2012",168960,181410,175390,180270,190250,195410,214040,217250,236510,221680
"2013",NA,177650,177020,183410,192730,199240,217570,221740,240430,225970
"2014",NA,NA,172200,187370,195780,203840,221400,226750,244610,230460
"2015",NA,NA,NA,182470,197390,207280,223580,230510,247310,233420
"2016",NA,NA,NA,NA,190530,211040,225600,234700,250300,236710
"2017",NA,NA,NA,NA,NA,203940,225270,237150,251540,238460
"2018",NA,NA,NA,NA,NA,NA,213710,238060,251360,239230
"2019",NA,NA,NA,NA,NA,NA,NA,226850,248980,238340
"2020",NA,NA,NA,NA,NA,NA,NA,NA,234370,235700
"2021",NA,NA,NA,NA,NA,NA,NA,NA,NA,222300
