"weight","value","variable","model"
"10",0.67341,"SSQ Catch Likelihood","cie_4_earlycatch-wt10"
"1",16.2375,"Bottom Trawl Survey Likelihood","cie_4_earlycatch-wt10"
"1",20.9008,"Fishery Age Composition Likelihood","cie_4_earlycatch-wt10"
"1",26.3357,"Bottom Trawl Survey Age Composition Likelihood","cie_4_earlycatch-wt10"
"1",64.9121,"Fishery Size Composition Likelihood","cie_4_earlycatch-wt10"
"0",0,"Fishery CPUE Likelihood","cie_4_earlycatch-wt10"
"0",0,"Alternative Survey Abundance Index Likelihood","cie_4_earlycatch-wt10"
"0",0,"Bottom Trawl Survey Size Composition Likelihood","cie_4_earlycatch-wt10"
"0",0,"Alternative Survey Size Composition Likelihood","cie_4_earlycatch-wt10"
"1",10.5971,"Recruitment Deviations Likelihood","cie_4_earlycatch-wt10"
"0.1",6.04719,"Fishing Mortality Deviations Penalty","cie_4_earlycatch-wt10"
"1",7.89334,"Priors SigmaR","cie_4_earlycatch-wt10"
"1",0.498252,"Priors q Bottom Trawl Survey","cie_4_earlycatch-wt10"
"1",1.93946,"Priors M","cie_4_earlycatch-wt10"
"1",0,"Priors q Alternative Survey","cie_4_earlycatch-wt10"
"1",103.516,"Maturity Likelihood","cie_4_earlycatch-wt10"
"1",259.551,"Objective Function","cie_4_earlycatch-wt10"
"1",129.06,"Data Likelihood","cie_4_earlycatch-wt10"
