"year","obs","pred"
1961,16000,16081.9
1962,65000,65742.9
1963,136300,138303
1964,243400,248036
1965,348600,352298
1966,200800,198976
1967,120000,119251
1968,100200,99956.1
1969,72600,72460.4
1970,44900,44837.5
1971,77500,77063.9
1972,77600,76913.6
1973,56400,55948.8
1974,51000,50790
1975,50400,50365.1
1976,45500,45408.2
1977,21600,21581.6
1978,8000,8010.36
1979,8300,8321.67
1980,10800,10852.7
1981,10500,10568.6
1982,5400,5426.06
1983,2821,2832.73
1984,2752,2764.05
1985,800,804.064
1986,2200,2210.1
1987,4500,4524.75
1988,8540,8608.51
1989,11780,11897.4
1990,13090,13110.7
1991,6548,6557.53
1992,6538,6546.14
1993,2060,2068.5
1994,1841,1849.35
1995,5741,5758.15
1996,8378,8408.94
1997,9519,9555.02
1998,8908,8940.54
1999,10473,10519.9
2000,10146,10188.7
2001,10817,10869
2002,11734,11783.7
2003,10846,10836.4
2004,11640,11620.8
2005,11248,11227.5
2006,13595,13553.3
2007,12955,12902.9
2008,12461,12414.8
2009,12986,12897.6
2010,15616,15480.6
2011,14224,14089.3
2012,14916,14769.8
2013,13181,13105.7
2014,17712,17564.5
2015,18733,18595.3
2016,23034,22824.3
2017,23860,23747.7
2018,24737,24609.5
2019,25470,25390.7
2020,25191,25106.7
2021,28187,28190.3
