"age","fish","srv1","maturity"
2,0.000808917,0.0140136,0.00657105
3,0.00507255,0.0178624,0.0127563
4,0.0143805,0.0227462,0.0246193
5,0.0294552,0.0289296,0.0469894
6,0.05049,0.0367365,0.0878553
7,0.0773258,0.0465587,0.158356
8,0.109567,0.0588618,0.268761
9,0.146665,0.0741871,0.417919
10,0.187975,0.0931457,0.583771
11,0.232801,0.1164,0.732603
12,0.28043,0.144626,0.842568
13,0.330155,0.178455,0.9127
14,0.381295,0.21839,0.953321
15,0.433202,0.264696,0.975547
16,0.485277,0.317289,0.987331
17,0.536971,0.375635,0.993474
18,0.587789,0.438701,0.996649
19,0.637291,0.50498,0.998282
20,0.685093,0.572608,0.99912
21,0.730864,0.639567,0.999549
22,0.774327,0.703917,0.999769
23,0.81525,0.764009,0.999882
24,0.853451,0.818644,0.999939
25,0.88879,0.867118,0.999969
26,0.921164,0.909205,0.999984
27,0.950508,0.945064,0.999992
28,0.976788,0.97513,0.999996
29,1,1,0.999998
