"","q=0.2","q=0.4","q=0.6","q=0.8","q=1","q=1.2","q=1.4","q=1.6","q=1.8","q=2","q=2.2","q=2.4","q=2.6","q=2.8","q=3","q=3.2","q=3.4","q=3.6","q=3.8","q=4"
"M=0.01",128.12,129.024,127.971,126.988,129.361,127.948,129.457,133.532,135.604,137.943,140.451,143.051,145.656,148.241,150.805,NA,NA,NA,NA,NA
"M=0.02",128.152,128.838,127.647,126.431,126.278,126.923,128.165,132.248,134.162,136.325,138.654,141.086,143.533,145.94,148.255,NA,NA,NA,NA,NA
"M=0.03",128.242,128.803,127.562,126.212,125.914,126.416,127.511,131.493,133.341,135.409,137.641,139.981,142.356,144.71,146.974,NA,NA,NA,NA,NA
"M=0.04",128.338,128.824,127.544,126.107,125.707,126.107,127.097,130.986,130.44,134.776,136.942,139.219,141.543,143.864,146.108,NA,NA,NA,NA,NA
"M=0.05",128.43,128.861,127.547,126.054,125.578,125.9,126.788,130.603,132.345,134.297,136.413,138.642,140.926,143.221,145.454,NA,NA,NA,NA,NA
"M=0.06",128.517,128.905,127.572,126.03,125.494,125.752,126.575,127.893,129.596,133.915,135.99,138.18,140.431,142.705,144.93,NA,NA,NA,NA,NA
"M=0.07",128.599,128.951,127.603,126.014,125.439,125.642,126.412,127.671,129.307,131.278,135.64,136.508,140.021,142.276,144.494,NA,NA,NA,NA,NA
"M=0.08",128.677,128.999,127.638,126.018,125.401,125.545,126.283,127.491,131.479,133.329,135.342,135.902,139.672,141.91,144.123,NA,NA,NA,NA,NA
"M=0.09",128.75,129.046,127.675,126.03,125.366,125.483,126.179,127.343,131.272,133.096,135.084,135.447,139.369,141.592,143.8,NA,NA,NA,NA,NA
"M=0.1",128.82,128.847,127.713,126.046,125.353,125.435,126.095,127.22,131.09,132.892,134.858,135.074,139.103,141.312,143.515,NA,NA,NA,NA,NA
"M=0.11",128.886,129.139,127.752,126.065,125.346,125.398,126.026,127.115,130.928,132.71,134.656,134.759,138.866,141.063,143.262,NA,NA,NA,NA,NA
"M=0.12",128.949,129.184,127.791,126.087,125.345,125.361,125.968,127.026,130.783,132.547,134.475,134.487,138.654,140.839,143.034,NA,NA,NA,NA,NA
"M=0.13",129.608,129.228,127.829,126.111,125.348,125.34,125.92,126.949,130.652,130.022,134.312,134.249,138.461,140.637,142.827,NA,NA,NA,NA,NA
"M=0.14",129.069,129.272,127.868,126.136,125.355,125.325,125.88,126.883,130.533,129.896,134.162,134.039,136.626,140.452,142.639,NA,NA,NA,NA,NA
"M=0.15",129.125,129.067,127.905,126.162,125.364,125.314,125.847,126.825,128.159,132.143,134.026,133.851,138.124,140.283,142.467,NA,NA,NA,NA,NA
