"","q=0.2","q=0.4","q=0.6","q=0.8","q=1","q=1.2","q=1.4","q=1.6","q=1.8","q=2","q=2.2","q=2.4","q=2.6","q=2.8","q=3","q=3.2","q=3.4","q=3.6","q=3.8","q=4"
"M=0.01",17.0221,17.7354,18.3575,18.8015,19.2457,19.3818,19.6005,19.8987,20.0831,20.2658,20.4528,20.6406,20.8309,21.0197,21.2107,NA,NA,NA,NA,NA
"M=0.02",17.0109,17.7126,18.3202,18.7583,19.0912,19.3536,19.5736,19.89,20.0748,20.2545,20.4373,20.6203,20.8064,20.9902,21.1732,NA,NA,NA,NA,NA
"M=0.03",17.0108,17.7099,18.3054,18.7368,19.0701,19.3358,19.5574,19.8805,20.0658,20.2439,20.4242,20.6039,20.7877,20.9696,21.1515,NA,NA,NA,NA,NA
"M=0.04",17.0141,17.709,18.2986,18.7244,19.0565,19.3236,19.5462,19.8721,19.9406,20.2351,20.4138,20.5911,20.773,20.9536,21.1352,NA,NA,NA,NA,NA
"M=0.05",17.0187,17.7107,18.2991,18.7168,19.0473,19.3149,19.5389,19.8648,20.0513,20.2278,20.4053,20.5809,20.7612,20.9407,21.1222,NA,NA,NA,NA,NA
"M=0.06",17.0224,17.7137,18.2985,18.7121,19.0408,19.3084,19.5328,19.7342,19.923,20.2216,20.3983,20.5725,20.7515,20.9301,21.1115,NA,NA,NA,NA,NA
"M=0.07",17.0278,17.7176,18.2993,18.7119,19.0363,19.3037,19.5281,19.7295,19.9174,20.0977,20.3924,20.4985,20.7435,20.9212,21.1026,NA,NA,NA,NA,NA
"M=0.08",17.0333,17.7219,18.301,18.7106,19.0332,19.3017,19.5246,19.7259,20.0364,20.2119,20.3874,20.4773,20.7367,20.9137,21.0951,NA,NA,NA,NA,NA
"M=0.09",17.0389,17.7265,18.3033,18.7102,19.0332,19.2993,19.522,19.7232,20.0327,20.2081,20.3832,20.4631,20.731,20.9073,21.0887,NA,NA,NA,NA,NA
"M=0.1",17.0446,17.7278,18.3061,18.7105,19.0321,19.2975,19.52,19.7212,20.0294,20.2047,20.3795,20.4524,20.7261,20.9019,21.0834,NA,NA,NA,NA,NA
"M=0.11",17.0502,17.7362,18.3093,18.7115,19.0315,19.2964,19.5187,19.7197,20.0265,20.2018,20.3764,20.444,20.7219,20.8973,21.0788,NA,NA,NA,NA,NA
"M=0.12",17.0558,17.7412,18.3127,18.7128,19.0315,19.2915,19.5178,19.7188,20.024,20.1992,20.3736,20.4374,20.7183,20.8934,21.075,NA,NA,NA,NA,NA
"M=0.13",17.0848,17.7463,18.3163,18.7145,19.0319,19.2913,19.5173,19.7182,20.0218,20.0764,20.3713,20.4321,20.7153,20.8901,21.0719,NA,NA,NA,NA,NA
"M=0.14",17.067,17.7514,18.32,18.7165,19.0327,19.2913,19.5172,19.718,20.0199,20.0753,20.3693,20.4278,20.6256,20.8872,21.0693,NA,NA,NA,NA,NA
"M=0.15",17.0725,17.7516,18.3239,18.7187,19.0338,19.2917,19.5174,19.7181,19.9029,20.1935,20.3675,20.4245,20.7105,20.8849,21.0672,NA,NA,NA,NA,NA
