"","q=0.2","q=0.4","q=0.6","q=0.8","q=1","q=1.2","q=1.4","q=1.6","q=1.8","q=2","q=2.2","q=2.4","q=2.6","q=2.8","q=3","q=3.2","q=3.4","q=3.6","q=3.8","q=4"
"M=0.01",21.3033,22.399,23.4178,24.08,24.914,25.3905,26.2405,27.6216,28.8234,30.1854,31.6298,33.1762,34.7444,36.3602,37.9878,NA,NA,NA,NA,NA
"M=0.02",21.2043,22.3262,23.3624,24.035,24.6848,25.3998,26.2601,27.6084,28.783,30.1055,31.5027,32.9998,34.5139,36.0629,37.586,NA,NA,NA,NA,NA
"M=0.03",21.1883,22.3331,23.3715,24.0476,24.7074,25.4299,26.2859,27.6126,28.7752,30.08,31.4563,32.9332,34.4304,35.9671,37.4756,NA,NA,NA,NA,NA
"M=0.04",21.1955,22.3573,23.3994,24.0772,24.7415,25.4672,26.3202,27.6243,28.4036,30.0741,31.4381,32.9036,34.3925,35.9269,37.4357,NA,NA,NA,NA,NA
"M=0.05",21.2117,22.3879,23.43,24.1131,24.7799,25.5073,26.3572,27.6401,28.7906,30.0779,31.4339,32.8922,34.3765,35.9116,37.4255,NA,NA,NA,NA,NA
"M=0.06",21.2411,22.4207,23.467,24.1513,24.8199,25.5482,26.3967,27.3494,28.4352,30.0874,31.4377,32.8913,34.373,35.9104,37.4309,NA,NA,NA,NA,NA
"M=0.07",21.2639,22.4541,23.5043,24.1875,24.8602,25.5892,26.4365,27.384,28.46,29.6988,31.4466,32.6579,34.3776,35.918,37.446,NA,NA,NA,NA,NA
"M=0.08",21.2874,22.4872,23.5414,24.2265,24.9002,25.6287,26.4763,27.4194,28.8405,30.1158,31.459,32.6023,34.3876,35.9315,37.4674,NA,NA,NA,NA,NA
"M=0.09",21.3112,22.5199,23.5777,24.2649,24.9381,25.669,26.5156,27.4552,28.8601,30.1329,31.4739,32.5759,34.4017,35.9495,37.4934,NA,NA,NA,NA,NA
"M=0.1",21.3351,22.4651,23.6132,24.3025,24.9771,25.7085,26.5544,27.4911,28.8805,30.1514,31.4906,32.5639,34.4188,35.9707,37.5228,NA,NA,NA,NA,NA
"M=0.11",21.3587,22.5831,23.6479,24.3392,25.0153,25.7472,26.5926,27.5269,28.9014,30.1707,31.5086,32.5611,34.4381,35.9945,37.5549,NA,NA,NA,NA,NA
"M=0.12",21.382,22.6136,23.6817,24.3751,25.0525,25.806,26.6302,27.5625,28.9229,30.1908,31.5278,32.5649,34.4593,36.0203,37.5891,NA,NA,NA,NA,NA
"M=0.13",21.4755,22.6434,23.7146,24.4101,25.089,25.8433,26.6672,27.5978,28.9446,29.8341,31.5478,32.5737,34.4819,36.0479,37.6251,NA,NA,NA,NA,NA
"M=0.14",21.4278,22.6725,23.7468,24.4443,25.1247,25.8799,26.7035,27.6327,28.9666,29.8623,31.5685,32.5863,34.1614,36.0768,37.6627,NA,NA,NA,NA,NA
"M=0.15",21.4502,22.611,23.7782,24.4777,25.1596,25.9158,26.7393,27.6673,28.7076,30.254,31.5897,32.6019,34.5306,36.1069,37.7016,NA,NA,NA,NA,NA
