"","q=0.2","q=0.4","q=0.6","q=0.8","q=1","q=1.2","q=1.4","q=1.6","q=1.8","q=2","q=2.2","q=2.4","q=2.6","q=2.8","q=3","q=3.2","q=3.4","q=3.6","q=3.8","q=4"
"M=0.01",13.8086,13.9768,14.2335,14.5899,15.3302,16.1403,17.1539,18.5883,19.6741,20.705,21.6886,22.5862,23.4114,24.1483,24.8227,NA,NA,NA,NA,NA
"M=0.02",13.8966,14.074,14.2901,14.5707,15.111,15.8597,16.7254,18.0757,19.1012,20.0798,21.0186,21.8788,22.6724,23.3742,24.0012,NA,NA,NA,NA,NA
"M=0.03",13.9729,14.1414,14.3489,14.5843,15.0548,15.7248,16.5125,17.7673,18.7614,19.7062,20.6168,21.4541,22.2318,22.9223,23.5394,NA,NA,NA,NA,NA
"M=0.04",14.0371,14.2025,14.3982,14.6041,15.0282,15.6431,16.3751,17.5569,18.0946,19.4379,20.327,21.1464,21.9114,22.5939,23.2063,NA,NA,NA,NA,NA
"M=0.05",14.0922,14.254,14.4409,14.625,15.0148,15.588,16.2696,17.3956,18.3315,19.2282,20.0993,20.9037,21.6577,22.3331,22.9418,NA,NA,NA,NA,NA
"M=0.06",14.1331,14.2986,14.4778,14.6453,15.0084,15.5483,16.1948,16.9515,17.7647,19.056,19.9114,20.7027,21.4468,22.1153,22.7205,NA,NA,NA,NA,NA
"M=0.07",14.1761,14.338,14.5107,14.6636,15.0061,15.5184,16.1354,16.8622,17.6455,18.4504,19.7513,20.2445,21.2656,21.9276,22.5293,NA,NA,NA,NA,NA
"M=0.08",14.2149,14.3733,14.5403,14.6819,15.0062,15.4904,16.0868,16.7876,17.9375,18.7827,19.6115,20.0259,21.1066,21.7621,22.3601,NA,NA,NA,NA,NA
"M=0.09",14.2502,14.4054,14.5672,14.6991,15.0051,15.472,16.0461,16.7241,17.8395,18.6704,19.4875,19.8505,20.9646,21.6138,22.208,NA,NA,NA,NA,NA
"M=0.1",14.2827,14.4084,14.5919,14.7153,15.0079,15.457,16.0114,16.6689,17.7521,18.5697,19.3759,19.7004,20.8361,21.4792,22.0695,NA,NA,NA,NA,NA
"M=0.11",14.3128,14.4618,14.6147,14.7306,15.0113,15.4447,15.9813,16.6204,17.6733,18.4785,19.2744,19.5685,20.7186,21.3558,21.9421,NA,NA,NA,NA,NA
"M=0.12",14.3409,14.4869,14.636,14.745,15.0151,15.4184,15.955,16.5772,17.6016,18.3952,19.1813,19.4505,20.6102,21.2416,21.8238,NA,NA,NA,NA,NA
"M=0.13",14.3797,14.5104,14.6558,14.7587,15.0192,15.4098,15.9317,16.5385,17.5359,17.8829,19.0953,19.3438,20.5096,21.1353,21.7133,NA,NA,NA,NA,NA
"M=0.14",14.3919,14.5324,14.6744,14.7717,15.0235,15.4024,15.9109,16.5034,17.4753,17.8186,19.0153,19.2463,20.0256,21.0357,21.6095,NA,NA,NA,NA,NA
"M=0.15",14.4152,14.5272,14.6919,14.7841,15.0279,15.3961,15.8921,16.4714,17.1064,18.181,18.9405,19.1566,20.3271,20.9418,21.5114,NA,NA,NA,NA,NA
