"variable","year","src","median","lower","upper"
"log_mea",NA,"2021 Model",3.918555,3.56310675,4.38845125
"log_rec_dev",1935,"2021 Model",-0.739879,-3.47008625,0.901413175
"log_rec_dev",1936,"2021 Model",-0.6071625,-2.33135125,0.787925325
"log_rec_dev",1937,"2021 Model",-0.8184995,-2.709086,0.8732057
"log_rec_dev",1938,"2021 Model",-0.6824715,-2.08418775,0.766162225
"log_rec_dev",1939,"2021 Model",-0.826288,-3.04697775,0.940895925
"log_rec_dev",1940,"2021 Model",-0.546092,-2.307855,1.06691225
"log_rec_dev",1941,"2021 Model",-0.4064095,-2.0330515,1.18034075
"log_rec_dev",1942,"2021 Model",-0.5638345,-2.99831475,1.138067
"log_rec_dev",1943,"2021 Model",-0.655722,-2.642431,1.1364385
"log_rec_dev",1944,"2021 Model",-0.7187595,-2.491352,0.99356765
"log_rec_dev",1945,"2021 Model",-0.4131075,-2.42879,1.053007
"log_rec_dev",1946,"2021 Model",-0.6846885,-2.680819,1.1090755
"log_rec_dev",1947,"2021 Model",-0.480971,-2.17365275,0.99697485
"log_rec_dev",1948,"2021 Model",-0.9428245,-3.329047,0.954364099999999
"log_rec_dev",1949,"2021 Model",-0.617189,-2.38515575,0.947864174999999
"log_rec_dev",1950,"2021 Model",-0.550418,-3.76738975,0.964628674999999
"log_rec_dev",1951,"2021 Model",-0.751921,-3.0828855,1.02976575
"log_rec_dev",1952,"2021 Model",-0.5611585,-2.77541525,1.18012725
"log_rec_dev",1953,"2021 Model",0.426342,-2.62652225,2.19046
"log_rec_dev",1954,"2021 Model",-0.501561,-2.67736675,2.01275325
"log_rec_dev",1955,"2021 Model",0.408274,-2.247329,2.826194
"log_rec_dev",1956,"2021 Model",2.475235,-2.11255325,3.51630725
"log_rec_dev",1957,"2021 Model",1.841575,1.17537725,2.63934575
"log_rec_dev",1958,"2021 Model",2.53278,-0.657319775,3.65678375
"log_rec_dev",1959,"2021 Model",1.77036,-1.792505,3.321398
"log_rec_dev",1960,"2021 Model",3.20068,2.55079625,3.69811325
"log_rec_dev",1961,"2021 Model",0.740469,-1.62383875,2.2681405
"log_rec_dev",1962,"2021 Model",0.4179745,-1.7885625,2.16433075
"log_rec_dev",1963,"2021 Model",1.48558,-0.410265575,2.420853
"log_rec_dev",1964,"2021 Model",0.016861125,-2.41103025,2.10227025
"log_rec_dev",1965,"2021 Model",0.6146565,-2.4339705,2.0786705
"log_rec_dev",1966,"2021 Model",1.729965,0.234158775,2.63312475
"log_rec_dev",1967,"2021 Model",0.928824,-0.7131196,1.9554775
"log_rec_dev",1968,"2021 Model",0.184854,-2.021041,1.4588295
"log_rec_dev",1969,"2021 Model",-0.1051275,-2.39130825,1.20788925
"log_rec_dev",1970,"2021 Model",0.2569595,-2.37785,1.45235325
"log_rec_dev",1971,"2021 Model",-0.4101475,-2.65274425,0.8669759
"log_rec_dev",1972,"2021 Model",-0.577389,-2.5325175,0.5725284
"log_rec_dev",1973,"2021 Model",-0.916507,-2.28105875,0.675802924999999
"log_rec_dev",1974,"2021 Model",-1.40686,-3.2646385,-0.0596410825000001
"log_rec_dev",1975,"2021 Model",-1.56518,-3.92938525,-0.0790480075000019
"log_rec_dev",1976,"2021 Model",-1.11884,-2.841917,0.13575255
"log_rec_dev",1977,"2021 Model",-0.9805355,-4.127105,0.57118355
"log_rec_dev",1978,"2021 Model",0.04852755,-1.1169315,0.88978575
"log_rec_dev",1979,"2021 Model",-0.7443295,-2.73042575,0.433535925
"log_rec_dev",1980,"2021 Model",-1.014865,-4.36039625,0.249710474999999
"log_rec_dev",1981,"2021 Model",-0.3632655,-3.1183345,0.745889025
"log_rec_dev",1982,"2021 Model",-0.526316,-2.167513,0.56541185
"log_rec_dev",1983,"2021 Model",0.01668225,-1.19192175,0.82228275
"log_rec_dev",1984,"2021 Model",-0.359361,-3.97766725,0.693636774999999
"log_rec_dev",1985,"2021 Model",0.32061,-0.654382975,1.138142
"log_rec_dev",1986,"2021 Model",0.5899655,-0.63019395,1.3594635
"log_rec_dev",1987,"2021 Model",0.6217425,-0.593250575,1.3282725
"log_rec_dev",1988,"2021 Model",1.0402,0.4878395,1.6072785
"log_rec_dev",1989,"2021 Model",0.8857125,0.0888282975,1.53183475
"log_rec_dev",1990,"2021 Model",0.5920695,-0.287420825,1.20177875
"log_rec_dev",1991,"2021 Model",-0.2681885,-1.70135925,0.636910974999999
"log_rec_dev",1992,"2021 Model",-0.04220905,-1.218304,0.830625424999999
"log_rec_dev",1993,"2021 Model",0.03351215,-1.163127,0.774063575
"log_rec_dev",1994,"2021 Model",0.2522865,-0.61858855,1.00043175
"log_rec_dev",1995,"2021 Model",-0.0511429,-1.19441275,0.80940705
"log_rec_dev",1996,"2021 Model",0.88291,0.185875025,1.4258525
"log_rec_dev",1997,"2021 Model",0.933632,0.13878195,1.47979525
"log_rec_dev",1998,"2021 Model",0.4081205,-1.06940075,1.19957325
"log_rec_dev",1999,"2021 Model",0.618235,-0.2836941,1.4348035
"log_rec_dev",2000,"2021 Model",1.39465,0.8854731,1.88438
"log_rec_dev",2001,"2021 Model",0.836469,-0.228928975,1.545808
"log_rec_dev",2002,"2021 Model",1.412485,0.789209,1.9041985
"log_rec_dev",2003,"2021 Model",0.536427,-0.9249778,1.39096475
"log_rec_dev",2004,"2021 Model",1.150345,0.50422775,1.83168375
"log_rec_dev",2005,"2021 Model",-0.207493,-2.22094375,1.0091235
"log_rec_dev",2006,"2021 Model",0.7855825,-0.72002855,1.51480275
"log_rec_dev",2007,"2021 Model",0.2138895,-2.785832,1.19278025
"log_rec_dev",2008,"2021 Model",1.406165,0.70892075,1.9178885
"log_rec_dev",2009,"2021 Model",0.916376,-0.6038618,1.721428
"log_rec_dev",2010,"2021 Model",1.44736,0.53520375,2.0881735
"log_rec_dev",2011,"2021 Model",0.1637535,-1.46270325,1.36461175
"log_rec_dev",2012,"2021 Model",1.126355,0.34368765,1.79366425
"log_rec_dev",2013,"2021 Model",-0.342266,-2.05610025,0.970077225
"log_rec_dev",2014,"2021 Model",0.9426975,-0.9120853,1.906045
"log_rec_dev",2015,"2021 Model",0.729328,-0.8071463,1.91343725
"log_rec_dev",2016,"2021 Model",0.628651,-2.89377425,1.953911
"log_rec_dev",2017,"2021 Model",-0.1219875,-2.0971995,1.3182145
"log_rec_dev",2018,"2021 Model",1.934615,0.0666122675000001,3.0288175
"log_rec_dev",2019,"2021 Model",-0.1992485,-2.732947,1.5684745
"log_rec_dev",2020,"2021 Model",0.26988,-2.53883025,2.10751275
"log_rec_dev",2021,"2021 Model",0.16112,-1.742538,2.3421055
"rec_proj",2022,"2021 Model",66.5757,7.164482,373.204849999999
"rec_proj",2023,"2021 Model",72.32515,9.56164575,467.592099999999
"rec_proj",2024,"2021 Model",73.72795,9.54089875,491.201999999999
"rec_proj",2025,"2021 Model",67.94335,8.397535,455.79895
"rec_proj",2026,"2021 Model",70.58755,9.5217955,591.850575
"rec_proj",2027,"2021 Model",70.12975,7.71642675,445.20675
"rec_proj",2028,"2021 Model",69.6822,7.5574745,453.936775
"rec_proj",2029,"2021 Model",68.17695,8.5084765,480.412875
"rec_proj",2030,"2021 Model",68.5998,8.881023,470.58005
"rec_proj",2031,"2021 Model",67.96555,7.88920425,497.705799999998
"spawn_biom",1961,"2021 Model",183.7475,140.158575,234.4947
"spawn_biom",1962,"2021 Model",207.523,162.7711,251.806325
"spawn_biom",1963,"2021 Model",226.9845,182.19355,266.008575
"spawn_biom",1964,"2021 Model",232.4765,187.77105,269.64645
"spawn_biom",1965,"2021 Model",208.248,170.5606,249.323
"spawn_biom",1966,"2021 Model",150.6365,124.1996,183.4451
"spawn_biom",1967,"2021 Model",129.656,109.250075,155.8178
"spawn_biom",1968,"2021 Model",122.0705,104.331225,147.905025
"spawn_biom",1969,"2021 Model",111.216,92.64218,133.84455
"spawn_biom",1970,"2021 Model",103.803,85.6132775,125.385025
"spawn_biom",1971,"2021 Model",104.376,87.91842,125.2307
"spawn_biom",1972,"2021 Model",93.255,78.368365,113.25145
"spawn_biom",1973,"2021 Model",80.52185,68.3075975,98.71281
"spawn_biom",1974,"2021 Model",73.92595,62.010205,90.1440875
"spawn_biom",1975,"2021 Model",65.1452,52.957665,82.04814
"spawn_biom",1976,"2021 Model",53.33455,41.198555,71.1346775
"spawn_biom",1977,"2021 Model",41.16445,28.4393875,59.9911375
"spawn_biom",1978,"2021 Model",36.5661,23.27916,54.67226
"spawn_biom",1979,"2021 Model",36.5416,23.2878525,55.1649825
"spawn_biom",1980,"2021 Model",35.6958,23.05362,54.75692
"spawn_biom",1981,"2021 Model",33.54215,21.4453225,52.5433075
"spawn_biom",1982,"2021 Model",31.1181,19.195565,50.9285725
"spawn_biom",1983,"2021 Model",31.3195,19.5254475,51.1497925
"spawn_biom",1984,"2021 Model",32.7095,21.1938025,52.9656775
"spawn_biom",1985,"2021 Model",34.9698,22.840595,55.32008
"spawn_biom",1986,"2021 Model",38.2757,26.1027275,59.7846175
"spawn_biom",1987,"2021 Model",41.1389,28.934105,64.4948475
"spawn_biom",1988,"2021 Model",43.5286,31.253795,67.958995
"spawn_biom",1989,"2021 Model",44.94385,31.9188625,71.9175
"spawn_biom",1990,"2021 Model",45.59765,32.0133875,75.6415025
"spawn_biom",1991,"2021 Model",47.00955,32.00866,79.799005
"spawn_biom",1992,"2021 Model",52.52355,35.39974,88.35316
"spawn_biom",1993,"2021 Model",60.02125,40.41932,99.494945
"spawn_biom",1994,"2021 Model",70.94825,48.7113,116.204675
"spawn_biom",1995,"2021 Model",83.564,58.1127825,133.98745
"spawn_biom",1996,"2021 Model",94.3427,66.4969075,150.347375
"spawn_biom",1997,"2021 Model",104.008,73.23616,163.974975
"spawn_biom",1998,"2021 Model",111.086,78.71264,172.689025
