"variable","year","Q1","median","Q3"
"log_F_devs",1961,-1.00201883666801,-0.775796557003468,-0.601658863136323
"log_F_devs.1",1962,0.23363185294112,0.427457038897945,0.663985561929657
"log_F_devs.2",1963,0.910129766289846,1.12169160438282,1.2984719319652
"log_F_devs.3",1964,1.46994920880267,1.6813714462549,1.88766945161133
"log_F_devs.4",1965,1.96946701800692,2.17795504355804,2.39265001551045
"log_F_devs.5",1966,1.60400508415285,1.80137387629839,2.04075844043135
"log_F_devs.6",1967,1.22881623751307,1.42133500420825,1.64100750104182
"log_F_devs.7",1968,1.23726946549389,1.42140690649205,1.63161843221968
"log_F_devs.8",1969,1.02135891458328,1.22407391380168,1.43624364412707
"log_F_devs.9",1970,0.581803618411602,0.775906865944138,1.01210694287541
"log_F_devs.10",1971,1.18227833094357,1.35523491824228,1.53049613968643
"log_F_devs.11",1972,1.28592361577523,1.47109768951167,1.65802926359928
"log_F_devs.12",1973,1.04426686646992,1.22082777595165,1.44085640474491
"log_F_devs.13",1974,1.13317385153247,1.31806925514539,1.51259442936078
"log_F_devs.14",1975,1.25745408622621,1.47905428999729,1.67159563352808
"log_F_devs.15",1976,1.41802648972134,1.62971762515366,1.81284003832498
"log_F_devs.16",1977,0.986166989033715,1.21624211757548,1.39886313760823
"log_F_devs.17",1978,0.101058567516464,0.321539280355354,0.518223327111563
"log_F_devs.18",1979,0.124823372344044,0.36632915902713,0.569625405314625
"log_F_devs.19",1980,0.464604868338522,0.710029550151428,0.919306360535433
"log_F_devs.20",1981,0.512907295598345,0.76026988728517,0.958454611238162
"log_F_devs.21",1982,-0.109778717737375,0.118295653932907,0.336143953198638
"log_F_devs.22",1983,-0.781913178552941,-0.583711433595201,-0.373254210130443
"log_F_devs.23",1984,-0.857032478652476,-0.639144672589995,-0.456151561921272
"log_F_devs.24",1985,-2.21358710983785,-2.00615685153646,-1.76584147754401
"log_F_devs.25",1986,-1.24912743435628,-1.04162732476244,-0.833756237191226
"log_F_devs.26",1987,-0.580602054124844,-0.381877927631991,-0.200501208027336
"log_F_devs.27",1988,0.0355389153372933,0.232574023113396,0.409057129512549
"log_F_devs.28",1989,0.327251801778458,0.511471965860726,0.712288803877362
"log_F_devs.29",1990,0.39797209842538,0.586179931116422,0.768716233464236
"log_F_devs.30",1991,-0.39817743550392,-0.175201191988471,0.00928093387341012
"log_F_devs.31",1992,-0.545907042921957,-0.32928580241554,-0.156946311446934
"log_F_devs.32",1993,-1.82686282124171,-1.64722180123076,-1.46122429580683
"log_F_devs.33",1994,-2.15255324409092,-1.95724740424831,-1.77794349161244
"log_F_devs.34",1995,-1.15845839116509,-0.968024449742155,-0.798194404791268
"log_F_devs.35",1996,-0.752479498137575,-0.516922974802406,-0.347140479078614
"log_F_devs.36",1997,-0.674303275570049,-0.458240815687999,-0.269161923332232
"log_F_devs.37",1998,-0.800557122148498,-0.578432796777028,-0.348554362268234
"log_F_devs.38",1999,-0.664291409479306,-0.438904945860851,-0.274038233979709
"log_F_devs.39",2000,-0.666305474311053,-0.461559512719929,-0.262636056919275
"log_F_devs.40",2001,-0.595111584619336,-0.396142096925883,-0.252038110569665
"log_F_devs.41",2002,-0.538248685062979,-0.313131002358605,-0.164357435215987
"log_F_devs.42",2003,-0.61137378523054,-0.403316280521417,-0.254366230972561
"log_F_devs.43",2004,-0.597518055848306,-0.413658615920178,-0.221297173383667
"log_F_devs.44",2005,-0.644051168417894,-0.450368780499846,-0.304134916263923
"log_F_devs.45",2006,-0.548872234119498,-0.373338657558033,-0.17310697767308
"log_F_devs.46",2007,-0.768909859051803,-0.586041673356588,-0.384384380403536
"log_F_devs.47",2008,-0.851020961312415,-0.657981736578298,-0.486390785475061
"log_F_devs.48",2009,-0.886404421012213,-0.70324965508115,-0.531514950281936
"log_F_devs.49",2010,-0.764288863869892,-0.558819916639306,-0.396413068849058
"log_F_devs.50",2011,-0.905038006083249,-0.703042948171082,-0.505539127316071
"log_F_devs.51",2012,-0.871896004263989,-0.678641702470437,-0.486479634975621
"log_F_devs.52",2013,-1.02370563058032,-0.831970494743454,-0.660234713295293
"log_F_devs.53",2014,-0.732099354984168,-0.536417429180424,-0.371845599263429
"log_F_devs.54",2015,-0.728534197182105,-0.53301006918109,-0.361732613565543
"log_F_devs.55",2016,-0.539783926390748,-0.320817767922692,-0.106581634693107
"log_F_devs.56",2017,-0.512348347095133,-0.316555395576447,-0.130617646921914
"log_F_devs.57",2018,-0.458536529773527,-0.261766239877925,-0.0668572240771206
"log_F_devs.58",2019,-0.445519353744694,-0.204610219731252,-0.0349014486128656
"log_F_devs.59",2020,-0.462937758915525,-0.283361384759119,-0.0831892589961325
"log_F_devs.60",2021,-0.310180872710794,-0.127063550165946,0.0537625149474046
"log_rec_dev",1935,-1.61380911656918,-0.739879000518159,-0.127820310518791
"log_rec_dev.1",1936,-1.12404844728887,-0.607162366217774,-0.0745128982898824
"log_rec_dev.2",1937,-1.36718723676715,-0.81849985425711,-0.134598333214876
"log_rec_dev.3",1938,-1.22556686813434,-0.682471530122426,-0.254567430400643
"log_rec_dev.4",1939,-1.35881292999174,-0.826287727886453,-0.238843092971154
"log_rec_dev.5",1940,-1.18134074508678,-0.546091795121607,0.0198485542113595
"log_rec_dev.6",1941,-0.954527753094959,-0.406409191685122,0.174000116178135
"log_rec_dev.7",1942,-1.36065585192771,-0.563834801481779,0.192195007925927
"log_rec_dev.8",1943,-1.37595098791371,-0.655721995552184,-0.081329577412665
"log_rec_dev.9",1944,-1.27296352455879,-0.718759190949435,-0.0494835320129425
"log_rec_dev.10",1945,-1.18560013580875,-0.413107186377055,0.227336929932746
"log_rec_dev.11",1946,-1.42455833162423,-0.684688149727011,-0.0803437839535448
"log_rec_dev.12",1947,-1.10857492215731,-0.480970741859867,0.0522055932194454
"log_rec_dev.13",1948,-1.753520800296,-0.942824707305451,-0.191087629340233
"log_rec_dev.14",1949,-1.31380623920082,-0.617189185290604,-0.0358309880328313
"log_rec_dev.15",1950,-1.27889970942251,-0.55041788485515,0.019523706030399
"log_rec_dev.16",1951,-1.6606672233562,-0.751921096345838,-0.0298716077616463
"log_rec_dev.17",1952,-1.34297341945368,-0.561158118742011,0.140810681618655
"log_rec_dev.18",1953,-0.338164669560067,0.426342121437009,1.07398810965695
"log_rec_dev.19",1954,-1.27069106187494,-0.501561075185599,0.292912932663019
"log_rec_dev.20",1955,-0.513799143333092,0.408273840814346,1.59195020686837
"log_rec_dev.21",1956,1.62839969425514,2.47523297393964,3.04628708294632
"log_rec_dev.22",1957,1.56401515180869,1.84157482576337,2.06694807240501
"log_rec_dev.23",1958,0.830837988421482,2.53278193930607,3.09546954608875
"log_rec_dev.24",1959,0.162240886895506,1.77035963943325,2.75629228674216
"log_rec_dev.25",1960,2.99095184448671,3.20068045371112,3.40020924993789
"log_rec_dev.26",1961,-0.0353414564427776,0.740468943756285,1.43157861302692
"log_rec_dev.27",1962,-0.536898873748465,0.417974583226,1.31490981025183
"log_rec_dev.28",1963,0.827518440975091,1.48558025825624,1.87349944590628
"log_rec_dev.29",1964,-0.988253297169553,0.0168611101469827,1.09815740646028
"log_rec_dev.30",1965,-0.571142653802332,0.614656644230345,1.30420408989751
"log_rec_dev.31",1966,1.21500016634423,1.72996885446222,2.10654544404367
"log_rec_dev.32",1967,0.182456216444155,0.928823938619068,1.46929971609302
"log_rec_dev.33",1968,-0.529586077051425,0.184853989478478,0.756393247944693
"log_rec_dev.34",1969,-0.934531437442715,-0.105127558465698,0.408834619141303
"log_rec_dev.35",1970,-0.450340665401595,0.256959111936756,0.846972953426393
"log_rec_dev.36",1971,-1.39683465609304,-0.410147580402287,0.153034823246171
"log_rec_dev.37",1972,-1.39846813942257,-0.577388974456752,-0.13177080654301
"log_rec_dev.38",1973,-1.40706977581675,-0.916507155809693,-0.274716510296756
"log_rec_dev.39",1974,-2.04162000068511,-1.4068575168802,-0.878779276913343
"log_rec_dev.40",1975,-2.17009301164381,-1.56517869041731,-1.0148444192254
"log_rec_dev.41",1976,-1.80459367714909,-1.11884045398542,-0.550602559125483
"log_rec_dev.42",1977,-1.79928674853956,-0.980535491542421,-0.294790132637802
"log_rec_dev.43",1978,-0.441000495213146,0.0485275497170115,0.476907616713583
"log_rec_dev.44",1979,-1.37874408252057,-0.744329861785644,-0.239391359976394
"log_rec_dev.45",1980,-1.90157294690647,-1.01486550485817,-0.586683708306097
"log_rec_dev.46",1981,-0.978729146190865,-0.363265590556454,0.0907282898847699
"log_rec_dev.47",1982,-1.05222815667823,-0.526316070892789,-0.122569319941685
"log_rec_dev.48",1983,-0.399807019419892,0.0166822208352589,0.321606823442596
"log_rec_dev.49",1984,-0.94960441394678,-0.359360728252772,0.0754821871890235
