"age","fish","srv1","maturity"
2,0.000830044,0.0942867,0.00657105
3,0.00964731,0.148311,0.0127563
4,0.0365625,0.225581,0.0246193
5,0.0875809,0.327623,0.0469894
6,0.163156,0.449058,0.0878553
7,0.259261,0.576885,0.158356
8,0.369159,0.695187,0.268761
9,0.485075,0.792321,0.417919
10,0.599463,0.864534,0.583771
11,0.70583,0.914353,0.732603
12,0.799163,0.946976,0.842568
13,0.876056,0.967614,0.9127
14,0.934629,0.980387,0.953321
15,0.974332,0.988185,0.975547
16,0.995683,0.992907,0.987331
17,1,0.995751,0.993474
18,0.98914,0.997459,0.996649
19,0.965275,0.998483,0.998282
20,0.930713,0.999096,0.99912
21,0.887743,0.999463,0.999549
22,0.838541,0.999683,0.999769
23,0.785092,0.999814,0.999882
24,0.729153,0.999892,0.999939
25,0.672226,0.999939,0.999969
26,0.615563,0.999967,0.999984
27,0.560171,0.999984,0.999992
28,0.506833,0.999994,0.999996
29,0.456127,1,0.999998
