"Yr","seas","fleet","catch","cv"
1961,1,1,16000,0.01
1962,1,1,65000,0.01
1963,1,1,136300,0.01
1964,1,1,243400,0.01
1965,1,1,348600,0.01
1966,1,1,200800,0.01
1967,1,1,120000,0.01
1968,1,1,100200,0.01
1969,1,1,72600,0.01
1970,1,1,44900,0.01
1971,1,1,77500,0.01
1972,1,1,77600,0.01
1973,1,1,56400,0.01
1974,1,1,51000,0.01
1975,1,1,50400,0.01
1976,1,1,45500,0.01
1977,1,1,21600,0.01
1978,1,1,8000,0.01
1979,1,1,8300,0.01
1980,1,1,10800,0.01
1981,1,1,10500,0.01
1982,1,1,5400,0.01
1983,1,1,2821,0.01
1984,1,1,2752,0.01
1985,1,1,800,0.01
1986,1,1,2200,0.01
1987,1,1,4500,0.01
1988,1,1,8540,0.01
1989,1,1,11780,0.01
1990,1,1,13090,0.01
1991,1,1,6548,0.01
1992,1,1,6538,0.01
1993,1,1,2060,0.01
1994,1,1,1841,0.01
1995,1,1,5741,0.01
1996,1,1,8378,0.01
1997,1,1,9519,0.01
1998,1,1,8908,0.01
1999,1,1,10473,0.01
2000,1,1,10146,0.01
2001,1,1,10817,0.01
2002,1,1,11734,0.01
2003,1,1,10846,0.01
2004,1,1,11640,0.01
2005,1,1,11248,0.01
2006,1,1,13595,0.01
2007,1,1,12955,0.01
2008,1,1,12461,0.01
2009,1,1,12986,0.01
2010,1,1,15616,0.01
2011,1,1,14224,0.01
2012,1,1,14916,0.01
2013,1,1,13181,0.01
2014,1,1,17712,0.01
2015,1,1,18733,0.01
2016,1,1,23034,0.01
2017,1,1,23860,0.01
2018,1,1,24737,0.01
2019,1,1,25470,0.01
2020,1,1,25191,0.01
2021,1,1,28900,0.01
2022,1,1,29484,0.01
2023,1,1,802,0.01
