yr,month,fleet,sex,part,ageerr,Lbin_lo,Lbin_hi,Nsamp,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1990,7,2,1,0,1,-1,-1,1754,0.014253136,0.057582668,0.112884835,0.094640821,0.114595211,0.097491448,0.07354618,0.063283922,0.058722919,0.037058153,0.025655644,0.02622577,0.070695553,0.014823261,0.012542759,0.005701254,0.007981756,0.005701254,0.006841505,0.006841505,0.002280502,0.002850627,0.005131129,0.082668187
1993,7,2,1,0,1,-1,-1,1378,0.029027576,0.047169811,0.052975327,0.063134978,0.100145138,0.100870827,0.087082729,0.115384615,0.066763425,0.035558781,0.034833091,0.031930334,0.018867925,0.028301887,0.01233672,0.044992743,0.010885341,0.002902758,0.002902758,0.002902758,0.005805515,0.003628447,0.005805515,0.095791001
1996,7,2,1,0,1,-1,-1,641,0.010920437,0.034321373,0.056162246,0.057722309,0.104524181,0.062402496,0.079563183,0.109204368,0.129485179,0.081123245,0.063962559,0.026521061,0.024960998,0.018720749,0.007800312,0.014040562,0.010920437,0.018720749,0.015600624,0.00624025,0.00624025,0.003120125,0,0.057722309
1999,7,2,1,0,1,-1,-1,855,0.045614035,0.097076023,0.100584795,0.112280702,0.063157895,0.063157895,0.05497076,0.070175439,0.031578947,0.056140351,0.07251462,0.039766082,0.03625731,0.021052632,0.024561404,0.010526316,0.010526316,0.002339181,0.009356725,0.005847953,0.009356725,0.012865497,0.005847953,0.044444444
2003,7,2,1,0,1,-1,-1,985,0.037563452,0.097461929,0.089340102,0.124873096,0.063959391,0.062944162,0.089340102,0.087309645,0.03857868,0.036548223,0.026395939,0.024365482,0.039593909,0.03248731,0.029441624,0.021319797,0.020304569,0.012182741,0.012182741,0.007106599,0.005076142,0.004060914,0.006091371,0.031472081
2005,7,2,1,0,1,-1,-1,1009,0.012884044,0.093161546,0.093161546,0.120911794,0.078295342,0.105054509,0.055500496,0.061446977,0.063429138,0.046580773,0.024777007,0.017839445,0.022794846,0.027750248,0.014866204,0.020812686,0.025768087,0.019821606,0.018830525,0.011892963,0.014866204,0.004955401,0.007928642,0.03666997
2007,7,2,1,0,1,-1,-1,1177,0.032285472,0.089209856,0.065420561,0.111299915,0.082412914,0.073916737,0.066270178,0.079864061,0.053525913,0.035683942,0.037383178,0.028887001,0.018691589,0.016142736,0.008496177,0.011894647,0.026338148,0.019541206,0.027187766,0.018691589,0.016992353,0.010195412,0.013593883,0.056074766
2009,7,2,1,0,1,-1,-1,418,0.172248804,0.150717703,0.086124402,0.090909091,0.043062201,0.06937799,0.045454545,0.040669856,0.0215311,0.019138756,0.035885167,0.009569378,0.014354067,0.016746411,0.007177033,0.004784689,0.004784689,0.007177033,0.009569378,0.026315789,0.0215311,0.007177033,0.011961722,0.083732057
2011,7,2,1,0,1,-1,-1,794,0.006297229,0.079345088,0.078085642,0.115869018,0.041561713,0.057934509,0.046599496,0.068010076,0.056675063,0.080604534,0.052896725,0.046599496,0.032745592,0.027707809,0.018891688,0.012594458,0.022670025,0.017632242,0.017632242,0.01511335,0.011335013,0.013853904,0.016372796,0.062972292
2013,7,2,1,0,1,-1,-1,858,0.002331002,0.097902098,0.03962704,0.114219114,0.078088578,0.078088578,0.064102564,0.05011655,0.034965035,0.046620047,0.037296037,0.044289044,0.036130536,0.032634033,0.022144522,0.018648019,0.020979021,0.01981352,0.018648019,0.016317016,0.008158508,0.009324009,0.012820513,0.096736597
2015,7,2,1,0,1,-1,-1,744,0.01344086,0.055107527,0.014784946,0.102150538,0.041666667,0.110215054,0.060483871,0.108870968,0.044354839,0.032258065,0.02016129,0.034946237,0.021505376,0.036290323,0.030913978,0.029569892,0.022849462,0.010752688,0.025537634,0.021505376,0.014784946,0.010752688,0.009408602,0.127688172
2017,7,2,1,0,1,-1,-1,1071,0.010270775,0.058823529,0.059757236,0.068160598,0.012138189,0.072829132,0.040149393,0.083099907,0.070028011,0.044817927,0.0410831,0.028944911,0.026143791,0.024276377,0.032679739,0.038281979,0.033613445,0.021475257,0.02054155,0.028011204,0.022408964,0.009337068,0.02054155,0.132586368
2019,7,2,1,0,1,-1,-1,1214,0.05107084,0.097199341,0.021416804,0.042833608,0.032125206,0.039538715,0.030477759,0.060955519,0.059308072,0.057660626,0.049423394,0.034596376,0.022240527,0.016474465,0.028830313,0.029654036,0.029654036,0.028830313,0.024711697,0.032125206,0.02800659,0.016474465,0.026359143,0.140032949
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
