"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
0.9774,0.0226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0424,0.9153,0.0424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.0651,0.8698,0.0651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.0887,0.8226,0.0887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1e-04,0.1118,0.7762,0.1118,1e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,4e-04,0.1336,0.732,0.1336,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0011,0.1535,0.6908,0.1535,0.0011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0.0024,0.1713,0.6526,0.1713,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0.0044,0.1868,0.6176,0.1868,0.0044,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0072,0.2001,0.5855,0.2001,0.0072,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1e-04,0.0108,0.2111,0.5561,0.2111,0.0108,1e-04,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,2e-04,0.0151,0.2202,0.5291,0.2202,0.0151,2e-04,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,3e-04,0.0201,0.2273,0.5044,0.2273,0.0201,3e-04,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,6e-04,0.0257,0.2328,0.4817,0.2328,0.0257,6e-04,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0.0011,0.0317,0.2369,0.4607,0.2369,0.0317,0.0011,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.0379,0.2396,0.4414,0.2396,0.0379,0.0017,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,0.0443,0.2413,0.4236,0.2413,0.0443,0.0026,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0037,0.0506,0.2421,0.407,0.2421,0.0506,0.0037,1e-04,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0.005,0.0569,0.2421,0.3916,0.2421,0.0569,0.005,2e-04,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0.0067,0.063,0.2414,0.3773,0.2414,0.063,0.0067,3e-04
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-04,0.0085,0.0689,0.2402,0.364,0.2402,0.0689,0.009
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7e-04,0.0106,0.0744,0.2385,0.3515,0.2385,0.0857
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0129,0.0796,0.2365,0.3398,0.3301
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0014,0.0154,0.0845,0.2342,0.6644
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-04,0.0019,0.018,0.089,0.891
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2e-04,0.0025,0.0208,0.9765
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0.0033,0.9965
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-04,0.9996
