Age,SS,Wbar,SD_Wbar
4,74,192.1626794175213,59.01150204245393
5,113,313.0615962625414,189.40234757786166
6,322,379.1600114400489,93.63535513030182
7,452,471.43805426103125,152.79337763134507
8,727,535.2676753546535,107.48065457416905
9,939,603.1504749607327,155.91304862164174
10,1259,618.9439064606614,127.50831475165235
11,1177,640.2958097968421,125.86008937122705
12,1122,672.3903880156598,136.53554102258934
13,1000,704.944350077174,135.6860134667911
14,885,720.0563698732828,151.79601883006455
15,734,737.4386639419063,152.05847331293273
16,621,755.2962704842358,140.00316522964573
17,581,775.8318055312918,176.84171712356837
18,483,781.1474136244133,190.92477108367936
19,398,797.6266106966552,174.42605909731725
20,309,798.8533606074707,224.5311273287331
21,237,813.1762742821608,222.52960878054864
22,221,797.7547036674858,151.7357696314659
23,170,845.4468016825723,142.66049826775242
24,131,876.9032844734129,311.2088691412928
25,117,794.7637458078501,183.81978499090323
27,81,571.462805404849,145.16062708690487
28,75,495.44884582120187,285.84854720636895
29,63,736.2104804094189,145.76839683852614
31,35,749.2277987656498,233.7868822719865
