year,biomass,se,lci,uci
1990,157295,47129,64922,249668
1993,483622,108643,270682,696562
1996,771413,203554,372447,1170379
1999,727064,388566,0,1488653
2001,673155,222003,238029,1108281
2003,457422,72015,316273,598571
2005,764901,146628,477510,1052292
2007,688180,114172,464403,911957
2009,649449,117761,418637,880261
2011,778670,135506,513078,1044262
2013,1298443,213516,879952,1716934
2015,1140407,176812,793855,1486959
2017,1570359,350210,883947,2256771
2019,1212145,164066,890576,1533714
2021,1478940,304645,881836,2076044
