age	SD_Lbar	sample_size	Lbar
1	1.039294516832104	44	9.819321356481646
2	1.8414544558193249	331	14.652401915901898
3	1.6789782725321707	1041	19.29404472475297
4	2.3281395975478425	962	22.830337515162878
5	2.332074448100875	1285	25.988104852286142
6	2.7988944845824033	924	28.59633423830458
7	2.772716040005944	1046	31.060212414531083
8	2.5157022746146493	849	33.31218917006852
9	2.204446674526394	1047	34.64183792687043
10	2.0408630722712644	787	35.39293225822711
11	2.0324147825527774	643	36.03331388410122
12	2.1002541017870735	548	36.70939066899283
13	2.0288782698213854	437	37.35943979012239
14	2.0588669242603115	454	37.79065062691022
15	2.0161964803233494	329	38.28496291200373
16	2.0476491521290687	274	38.54977704327747
17	2.0168799438408547	306	38.92024357420101
18	2.156980343342916	278	39.19910034499995
19	2.0525407437144456	228	39.22460409785584
20	2.1863374260447963	237	39.371155690474176
21	1.9579437978150507	235	39.525280976912306
22	2.011982361784844	194	39.95311254999936
23	2.005865075951772	133	39.839265581791615
24	2.1486969821478783	166	39.98184702603979
25	1.9653185027029878	162	40.190850433176166
26	2.170327320328327	149	40.77026585946041
27	1.9216226982706557	111	40.63712981653612
28	1.9855489820873538	85	40.818525144824534
29	2.005912360961255	57	40.7580872413105
30	2.307462876714707	91	41.041925801333974
31	2.0872768746169825	65	40.642512252278074
32	2.5981171744064704	55	40.66238857013304
33	2.5764705376060366	36	40.849909216236405
34	2.085798494534223	34	41.24871967339011
35	2.2924045864906364	28	41.551702444692154
36	2.402765753177375	20	41.163293909932946
37	2.1040851038732202	27	41.386538577159484
38	2.337968472761175	22	40.98353121607943
39	2.078145800242936	27	42.46334662893912
40	2.321707116823156	20	41.610883824190836
41	2.8397655301873646	16	42.32474962802825
42	1.9814442365908278	14	41.93653824041792
43	2.180418281192206	11	41.08810009483878
44	1.7813513536978196	10	41.65054555278169
45	2.59983505771829	14	42.74965653275785
46	2.418629578883597	15	41.815248236421745
47	2.6466079120565493	9	41.97203768421246
48	2.7317091695963436	21	40.903556085554754
49	1.6659526566353995	8	38.97538126664924
50	2.2231123569603817	12	42.454196370321085
51	2.8143516557719255	21	42.30766538715005
52	2.7778697600377558	15	41.392158653582214
53	2.2946783447250603	9	40.31851424159193
54	1.485275148696221	5	42.955628947772276
55	2.108835432520573	9	40.91549261713624
56	1.2335683027123732	9	41.33769402649072
57	2.8243288987959585	6	42.63841094514632
58	1.6402842604254444	8	39.96107355066982
59	1.2319408678034274	5	40.55142873733076
60	1.8286368736704173	6	40.47739996904489
61	1.307483533437106	8	41.75376250150179
62	1.8556233226375212	2	42.19073808899645
63	2.3930479589094595	5	39.67272800189082
64	2.928177629584736	2	44.01311475409836
65	1.0034448144759405	3	43.12555892480856
66	1.5129983403653178	2	37.51735738213267
67	0.5040819404990275	2	40.47215589385118
69	2.0888532264046953	4	40.72498371910198
70	1.3051473505101392	3	39.74607590455829
71	1.8386388839375618	7	41.017982220852275
72	2.160352341129243	3	39.4752855916475
74	0.5022462870931966	2	41.44103643889985
75	1.8483826507171013	6	41.42060270618792
