age	SD_Lbar	sample_size	Lbar
1	1.0352754928335108	44	9.816010611416075
2	1.8398650808693013	331	14.625970161708635
3	1.6880981096213459	1041	19.324509324702035
4	2.3097346506467757	962	22.827447627721913
5	2.337586282502268	1285	25.97405735450765
6	2.811714913458379	924	28.60209320537539
7	2.768388974392194	1046	31.072232502546633
8	2.502468519138063	849	33.30940182820796
9	2.194381816809274	1047	34.623619827737606
10	2.0330745199800315	787	35.36847701291631
11	2.0256098468832753	643	36.00301355426995
12	2.095605051245711	548	36.674551151508176
13	2.0280451306693537	437	37.32241258051322
14	2.057992182028551	454	37.753691796846425
15	2.0178180570845634	329	38.247586990241295
16	2.0506760465421094	274	38.512063521577254
17	2.021832022219595	306	38.88743805848728
18	2.1643816244626635	278	39.16387702732269
19	2.0625595844511593	228	39.19180823768295
20	2.1923584089084427	237	39.33703706051213
21	1.9665128704348713	235	39.499691914712614
22	2.0216109968438016	194	39.92704333533916
23	2.0168480196600154	133	39.81319455489825
24	2.1635341441661433	166	39.95444764327155
25	1.9750572621660116	162	40.17410460222288
26	2.188754727065118	149	40.75043470849472
27	1.9325169496477783	111	40.62131920823441
28	1.9974569633583297	85	40.80277546774594
29	2.024445751511516	57	40.75091625400725
30	2.326659613473004	91	41.026309445620996
31	2.099661667162641	65	40.628005606449285
32	2.6191768534426627	55	40.64521507784249
33	2.5938621355556983	36	40.82395147252838
34	2.1026131600730644	34	41.244116702723446
35	2.311453863446595	28	41.55641452066918
36	2.4235406260686094	20	41.152038093885274
37	2.114143817751635	27	41.37709665361206
38	2.3609067578656733	22	40.96888831469968
39	2.0927221554057915	27	42.464740952688715
40	2.347109827619647	20	41.620652534861335
41	2.860568534751271	16	42.33561645244014
42	1.9953228958463016	14	41.94386478197442
43	2.1920130936359286	11	41.064292598100856
44	1.7869765034305052	10	41.64796485602894
45	2.609573573520771	14	42.75714629220943
46	2.4314966928930026	15	41.80535838586863
47	2.660870017247673	9	41.96170686845837
48	2.7468719839516216	21	40.886715615657806
49	1.6607043273997149	8	38.95885563342276
50	2.22832513020113	12	42.44812918044104
51	2.840207111413298	21	42.31521221662589
52	2.7944199534985175	15	41.36466605846126
53	2.3138702562515117	9	40.286706354807585
54	1.4859972076838737	5	42.96065473433316
55	2.1273818893914895	9	40.922746885460015
56	1.235151473305794	9	41.3384087991251
57	2.834408975025562	6	42.635712693405424
58	1.6400402405658976	8	39.946402923943026
59	1.2337350941722556	5	40.54497469507912
60	1.8297666788128717	6	40.46955190827694
61	1.3099920975439163	8	41.756008988845224
62	1.861206725847811	2	42.19784512106263
63	2.382951810908653	5	39.64408643847632
64	3.0346362926493193	2	44.094020456333595
65	1.0037799544058785	3	43.130739160963756
66	1.5138365371384834	2	37.49423193493424
67	0.5045121445214508	2	40.47188737351519
69	2.087344822022686	4	40.714392928909895
70	1.2993135940541714	3	39.73509168569424
71	1.8416727302566631	7	41.00594481764676
72	2.1520492495115118	3	39.45947972289736
74	0.5026997026336022	2	41.44032794150232
75	1.8647011566992284	6	41.435885834001965
