Age,SS,Wbar,SD_Wbar
1,44,11.444303612686939,3.3972604177995662
2,331,41.70796160533663,15.64389679459176
3,1041,95.43916769325547,19.8607355972514
4,962,160.99974318313545,47.92146134757876
5,1285,239.73322528715312,64.40775314112884
6,924,321.49623059237905,100.58741326457937
7,1046,412.3601935450033,117.14190805388598
8,849,511.6524015680476,110.88974152627883
9,1047,569.0685448606864,100.51719323281998
10,787,602.9407462849866,92.49219765214339
11,643,636.6964522609871,93.85641670790226
12,548,670.9743450821719,99.74199167785159
13,437,700.8739481440638,105.39050045551319
14,454,723.8169998654242,102.1290410761239
15,329,754.1706735331554,107.34322326516642
16,274,773.2056749299009,114.29160933168626
17,306,789.8805383267768,107.34202618845511
18,278,801.8916251004205,116.13514543763372
19,228,803.5221235789421,114.95111378825078
20,237,813.2535260193137,123.6207169366754
21,235,828.0537979153152,112.52557123920955
22,194,849.2322906843582,122.30095032847812
23,133,856.1454388243343,115.19220817854301
24,166,869.7483375498485,128.5340959711203
25,162,880.2231704576241,111.2450179713574
26,149,912.624197052993,134.31507893339702
27,111,898.4967712978937,117.45586528336912
28,85,923.7604956994827,131.08449667165337
29,57,893.4146709110473,108.8226171905432
30,91,910.9725060826627,145.5315895754701
31,65,903.9664554752845,125.2196838985502
32,55,905.1479503713556,148.25421860839782
33,36,916.1319184167797,157.32751259926172
34,34,940.6742577336416,126.00960258060738
