cruisejoin,region,survey_name,hauljoin,end_latitude,end_longitude,bottom_depth,abundance_haul,stratum,gear_temperature,species_code,sex,length,weight,age,maturity,year
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,280,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,280,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,280,NA,NA,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,290,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,290,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,290,NA,6,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,290,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,5,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,5,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,6,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,NA,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,2,260,NA,NA,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,180,NA,5,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,190,NA,3,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,190,NA,4,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,210,NA,4,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,210,NA,4,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,210,NA,4,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,220,NA,4,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,220,NA,6,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,220,NA,4,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,230,NA,5,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,230,NA,7,1,1984
265,GOA,GRFSH AUKE,25579,55.60283,-134.61167,263,Y,251,6.3,30060,1,230,NA,5,1,1984
