year,performance,specimen_type,haul_join,port_join,species,fmp_gear,fmp_area,fmp_subarea,age,length,weight
1987,1,1,895082,NA,301,TRW,GOA,SE,34,45,1.25
1987,1,1,895082,NA,301,TRW,GOA,SE,31,46,1.25
1987,1,1,895082,NA,301,TRW,GOA,SE,34,46,1.35
1987,1,1,895082,NA,301,TRW,GOA,SE,34,46,1.35
1987,1,1,895082,NA,301,TRW,GOA,SE,34,47,1.45
1987,NA,1,895189,NA,301,TRW,GOA,SE,6,29,0.45
1987,NA,1,895189,NA,301,TRW,GOA,SE,6,29,0.45
1987,NA,1,895189,NA,301,TRW,GOA,SE,6,30,0.5
1987,NA,1,895189,NA,301,TRW,GOA,SE,18,41,1.1
1987,1,1,895082,NA,301,TRW,GOA,SE,11,37,0.6
1987,1,1,895082,NA,301,TRW,GOA,SE,35,42,0.95
1987,1,1,895082,NA,301,TRW,GOA,SE,33,43,0.8
1987,1,1,895082,NA,301,TRW,GOA,SE,33,44,1.05
1987,1,1,895082,NA,301,TRW,GOA,SE,36,44,1.1
1987,1,1,895082,NA,301,TRW,GOA,SE,36,44,1.15
1987,1,1,895091,NA,301,TRW,GOA,SE,24,42,1.15
1987,1,1,895091,NA,301,TRW,GOA,SE,35,43,1
1987,1,1,895091,NA,301,TRW,GOA,SE,18,47,1.3
1987,1,1,895021,NA,301,TRW,GOA,SE,7,34,0.5
1987,1,1,895021,NA,301,TRW,GOA,SE,7,35,0.6
1987,1,1,895021,NA,301,TRW,GOA,SE,7,35,0.65
1987,1,1,895021,NA,301,TRW,GOA,SE,37,39,1
1987,1,1,895021,NA,301,TRW,GOA,SE,11,41,0.9
1987,1,1,895021,NA,301,TRW,GOA,SE,11,41,1
1987,1,1,895021,NA,301,TRW,GOA,SE,46,41,1.1
1987,1,1,895021,NA,301,TRW,GOA,SE,59,42,0.9
1987,1,1,895021,NA,301,TRW,GOA,SE,41,43,1.3
1987,1,1,895021,NA,301,TRW,GOA,SE,35,44,1.25
1987,1,1,895032,NA,301,TRW,GOA,SE,6,23,0.15
1987,NA,1,895160,NA,301,TRW,GOA,SE,7,30,0.55
1987,NA,1,895160,NA,301,TRW,GOA,SE,7,31,0.5
1987,NA,1,895160,NA,301,TRW,GOA,SE,7,31,0.55
1987,NA,1,895160,NA,301,TRW,GOA,SE,7,31,0.6
1987,NA,1,895160,NA,301,TRW,GOA,SE,7,32,0.55
1987,NA,1,895160,NA,301,TRW,GOA,SE,7,33,0.6
1987,NA,1,895160,NA,301,TRW,GOA,SE,7,33,0.6
1987,NA,1,895160,NA,301,TRW,GOA,SE,7,33,0.6
1987,NA,1,895160,NA,301,TRW,GOA,SE,11,40,0.95
1987,NA,1,895160,NA,301,TRW,GOA,SE,10,42,1.1
1987,NA,1,895152,NA,301,TRW,GOA,SE,7,34,0.65
