survey,year,regulatory_area_name,species_code,haul_count,catch_count,mean_wgt_cpue,var_wgt_cpue,mean_num_cpue,var_num_cpue,area_biomass,biomass_var,min_biomass,max_biomass,area_pop,pop_var,min_pop,max_pop,akfin_load_date
GOA,2011,CENTRAL GOA,30060,383,172,3302.4408910995858,478178.1372832375,4990.073085547715,1060104.2833874999,538237.8,12701924410.251184,310465,766010,813290798,28159724221343132,474149630,1152431966,2022-09-21T09:31:57Z
GOA,1990,CENTRAL GOA,30060,371,142,195.0756051015352,2054.2057331068477,377.378091513028,5535.158980313788,31074.4,52118094.93428917,16484,45665,60111103,140434785359141.11,36161205,84061001,2022-09-21T09:31:57Z
GOA,1996,EASTERN GOA,30060,214,107,2662.4009171161883,728787.6158305776,4766.751651071693,2542926.5603021337,212035.5,4622441417.002935,70619,353452,379626591,16128881442834494,115467562,643785620,2022-09-21T09:31:57Z
GOA,2015,CENTRAL GOA,30060,434,202,4501.511842347565,786190.0867181884,6350.700814162262,1493125.2761177614,763193.4,22598502540.606823,465544,1060843,1076707029,42918876637891944,666512973,1486901085,2022-09-21T09:31:57Z
GOA,1990,EASTERN GOA,30060,202,129,1391.0539674187362,371157.2626261042,2425.8326016621627,540523.6810437118,101678.2,1983015906.4249823,3665,199691,177314825,2887905384701686.5,59034769,295594881,2022-09-21T09:31:57Z
GOA,2013,EASTERN GOA,30060,99,64,3098.8226537935598,2156805.3595598657,5891.854023840953,4946235.811288751,254548,14553141711.39491,0,523326,483977293,33374949844501052,76948158,891006428,2022-09-21T09:31:57Z
GOA,1987,EASTERN GOA,30060,160,76,1224.0005317880332,126982.95727181231,2235.323656907101,223825.8986480039,100542.7,856823247.3633164,36760,164325,183617817,1510275374301480.8,98936949,268298685,2022-09-21T09:31:57Z
GOA,2013,CENTRAL GOA,30060,313,147,5438.865244623983,966160.7661734874,7846.656790334114,1982799.0477770355,886437.8,25664287141.62839,562672,1210204,1278864761,52669416817490304,815048930,1742680592,2022-09-21T09:31:57Z
GOA,2013,WESTERN GOA,30060,136,30,2487.839906634676,1341009.2680130375,4634.590487235838,3705839.133784932,157457.4,5371667479.760976,7356,307559,293325085,14844442939364212,43801326,542848844,2022-09-21T09:31:57Z
GOA,1990,WESTERN GOA,30060,135,38,400.4499890772474,49534.29844242963,1300.5273658683855,725901.3713751066,24542.6,186042957.62849328,0,52586,79703473,2726370259067306,0,187056805,2022-09-21T09:31:57Z
GOA,1987,WESTERN GOA,30060,177,72,987.3561540326838,130183.68199356181,2458.952437210726,642198.4843991451,64402.6,553887069.5745591,16839,111966,160392983,2732335045083891.5,54751792,266034174,2022-09-21T09:31:57Z
GOA,1993,WESTERN GOA,30060,170,46,1232.8748180833006,409326.9830075375,2356.2311796631598,1270402.856032762,75556,1537367136.518085,0,156680,144400544,4771431354593889,1483235,287317853,2022-09-21T09:31:57Z
GOA,2003,EASTERN GOA,30060,159,93,1235.62256610062,78399.87037385383,2769.9025472793974,285233.7705345907,101498.1,529006671.2086251,55498,147498,227529509,1924627767204960.5,139788350,315270668,2022-09-21T09:31:57Z
GOA,1993,EASTERN GOA,30060,192,99,2073.752819135178,938375.6618643306,3216.694784242164,1368515.0059241212,151580.7,5013545607.360463,0,303460,235121935,7311690483240312,51706367,418537503,2022-09-21T09:31:57Z
GOA,1987,CENTRAL GOA,30060,446,153,449.8065963644738,55563.07167960777,807.2682981567859,167478.17641194482,76260.5,1597122932.135906,0,160585,136865127,4814046957702466,0,283263961,2022-09-21T09:31:57Z
GOA,2009,EASTERN GOA,30060,157,110,1879.6481072166625,418351.0490244,4258.036695585222,1912374.434208667,160216.4,3039479383.6204925,40085,280348,362942738,13894127145360954,106096704,619788772,2022-09-21T09:31:57Z
GOA,2009,CENTRAL GOA,30060,470,209,2698.4215966112274,370440.0716217352,4304.281011145996,814700.982844324,457493.3,10648049423.557665,251115,663872,729752830,23418028975022936,423693823,1035811837,2022-09-21T09:31:57Z
GOA,2005,CENTRAL GOA,30060,470,189,2215.4294192010593,172330.05582833308,3195.167848878025,299758.24718399206,375607.5,4953510951.423963,231889,519326,541713511,8616348164389256,352166318,731260704,2022-09-21T09:31:57Z
GOA,2005,EASTERN GOA,30060,187,124,1623.4437985192358,107980.23159202079,4083.1550945708573,480063.58058017975,138377.8,784517425.0856752,81771,194984,348036943,3487844381897051,228680776,467393110,2022-09-21T09:31:57Z
