survey_definition_id,area_id,year,species_code,sex,age,population_count,length_mm_mean,length_mm_sd
47,99903,1993,30060,2,18,3047678,408.54,16.080000000000002
47,99903,1993,30060,2,19,969258,420,0
47,99903,1993,30060,2,20,1336165,419.14,7.99
47,99903,1993,30060,2,21,1357198,405.09000000000003,17.86
47,99903,1993,30060,2,22,1856011,428.34000000000003,11.84
47,99903,1993,30060,2,23,804480,433.81,4.86
47,99903,1993,30060,2,24,2734631,423.42,11.68
47,99903,1993,30060,2,26,576768,370,0
47,99903,1993,30060,2,27,585100,415.09000000000003,13.33
47,99903,1993,30060,2,28,914838,424.41,4.97
47,99903,1993,30060,2,31,138213,460,0
47,99903,1993,30060,2,32,421325,410,0
47,99903,1993,30060,2,33,92944,470,0
47,99903,1993,30060,2,34,622841,423.12,10.72
47,99903,1993,30060,2,35,1233165,426.54,9.38
47,99903,1993,30060,2,36,576768,370,0
47,99903,1993,30060,2,37,138213,460,0
47,99903,1993,30060,2,39,1061205,436.19,8.23
47,99903,1993,30060,2,40,2363197,414.03000000000003,20.38
47,99903,1993,30060,2,41,1362965,428.04,8.700000000000001
47,99903,1993,30060,2,42,2124854,410.77,19.080000000000002
47,99903,1993,30060,2,43,1877088,407.90000000000003,24.26
47,99903,1993,30060,2,44,163777,450,0
47,99903,1993,30060,2,45,520350,400.92,8.53
47,99903,1993,30060,2,46,1220739,417.52,19.1
47,99903,1993,30060,2,48,1797990,395.40000000000003,18.71
47,99903,1993,30060,2,50,493834,430.76,6.11
47,99903,1993,30060,2,51,1429109,419.65000000000003,9.42
47,99903,1993,30060,2,52,1453889,420,0
47,99903,1993,30060,2,54,163777,450,0
47,99903,1993,30060,2,55,1050143,394.17,4.93
47,99903,1993,30060,2,56,488540,400,0
47,99903,1993,30060,2,58,982932,398.28000000000003,9.85
47,99903,1993,30060,2,59,421325,410,0
47,99903,1993,30060,2,62,421325,410,0
47,99903,1993,30060,2,63,488540,400,0
47,99903,1993,30060,2,66,723959,360,0
47,99903,1993,30060,2,67,421325,410,0
47,99903,1993,30060,2,69,421325,410,0
47,99903,1993,30060,2,70,561605,390,0
47,99903,1993,30060,2,74,421325,410,0
47,99903,1993,30060,2,75,484630,420,0
47,99903,1993,30060,3,-9,387534,97.36,23.6
47,99903,1993,30060,3,2,2900092,180.72,20.81
47,99903,1993,30060,3,3,7194120,196.96,23.69
47,99903,1993,30060,3,4,4948848,212.92000000000002,18.830000000000002
47,99903,1993,30060,3,5,1532819,218.27,23.650000000000002
47,99903,1993,30060,3,6,551144,262.76,27.05
47,99903,1993,30060,3,7,213067,264.33,29.240000000000002
47,99903,1993,30060,3,8,114386,268.08,30.66
47,99903,1993,30060,3,9,69762,319.12,13.64
47,99903,1993,30060,3,10,26526,319.12,13.64
47,99903,1993,30060,3,11,4277,323.35,8.46
47,99903,1993,30060,3,12,5514,324.89,6.18
47,99903,1993,30060,3,13,3694,330.43,2.0300000000000002
47,99903,1993,30060,3,14,1847,330.43,2.0300000000000002
47,99903,1993,30060,3,15,68,340,0
47,99903,1996,30060,1,-9,3867701,161.74,59.04
47,99903,1996,30060,1,2,6432576,145.63,4.96
47,99903,1996,30060,1,3,12193062,208.05,12.19
47,99903,1996,30060,1,4,22836532,254.46,13.68
47,99903,1996,30060,1,5,28059999,269.92,17.36
47,99903,1996,30060,1,6,39531046,322.71,41.27
47,99903,1996,30060,1,7,31753181,336.1,26.55
47,99903,1996,30060,1,8,43950683,351.52,15.09
47,99903,1996,30060,1,9,81987517,353.87,23.240000000000002
47,99903,1996,30060,1,10,124844323,355.74,15.66
47,99903,1996,30060,1,11,77421034,356.39,23.150000000000002
47,99903,1996,30060,1,12,36253682,365.08,21.990000000000002
47,99903,1996,30060,1,13,22751538,369.55,16.17
47,99903,1996,30060,1,14,27868393,366.96,14.44
47,99903,1996,30060,1,15,19941435,372.39,12.4
47,99903,1996,30060,1,17,9705059,363.69,21.55
47,99903,1996,30060,1,18,4006679,385.91,9.120000000000001
47,99903,1996,30060,1,19,6140165,387.04,7.97
47,99903,1996,30060,1,20,8760509,390.14,12.83
47,99903,1996,30060,1,21,214182,430,0
47,99903,1996,30060,1,22,1620259,410,0
47,99903,1996,30060,1,23,1784944,400,0
47,99903,1996,30060,1,28,3405205,403.46000000000004,4.76
47,99903,1996,30060,1,30,3994861,370,0
47,99903,1996,30060,1,33,2910964,403.21000000000004,8.01
47,99903,1996,30060,1,42,911836,420,0
47,99903,1996,30060,1,44,1620259,410,0
47,99903,1996,30060,1,48,214182,430,0
47,99903,1996,30060,1,55,1620259,410,0
47,99903,1996,30060,1,57,226842,440,0
47,99903,1996,30060,1,58,2133485,390,0
47,99903,1996,30060,1,61,226842,440,0
47,99903,1996,30060,1,71,214182,430,0
47,99903,1996,30060,1,75,1784944,400,0
47,99903,1996,30060,2,-9,6254170,154.98,17.92
47,99903,1996,30060,2,2,1340412,136.23,7.82
47,99903,1996,30060,2,3,8033925,208.64000000000001,11.63
47,99903,1996,30060,2,4,18523372,251.70000000000002,16.92
47,99903,1996,30060,2,5,17005419,279.18,15.3
47,99903,1996,30060,2,6,35967207,296.03000000000003,24.85
47,99903,1996,30060,2,7,18955471,310.84000000000003,26.84
47,99903,1996,30060,2,8,69986084,352.02,18.69
47,99903,1996,30060,2,9,90486603,361.43,23.53
47,99903,1996,30060,2,10,98703802,367.85,23.12
47,99903,1996,30060,2,11,65239156,368.09000000000003,19.21
47,99903,1996,30060,2,12,70759269,374.33,27.07
47,99903,1996,30060,2,13,22379781,386.03000000000003,15.58
47,99903,1996,30060,2,14,22395792,376.42,15.69
47,99903,1996,30060,2,15,12450528,385.71000000000004,16.82
47,99903,1996,30060,2,16,7963595,395.53000000000003,21.54
47,99903,1996,30060,2,17,5611848,418.51,10.48
47,99903,1996,30060,2,18,6446458,414.35,4.96
47,99903,1996,30060,2,19,11395495,411.05,15.15
47,99903,1996,30060,2,20,6091484,421,10.42
47,99903,1996,30060,2,21,2451026,435.13,12.08
47,99903,1996,30060,2,22,3720927,427.48,7.69
47,99903,1996,30060,2,23,1872524,430,0
47,99903,1996,30060,2,26,876237,452.86,4.5200000000000005
47,99903,1996,30060,2,27,767972,440,0
47,99903,1996,30060,2,32,389109,461.22,5.14
