SHIP,SURVEY,HAUL,SPECIES_CODE,COMMON_NAME,SCIENTIFIC_NAME,PARTITION,ORGANISM_WEIGHT,SEX,organism_length,length_type,region
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,35,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,34.6,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,33.6,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,38.3,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,43.7,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,39.7,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,42.8,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,36.4,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,35.2,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,34.8,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,34.2,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,31.2,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,0.88,Female,43.1,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,0.816,Unsexed,39.3,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,1.118,Unsexed,47,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,1.182,Unsexed,45.3,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,0.63,Unsexed,35.1,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,0.534,Unsexed,34.8,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,0.55,Unsexed,35.6,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,0.408,Unsexed,32.3,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,0.69,Unsexed,35.8,FORK_LENGTH,GOA Shelf
157,202308,2,30060,Pacific ocean perch,Sebastes alutus,Codend,0.496,Unsexed,34.2,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,38,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,42.4,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,32.5,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,43.5,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,38.3,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,32.5,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,36.6,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,37,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,33.8,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,38.1,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,34.8,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,34,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,36.9,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,37.9,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,36.7,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,44.1,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,33.3,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,36.7,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,42,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,37.4,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,40.4,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,37.5,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,38.6,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,40.9,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,41.8,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,37.3,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,38.7,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,38,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,40.3,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,37.1,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,34.8,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,37.4,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,41,FORK_LENGTH,GOA Shelf
157,202308,3,30060,Pacific ocean perch,Sebastes alutus,Codend,NA,Unsexed,42.5,FORK_LENGTH,GOA Shelf
