"year","tot_biom","sp_biom","F","recruits"
1961,1059950,221611,0.0333662,106.648
1962,1189020,235828,0.115918,129.992
1963,1253490,246985,0.210744,201.277
1964,1219850,249471,0.404085,133.196
1965,1048560,219321,0.701119,139.051
1966,753185,155672,0.46019,279.206
1967,606275,134264,0.32056,156.133
1968,533141,126029,0.316009,88.4019
1969,472599,114464,0.262141,63.875
1970,434221,106542,0.172025,66.3824
1971,418209,106442,0.309198,56.2166
1972,362627,93951,0.34008,41.7734
1973,301875,80815.6,0.279087,36.216
1974,258681,72886.8,0.293201,33.0891
1975,217861,63779.4,0.35568,31.0143
1976,175596,51773.1,0.412705,30.5598
1977,137781,39508.9,0.271298,36.4364
1978,125238,35258.5,0.106441,56.9318
1979,127028,36005.7,0.110054,43.5289
1980,128707,36427.2,0.146364,38.35
1981,127988,35592.7,0.14794,39.8221
1982,128185,34729.1,0.0760133,50.9865
1983,134288,36060.9,0.0374221,52.4582
1984,143692,38783.3,0.0336112,54.714
1985,154756,41957.7,0.0089612,79.3177
1986,171137,46288.9,0.0226964,119.242
1987,189107,50331.7,0.0435793,111.434
1988,210492,53634.2,0.0794156,174.196
1989,231654,55601.6,0.107112,136.973
1990,251901,56883.1,0.1146,108.888
1991,269944,58816.1,0.0527558,54.0566
1992,293027,64974,0.04602,64.6699
1993,313369,73202.6,0.0123803,66.3681
1994,335650,85092.6,0.00936244,74.9849
1995,354868,98579.5,0.0255233,60.9943
1996,370421,110939,0.040697,138.508
1997,384771,121051,0.0430666,151.845
1998,397629,128506,0.0386566,89.4235
1999,411917,133934,0.0447675,110.847
2000,430006,137057,0.0434339,225.242
2001,450250,139733,0.0466722,139.94
2002,475082,142574,0.0508632,214.572
2003,499290,146289,0.046451,117.196
2004,526540,152049,0.0486533,171.04
2005,549480,159081,0.0451425,70.0535
2006,570642,167754,0.0516772,116.083
2007,585105,176899,0.040031,85.8439
2008,601119,187251,0.0366487,198.703
2009,616566,198171,0.0363436,144.275
2010,634844,208176,0.0420056,223.995
2011,647673,215477,0.0370784,78.6775
2012,662879,221510,0.0378501,163.967
2013,672844,225789,0.0327716,58.1111
2014,683748,230282,0.0430449,148.092
2015,687157,233239,0.0449664,104.507
2016,688022,236520,0.0548218,124.075
2017,681265,238274,0.0570844,75.3211
2018,678152,239043,0.0595162,245.448
2019,674087,238148,0.0621342,125.608
2020,668330,235511,0.062411,85.458
2021,661305,222112,0.071514,84.9732
