"year","obs","pred"
1961,16000,16124.2
1962,65000,66143.2
1963,136300,139404
1964,243400,250569
1965,348600,354202
1966,200800,197986
1967,120000,118843
1968,100200,99811.9
1969,72600,72379.3
1970,44900,44801.1
1971,77500,76829.1
1972,77600,76548
1973,56400,55709.6
1974,51000,50675.7
1975,50400,50343.9
1976,45500,45364.1
1977,21600,21572.3
1978,8000,8010.36
1979,8300,8321.81
1980,10800,10853.2
1981,10500,10569.2
1982,5400,5426.28
1983,2821,2832.82
1984,2752,2764.14
1985,800,804.077
1986,2200,2210.17
1987,4500,4525.04
1988,8540,8609.57
1989,11780,11899.4
1990,13090,13113.6
1991,6548.13,6558.4
1992,6537.64,6546.56
1993,2059.76,2068.39
1994,1841.23,1849.67
1995,5740.72,5758.7
1996,8378.43,8412.05
1997,9518.82,9558.03
1998,8907.93,8942.75
1999,10473.1,10522.3
2000,10145.5,10190
2001,10817.1,10862.7
2002,11733.8,11775.5
2003,10846.3,10832.7
2004,11639.9,11616.4
2005,11247.5,11223.8
2006,13595.3,13549.5
2007,12954.8,12900.9
2008,12461.2,12413.8
2009,12986.4,12898.4
2010,15615.7,15481.1
2011,14223.6,14090.3
2012,14916,14771.3
2013,13181.4,13106.1
2014,17712.1,17564.3
2015,18732.8,18593.4
2016,23034.5,22822.8
2017,23860.2,23741.5
2018,24737,24604.6
2019,25470.3,25382.3
2020,25191.2,25100.3
2021,28899.9,28902.8
2022,29484,29483.9
2023,28812.2,28811.8
