"year","length","value","groups","Length","Year"
1963,16,0,"obs","16","1963"
1964,16,0,"obs","16","1964"
1965,16,0,"obs","16","1965"
1966,16,0,"obs","16","1966"
1967,16,0,"obs","16","1967"
1968,16,0,"obs","16","1968"
1969,16,0,"obs","16","1969"
1970,16,0,"obs","16","1970"
1971,16,0,"obs","16","1971"
1972,16,0,"obs","16","1972"
1973,16,0,"obs","16","1973"
1974,16,0,"obs","16","1974"
1975,16,0,"obs","16","1975"
1976,16,0,"obs","16","1976"
1977,16,0.000103141,"obs","16","1977"
1991,16,0.00221027,"obs","16","1991"
1992,16,0.00430719,"obs","16","1992"
1995,16,0.000151976,"obs","16","1995"
1996,16,0.0000897666,"obs","16","1996"
1997,16,0.00233244,"obs","16","1997"
1963,17,0,"obs","17","1963"
1964,17,0,"obs","17","1964"
1965,17,0,"obs","17","1965"
1966,17,0,"obs","17","1966"
1967,17,0,"obs","17","1967"
1968,17,0,"obs","17","1968"
1969,17,0,"obs","17","1969"
1970,17,0,"obs","17","1970"
1971,17,0,"obs","17","1971"
1972,17,0,"obs","17","1972"
1973,17,0.000105407,"obs","17","1973"
1974,17,0,"obs","17","1974"
1975,17,0,"obs","17","1975"
1976,17,0.0000363069,"obs","17","1976"
1977,17,0.000103141,"obs","17","1977"
1991,17,0.00228395,"obs","17","1991"
1992,17,0.00235677,"obs","17","1992"
1995,17,0,"obs","17","1995"
1996,17,0,"obs","17","1996"
1997,17,0.00240104,"obs","17","1997"
1963,18,0,"obs","18","1963"
1964,18,0,"obs","18","1964"
1965,18,0.000226293,"obs","18","1965"
1966,18,0,"obs","18","1966"
1967,18,0.0000260042,"obs","18","1967"
1968,18,0,"obs","18","1968"
1969,18,0,"obs","18","1969"
1970,18,0,"obs","18","1970"
1971,18,0,"obs","18","1971"
1972,18,0,"obs","18","1972"
1973,18,0.000316222,"obs","18","1973"
1974,18,0,"obs","18","1974"
1975,18,0,"obs","18","1975"
1976,18,0.0000726137,"obs","18","1976"
1977,18,0.000103141,"obs","18","1977"
1991,18,0.00125249,"obs","18","1991"
1992,18,0.00195043,"obs","18","1992"
1995,18,0,"obs","18","1995"
1996,18,0,"obs","18","1996"
1997,18,0.00473348,"obs","18","1997"
1963,19,0,"obs","19","1963"
1964,19,0,"obs","19","1964"
