"variable","year","src","median","lower","upper"
"Frate",1961,"2023 Model",0.03155475,0.023859,0.0425760425
"Frate",1962,"2023 Model",0.1160435,0.0878028,0.154330175
"Frate",1963,"2023 Model",0.2225085,0.167879925,0.29875705
"Frate",1964,"2023 Model",0.4126065,0.31805055,0.536893925
"Frate",1965,"2023 Model",0.6917115,0.5348329,0.8967551
"Frate",1966,"2023 Model",0.467029,0.3604269,0.6136068
"Frate",1967,"2023 Model",0.324477,0.2524088,0.422741
"Frate",1968,"2023 Model",0.3155985,0.2472426,0.405648075
"Frate",1969,"2023 Model",0.2617985,0.201033,0.34092685
"Frate",1970,"2023 Model",0.1709855,0.1292759,0.224634025
"Frate",1971,"2023 Model",0.3070255,0.23267565,0.40166185
"Frate",1972,"2023 Model",0.339657,0.2546434,0.44526165
"Frate",1973,"2023 Model",0.2765345,0.2059873,0.36528765
"Frate",1974,"2023 Model",0.2894915,0.2099346,0.381595875
"Frate",1975,"2023 Model",0.34919,0.24246265,0.4776766
"Frate",1976,"2023 Model",0.402124,0.26086715,0.586574875
"Frate",1977,"2023 Model",0.2615185,0.1551909,0.41853575
"Frate",1978,"2023 Model",0.1019655,0.0593292725,0.169140525
"Frate",1979,"2023 Model",0.1052655,0.0615579175,0.1787667
"Frate",1980,"2023 Model",0.140327,0.081050115,0.236487375
"Frate",1981,"2023 Model",0.140983,0.0802564175,0.239756025
"Frate",1982,"2023 Model",0.0724308,0.040771285,0.126203125
"Frate",1983,"2023 Model",0.0357882,0.0209533325,0.0608841725
"Frate",1984,"2023 Model",0.03230125,0.0190691925,0.0531446275
"Frate",1985,"2023 Model",0.00869285,0.00520321875,0.013799005
"Frate",1986,"2023 Model",0.02197105,0.0137287175,0.034500685
"Frate",1987,"2023 Model",0.0423906,0.0265437575,0.06525624
"Frate",1988,"2023 Model",0.07723785,0.049160105,0.11846305
"Frate",1989,"2023 Model",0.104193,0.064583875,0.161918525
"Frate",1990,"2023 Model",0.1112935,0.0683831125,0.174964575
"Frate",1991,"2023 Model",0.05074385,0.0317322375,0.0813499625
"Frate",1992,"2023 Model",0.0446962,0.02739593,0.070875555
