"year","maxf","authf","half_maxf","avg5f","nof","overf","appoverf"
2023,232210,232210,232210,232210,232210,232210,232210
2024,224938,226218,227932,227102,230969,223715,224938
2025,214809,219668,226131,222943,238096,210321,214809
2026,205261,212126,224064,218694,244752,198016,204155
2027,195920,202134,221358,213993,250464,186386,191852
2028,186567,192133,217763,208610,254848,175184,180001
2029,177535,182473,213605,202886,258109,164715,168919
2030,169402,173746,209501,197438,260800,155507,159145
2031,162664,166461,206065,192855,263553,147985,151113
2032,157441,160744,203555,189366,266687,142202,144874
2033,153572,156437,201956,186918,270271,137988,140233
2034,150731,153211,201043,185261,274145,135056,136895
2035,148641,150782,200613,184171,278165,133062,134552
2036,147080,148919,200477,183445,282167,131698,132897
