"year","maxf","authf","half_maxf","avg5f","nof","overf","appoverf"
2023,28812.2,28812.2,28812.2,28812.2,28812.2,28812.2,28812.2
2024,36753.6,29106,18728.4,25422.1,0,43748.2,36753.6
2025,35010.1,27726,18513,24789.8,0,41065.5,35010.1
2026,33350,34426.5,18263.1,24141.5,0,38583.5,39699.5
2027,31773.6,32735.2,17980,23480.2,0,36292.4,37273.6
2028,30323.5,31172.7,17688.1,22839.4,0,34234,35086.7
2029,29011.1,29751.7,17392,22227,0,32416.2,33148.5
2030,27871.2,28510.3,17115.8,21674.8,0,30867.6,31490
2031,26914.9,27460.9,16874.6,21200,0,29591,30114.5
2032,26224.7,26687.3,16715.9,20866.4,0,28675.5,29112.2
2033,25735.8,26124.5,16613.3,20632.6,0,28027.1,28397.2
2034,25326.1,25650.8,16514.6,20429.7,0,27321.6,27782.4
2035,25006.7,25277.1,16472.6,20301.8,0,26537.6,27050.1
2036,24838.3,25062.9,16432.1,20182.7,0,26034.6,26447.7
