"Year","age 2","age 3","age 4","age 5","age 6","age 7","age 8","age 9","age 10","age 11","age 12","age 13","age 14","age 15","age 16","age 17","age 18","age 19","age 20","age 21","age 22","age 23","age 24","age 25","age 26","age 27","age 28","age 29"
"1961","107.319","1506.77","103.805","95.6161","1166.5","65.5127","57.2841","49.4343","41.9684","35.6913","30.7929","27.0413","24.1413","21.8473","19.9829","18.4307","17.1007","15.9374","14.9105","13.9802","13.1217","12.3351","11.616","10.9357","10.2958","9.70335","9.16697","160.439"
"1962","130.653","99.6284","1398.74","96.3452","88.676","1078.5","60.0446","51.8999","44.5153","37.7244","32.0683","27.6645","24.2935","21.6881","19.6271","17.9522","16.5578","15.3629","14.3178","13.3953","12.5595","11.7882","11.0816","10.4355","9.82443","9.24948","8.71727","152.37"
"1963","199.196","121.287","92.4735","1297.48","89.1271","81.1509","957.262","51.1803","43.3012","36.9067","31.2296","26.5382","22.8921","20.1023","17.9463","16.2409","14.8549","13.7011","12.7124","11.8476","11.0842","10.3926","9.75445","9.1697","8.63512","8.12945","7.65369","133.295"
"1964","133.601","184.91","112.56","85.7216","1196.75","80.5966","69.3865","759.977","39.0699","32.6757","27.7737","23.4868","19.9558","17.2135","15.1157","13.4945","12.2121","11.17","10.3023","9.55887","8.90864","8.33463","7.81459","7.33471","6.89502","6.49305","6.11282","105.985"
"1965","139.588","124.012","171.553","104.2","78.5975","1056.34","63.8829","47.6934","484.467","24.3597","20.2654","17.2046","14.5452","12.3578","10.6594","9.36031","8.3564","7.5623","6.91695","6.37968","5.91929","5.51664","5.16119","4.83915","4.54199","4.26971","4.0208","69.4158"
"1966","276.745","129.555","115","158.48","94.6661","66.8338","744.878","35.1555","23.0218","225.001","11.2097","9.30622","7.89699","6.67561","5.67154","4.89208","4.29585","3.83511","3.47066","3.17448","2.92791","2.71662","2.53182","2.36869","2.22089","2.08451","1.95955","33.7032"
"1967","155.555","256.875","120.185","106.416","145.051","82.9587","51.7907","490.465","21.2383","13.5599","131.726","6.55373","5.43922","4.61525","3.90138","3.31457","2.85903","2.51058","2.24131","2.02832","1.85523","1.71113","1.58764","1.47965","1.38431","1.29793","1.21823","20.842"
"1968","88.8808","144.393","238.351","111.324","97.8202","129.363","67.9197","37.86","337.694","14.3673","9.13445","88.6517","4.40972","3.65964","3.10522","2.62491","2.23009","1.9236","1.68916","1.50799","1.36469","1.24823","1.15127","1.06819","0.995529","0.931384","0.87327","14.8425"
"1969","64.4148","82.5036","133.981","220.784","102.347","87.2931","106.112","49.829","26.1844","229.53","9.72504","6.17721","59.9386","2.98133","2.47419","2.09936","1.77463","1.5077","1.30049","1.14199","1.01951","0.922628","0.843893","0.778344","0.722175","0.67305","0.629684","10.625"
"1970","66.4173","59.7941","76.5609","124.153","203.318","91.9513","73.1331","81.0415","36.2392","18.7708","163.978","6.94227","4.40887","42.7784","2.12777","1.76582","1.4983","1.26655","1.07604","0.928156","0.815036","0.727621","0.658476","0.602283","0.555501","0.515414","0.480353","8.03242"
"1971","56.3864","61.6549","55.495","70.9898","114.65","184.739","79.8074","59.7379","64.1081","28.3976","14.676","128.142","5.42445","3.44485","33.4246","1.66251","1.37971","1.17068","0.989604","0.840756","0.725206","0.63682","0.56852","0.514494","0.470588","0.434035","0.402714","6.65137"
"1972","42.2068","52.3407","57.2097","51.4075","65.2802","102.405","151.967","58.8681","41.5961","43.8878","19.3621","9.99729","87.2723","3.69422","2.34603","22.7629","1.13221","0.93961","0.797261","0.673941","0.572573","0.493881","0.433688","0.387174","0.350381","0.320481","0.295587","4.80398"
"1973","36.6124","39.1781","48.5647","52.9844","47.2278","58.0827","83.2233","109.541","39.8257","27.6201","29.0123","12.7866","6.60063","57.618","2.43893","1.54885","15.028","0.747482","0.62033","0.526352","0.444936","0.378012","0.32606","0.286321","0.255612","0.231322","0.211581","3.36674"
"1974","33.4321","33.9859","36.3552","44.9972","48.7682","42.3432","48.3477","62.7849","78.4513","28.0891","19.4094","20.371","8.97644","4.63359","40.447","1.71209","1.08727","10.5494","0.52472","0.435462","0.36949","0.312338","0.265358","0.228889","0.200993","0.179436","0.162384","2.51192"
"1975","31.3522","31.0336","31.5364","33.6814","41.3993","43.6503","35.0596","36.1078","44.4014","54.5969","19.4734","13.4444","14.1077","6.21627","3.20877","28.0096","1.18562","0.752932","7.30549","0.363369","0.301558","0.255872","0.216294","0.183761","0.158506","0.139188","0.124259","1.85196"
"1976","30.9443","29.1023","28.7941","29.2044","30.9297","36.7711","35.2823","25.0124","24.1147","29.0829","35.5955","12.6828","8.75411","9.18552","4.04737","2.0892","18.2368","0.771948","0.490227","4.75654","0.236586","0.196341","0.166596","0.140827","0.119645","0.103202","0.0906237","1.2867"
"1977","36.8758","28.7231","26.9998","26.6545","26.7727","27.2819","29.0824","24.1514","15.8625","14.9531","17.9373","21.9275","7.81071","5.39091","5.6565","2.49239","1.28654","11.2303","0.475369","0.301884","2.92909","0.145691","0.120908","0.10259","0.0867219","0.0736779","0.0635519","0.848159"
"1978","57.2009","34.232","26.6562","25.0105","24.5107","24.0842","23.3158","23.2204","18.3762","11.7155","10.8206","12.8083","15.5575","5.54211","3.8465","4.07531","1.81799","0.95132","8.4199","0.361151","0.232133","2.27634","0.114253","0.0955351","0.0815604","0.0692831","0.0590888","0.734906"
"1979","44.0091","53.1015","31.7751","24.7251","23.1323","22.476","21.6463","20.4054","19.9422","15.5992","9.86594","9.06494","10.7032","13.001","4.64152","3.23368","3.44263","1.54397","0.812323","7.22697","0.311449","0.201019","1.97823","0.0995839","0.0834691","0.071396","0.0607401","0.697473"
"1980","38.8238","40.8551","49.2902","29.4724","22.8657","21.2038","20.1801","18.9089","17.4815","16.8807","13.096","8.23832","7.54991","8.91468","10.8529","3.8898","2.72351","2.91551","1.3149","0.695502","6.21785","0.269111","0.174329","1.7208","0.0868395","0.072931","0.0624791","0.664872"
"1981","40.2978","36.0412","37.921","45.705","27.2219","20.8725","18.8312","17.281","15.7799","14.358","13.7138","10.5634","6.6224","6.06928","7.18781","8.79608","3.17354","2.23831","2.41394","1.09643","0.583702","5.24809","0.228244","0.148453","1.4702","0.0743879","0.0626024","0.626032"
"1982","51.4019","37.4095","33.4528","35.1624","42.2131","24.8455","18.5303","16.1153","14.4089","12.9475","11.6517","11.0491","8.4815","5.31742","4.88797","5.81917","7.16883","2.60558","1.85152","2.0111","0.919422","0.492283","4.44783","0.194228","0.126748","1.25857","0.0638122","0.592339"
"1983","52.3964","47.7184","34.7259","31.0371","32.5573","38.8484","22.5429","16.4992","14.1587","12.5556","11.2185","10.0586","9.52146","7.30903","4.58942","4.23011","5.05323","6.24882","2.27991","1.62604","1.77211","0.812543","0.43615","3.94889","0.172734","0.112874","1.122","0.585764"
"1984","56.1225","48.642","44.2974","32.2283","28.7761","30.0952","35.6606","20.5021","14.9074","12.7409","11.2669","10.0488","9.00195","8.52136","6.54628","4.11592","3.80006","4.54795","5.63462","2.05953","1.47128","1.60576","0.737179","0.396103","3.5893","0.157109","0.102718","1.5549"
"1985","81.451","52.1011","45.155","41.1126","29.8844","26.6116","27.6574","32.5002","18.5752","13.4572","11.4728","10.129","9.02683","8.08648","7.65999","5.89155","3.70986","3.43089","4.11309","5.10411","1.86838","1.33646","1.46023","0.670989","0.360809","3.27144","0.143263","1.51248"
"1986","122.93","75.615","48.3676","41.9167","38.1551","27.7147","24.6383","25.5497","29.9763","17.1161","12.3919","10.5599","9.32108","8.30687","7.44288","7.05256","5.42654","3.41857","3.16294","3.79349","4.70936","1.72447","1.23389","1.3485","0.619769","0.333319","3.02258","1.53004"
"1987","112.579","114.122","70.1954","44.894","38.8829","35.3293","25.5536","22.5897","23.3322","27.3074","15.5658","11.2571","9.58785","8.46308","7.54571","6.7663","6.41801","4.94387","3.11807","2.88806","3.46727","4.30816","1.57874","1.13032","1.23593","0.568265","0.305717","4.1769"
"1988","174.935","104.512","105.939","65.1433","41.6146","35.9171","32.37","23.1618","20.3193","20.8883","24.368","13.861","10.014","8.52917","7.53526","6.7288","6.04561","5.74685","4.43661","2.80402","2.60216","3.12929","3.8938","1.42861","1.02383","1.12036","0.51544","4.0692"
"1989","136.352","162.399","97.0148","98.2867","60.3099","38.2829","32.5554","28.769","20.3003","17.6564","18.044","20.9689","11.9055","8.60139","7.33784","6.50095","5.82595","5.25512","5.01547","3.8868","2.46512","2.29468","2.76676","3.45021","1.2681","0.910087","0.997004","4.08574"
"1990","110.139","126.58","150.743","89.9871","90.9074","55.3064","34.4127","28.499","24.7161","17.2395","14.8754","15.1232","17.5309","9.95377","7.20696","6.17151","5.49399","4.9498","4.48897","4.30637","3.353","2.13537","1.99475","2.4122","3.01526","1.11036","0.798071","4.46547"
"1991","56.2979","102.245","117.494","139.815","83.2099","83.2958","49.6062","30.0047","24.3553","20.8625","14.4284","12.381","12.5538","14.5529","8.28207","6.02081","5.18233","4.63968","4.20426","3.83387","3.69643","2.89082","1.84798","1.73171","2.09946","2.62968","0.96992","4.60719"
"1992","66.6493","52.2638","94.9134","109.03","129.562","76.7844","76.1139","44.7433","26.8151","21.6428","18.4667","12.739","10.918","11.0705","12.847","7.32484","5.33751","4.6062","4.13482","3.75626","3.43325","3.31689","2.59849","1.6635","1.56067","1.89387","2.37391","5.03933"
"1993","66.5999","61.8735","48.5164","88.0808","101.058","119.65","70.3062","68.9063","40.1822","23.9624","19.2746","16.4095","11.3078","9.69149","9.83602","11.4329","6.532","4.77063","4.1265","3.71239","3.37929","3.09417","2.99382","2.34834","1.5049","1.41302","1.7158","6.72128"
"1994","78.3504","61.828","57.4395","45.0359","81.7351","93.6849","110.665","64.8285","63.4004","36.9222","21.9981","17.684","15.051","10.3717","8.89141","9.02794","10.4995","6.00237","4.38654","3.79652","3.41737","3.11223","2.85079","2.75927","2.16496","1.38769","1.30319","7.78296"
"1995","62.4547","72.7365","57.3975","53.3201","41.7956","75.7977","86.728","102.21","59.7777","58.4018","33.9875","20.2405","16.2675","13.8455","9.54279","8.18348","8.31262","9.67205","5.53195","4.04457","3.50199","3.15339","2.87271","2.63207","2.5481","1.99961","1.28186","8.39466"
"1996","148.484","57.9796","67.523","53.2742","49.4561","38.6878","69.8285","79.3954","93.1512","54.3292","52.9782","30.7931","18.3272","14.7299","12.5433","8.65305","7.42899","7.55579","8.80275","5.04093","3.68971","3.19788","2.88197","2.62728","2.40857","2.33279","1.8313","8.86611"
"1997","157.656","137.845","53.8235","62.6617","49.3779","45.7118","35.5943","63.8516","72.1005","84.0294","48.7368","47.3418","27.4651","16.347","13.1602","11.2391","7.78199","6.70843","6.85119","8.01343","4.60548","3.38167","2.93884","2.65448","2.42433","2.22577","2.15822","9.9112"
"1998","94.3233","146.36","127.963","49.9474","58.0736","45.6282","42.0351","32.5195","57.9119","64.9335","75.2322","43.4568","42.1288","24.4416","14.573","11.768","10.0894","7.01608","6.07467","6.22988","7.31451","4.2179","3.10594","2.70564","2.44859","2.23974","2.05879","11.181"
"1999","119.183","87.5651","135.869","118.753","46.2983","53.6891","41.9994","38.4675","29.5655","52.3192","58.3536","67.362","38.8412","37.6553","21.8807","13.082","10.6009","9.12396","6.36963","5.53562","5.69647","6.70835","3.87828","2.86195","2.49742","2.26329","2.0725","12.2682"
"2000","240.915","110.644","81.2878","126.083","110.051","42.775","49.3533","38.3484","34.8588","26.5965","46.7786","51.9537","59.8501","34.5109","33.5184","19.5387","11.7291","9.54717","8.25434","5.78752","5.04963","5.21444","6.15892","3.56943","2.63933","2.30686","2.09321","13.2844"
"2001","147.761","223.654","102.712","75.4338","116.85","101.691","39.3327","45.0863","34.7771","31.3891","23.8078","41.7025","46.2233","53.2505","30.7598","29.9671","17.5371","10.5732","8.64417","7.50502","5.2823","4.62436","4.78902","5.66998","3.29246","2.43832","2.13376","14.246"
"2002","233.444","137.175","207.62","95.3125","69.9014","107.938","93.4434","35.8906","40.819","31.247","28.0245","21.1627","36.9897","41.0011","47.3239","27.4265","26.8321","15.7755","9.55595","7.84773","6.84153","4.83271","4.24381","4.40619","5.2276","3.04064","2.25477","15.1722"
"2003","125.397","216.718","127.34","192.656","88.3082","64.5421","99.0954","85.1391","32.4232","36.5719","27.8036","24.8175","18.6973","32.6816","36.3004","42.0486","24.4806","24.0711","14.2248","8.65876","7.14267","6.25131","4.43058","3.90153","4.05999","4.82559","2.81079","16.1391"
"2004","187.335","116.412","201.182","118.167","178.53","81.5774","59.3141","90.4408","77.1022","29.1426","32.666","24.7265","22.024","16.5933","29.0583","32.3813","37.6648","22.0292","21.7617","12.9173","7.89486","6.53579","5.7376","4.07681","3.5974","3.74969","4.46253","17.5531"
"2005","74.4358","173.912","108.067","186.686","109.494","164.888","74.9373","54.0947","81.8174","69.2061","25.9875","28.9979","21.9014","19.5084","14.7267","25.8773","28.9614","33.8485","19.8934","19.7431","11.7687","7.21965","5.99581","5.27748","3.75794","3.32172","3.467","20.39"
"2006","125.045","69.1026","161.445","100.283","173.01","101.168","151.59","68.437","49.0347","73.6298","61.9058","23.1493","25.7782","19.4702","17.3742","13.1567","23.2111","26.0924","30.6321","18.0802","18.0137","10.7747","6.62925","5.51892","4.86736","3.4714","3.07226","22.1004"
