"","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1961",105.99,107.92,108.05,108.33,106.78,107.36,107.82,108.9,107.83,107.83
"1962",131.07,133.1,132.96,133.12,131.16,131.56,131.76,132.62,131.42,131.42
"1963",221.88,217.55,214.77,212.4,209.22,206.33,204.08,201.88,200.79,200.79
"1964",137.91,139.29,138.83,138.37,136.54,136.14,135.87,135.96,134.94,134.94
"1965",141.33,143.17,142.97,142.9,140.97,141.09,141.14,141.74,140.58,140.58
"1966",306.82,301.68,299.02,294.96,291.68,286.9,284.24,280.97,279.63,279.63
"1967",161.62,161.5,161.57,160.42,158.85,157.7,157.6,157.39,156.28,156.28
"1968",93.883,93.85,93.572,92.722,91.835,90.936,90.62,90.261,89.701,89.701
"1969",67.862,68.027,67.892,67.251,66.693,66.019,65.804,65.541,65.152,65.152
"1970",71.133,70.458,70.562,69.498,69.222,68.072,67.867,67.333,66.999,66.999
"1971",60.325,59.83,60.093,59.025,58.957,57.811,57.699,57.194,56.92,56.92
"1972",44.699,44.753,44.967,44.207,44.159,43.356,43.307,42.99,42.771,42.771
"1973",38.71,38.867,39.093,38.397,38.392,37.661,37.652,37.372,37.183,37.183
"1974",35.337,35.504,35.765,35.078,35.132,34.411,34.436,34.159,33.998,33.998
"1975",33.128,33.272,33.569,32.875,32.997,32.269,32.318,32.035,31.901,31.901
"1976",32.674,32.776,33.125,32.392,32.594,31.827,31.897,31.595,31.484,31.485
"1977",39.019,38.935,39.433,38.474,38.852,37.843,37.952,37.54,37.447,37.448
"1978",61.976,60.475,61.546,59.536,60.665,58.518,58.714,57.728,57.736,57.736
"1979",46.691,46.167,46.946,45.621,46.385,44.989,45.182,44.58,44.563,44.563
"1980",40.78,40.393,41.127,39.997,40.756,39.584,39.792,39.302,39.313,39.313
"1981",41.941,41.53,42.356,41.204,42.113,40.939,41.187,40.704,40.753,40.753
"1982",53.287,52.372,53.601,52.027,53.533,51.944,52.311,51.639,51.804,51.805
"1983",53.419,52.698,54.007,52.533,54.205,52.756,53.147,52.56,52.772,52.772
"1984",56.35,55.788,57.199,55.789,57.7,56.35,56.715,56.196,56.47,56.471
"1985",80.76,79.85,82.019,80.101,83.262,81.44,81.821,81.124,81.665,81.666
"1986",121.67,120.17,123.57,120.66,125.93,123.03,123.22,122.07,123.11,123.12
"1987",111.59,110.82,113.58,111.22,115.48,113.13,113.07,112.23,113.08,113.08
"1988",171.22,169.4,174.34,170.46,178.18,174.21,173.82,172.28,174.03,174.03
"1989",133.82,132.88,136.8,134.02,139.76,136.92,136.87,135.83,137.15,137.15
"1990",107.68,106.64,109.98,107.66,112.51,109.99,109.36,108.4,109.62,109.62
"1991",52.912,53.073,54.881,54.042,56.409,55.652,56.061,55.854,56.354,56.354
"1992",62.443,62.211,64.786,63.7,66.941,65.862,65.911,65.557,66.372,66.373
"1993",61.958,61.953,64.678,63.677,66.877,65.879,65.81,65.523,66.327,66.327
"1994",70.043,69.851,73.347,72.257,77.028,76.04,76.651,76.377,77.579,77.579
"1995",56.02,56.498,58.749,58.142,61.501,61.005,61.329,61.315,62.124,62.125
"1996",128.88,128.89,135.82,134.23,144.12,142.71,143.58,143.36,146.21,146.22
"1997",130.15,130.6,138.74,137.48,148.74,147.92,150.85,150.93,154.39,154.39
"1998",79.698,80.7,83.625,83.305,89.532,89.533,90.167,90.53,92.358,92.36
"1999",101.23,102.78,106.15,106.14,113.1,113.53,113.14,113.84,116.09,116.09
"2000",197.26,201.34,209.6,210.85,224.38,226.91,225.66,227.81,232.42,232.42
"2001",123.15,126.99,130.59,132.15,140.39,142.7,140.16,142,144.12,144.13
"2002",178.27,185.83,188.23,192.58,210.27,216.23,212.24,216.19,223.93,223.94
"2003",103.7,109.24,108.24,111.18,115.94,119.48,116.18,118.58,121.49,121.49
"2004",142.85,153.44,161.47,169.14,171.66,180.47,169.34,174.46,179.52,179.53
"2005",58.018,62.713,65.267,68.054,70.137,73.204,69.489,71.432,72.815,72.817
"2006",95.682,106.27,104.83,112.65,117.41,126.47,113.51,118.39,120.41,120.41
"2007",88.341,98.33,87.443,93.515,90.712,96.896,86.9,90.375,88.269,88.271
"2008",227.63,273.86,225.86,256.84,220.9,248.36,203.32,216.26,197.2,197.21
"2009",121.75,141.83,127.95,143.92,144.48,161.48,148.94,158.09,144.06,144.06
"2010",154.91,186.42,175,209.82,190.88,226.25,220.34,240.95,225.13,225.14
"2011",70.153,77.922,67.266,74.964,63.529,71.114,73.167,78.055,82.629,82.63
"2012",93.848,102.19,134.38,160.66,119.3,145.22,142.63,160.19,175.68,175.68
"2013",74.119,78.286,69.806,76.072,56.787,64.336,53.162,57.617,66.005,66.007
"2014",83.733,86.265,101,109.31,100.03,118.61,123.59,142.26,152.47,152.48
"2015",NA,85.648,82.482,85.669,79.821,88.901,85.157,95.415,107.82,107.83
"2016",NA,NA,85.497,86.809,83.2,89.71,110.73,126.38,109.93,109.93
"2017",NA,NA,NA,86.155,75.117,78.296,75.777,82.068,66.182,66.184
"2018",NA,NA,NA,NA,84.695,86.34,237.79,272.4,205.57,205.58
"2019",NA,NA,NA,NA,NA,85.661,120.74,126.97,135.11,135.12
"2020",NA,NA,NA,NA,NA,NA,85.755,87.713,81.178,81.179
"2021",NA,NA,NA,NA,NA,NA,NA,87.057,74.907,74.908
"2022",NA,NA,NA,NA,NA,NA,NA,NA,85.932,85.932
"2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,85.932
