"","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1961",206210,217420,210560,223080,215260,228950,219100,220680,223200,224810
"1962",222200,232150,226050,236720,230160,241500,233580,234990,237240,238700
"1963",236350,240950,239350,243810,242500,246880,245180,246300,248090,249280
"1964",242850,239320,244710,240570,246590,241930,248280,249010,250160,250960
"1965",217010,213260,217690,213620,218240,213850,218840,219140,219630,220010
"1966",156900,156470,156670,156260,156110,155640,155730,155590,155640,155660
"1967",136470,136340,135980,135920,135160,135020,134480,134220,134160,134070
"1968",128540,128320,127980,127830,127110,126850,126330,126020,125940,125820
"1969",117040,116800,116480,116290,115630,115320,114820,114490,114420,114280
"1970",109060,108900,108530,108420,107740,107500,106930,106590,106530,106390
"1971",108830,108830,108340,108410,107650,107580,106860,106520,106480,106340
"1972",96239,96454,95782,96067,95192,95317,94388,94027,94018,93875
"1973",83088,83505,82644,83136,82128,82439,81285,80892,80908,80750
"1974",75130,75781,74709,75441,74273,74805,73395,72972,73019,72849
"1975",65969,66854,65585,66566,65236,66003,64325,63872,63964,63786
"1976",53912,55017,53570,54791,53306,54304,52357,51871,52019,51834
"1977",41610,42916,41308,42753,41115,42332,40123,39602,39808,39617
"1978",37325,38823,37061,38724,36933,38366,35897,35338,35608,35411
"1979",38014,39689,37797,39665,37739,39380,36663,36070,36407,36207
"1980",38344,40176,38184,40241,38202,40041,37092,36465,36881,36679
"1981",37397,39364,37299,39526,37397,39419,36255,35593,36097,35894
"1982",36417,38501,36381,38763,36558,38751,35384,34684,35281,35077
"1983",37638,39835,37661,40192,37921,40278,36710,35971,36660,36454
"1984",40248,42554,40329,43006,40680,43195,39429,38646,39429,39218
"1985",43301,45723,43440,46268,43895,46571,42599,41768,42648,42430
"1986",47487,50025,47687,50667,48265,51102,46926,46044,47025,46799
"1987",51338,53990,51608,54738,52333,55329,50956,50025,51111,50879
"1988",54389,57162,54739,58028,55639,58806,54233,53256,54455,54217
"1989",56037,58954,56483,59956,57593,60960,56162,55140,56462,56221
"1990",56926,60041,57487,61203,58856,62485,57396,56328,57791,57550
"1991",58387,61782,59089,63139,60780,64765,59280,58163,59793,59556
"1992",63958,67751,64843,69355,66944,71417,65383,64211,66049,65818
"1993",71434,75744,72554,77658,75172,80265,73525,72289,74385,74165
"1994",82361,87296,83776,89590,87028,92861,85272,83966,86373,86168
"1995",94651,100270,96418,103010,100410,107050,98538,97164,99922,99738
"1996",105620,111910,107790,115130,112580,120010,110610,109180,112300,112150
"1997",114240,121130,116840,124850,122440,130570,120410,118950,122430,122310
"1998",120200,127560,123230,131770,129600,138310,127590,126110,129920,129830
"1999",124160,131860,127630,136560,134720,143860,132780,131330,135420,135380
"2000",125810,133770,129730,138940,137510,146990,135720,134320,138650,138670
"2001",126920,135120,131330,140800,139830,149630,138240,136910,141490,141560
"2002",128020,136500,132970,142740,142280,152460,140950,139710,144560,144710
"2003",129700,138560,135290,145460,145550,156220,144530,143410,148570,148810
"2004",133080,142460,139400,150100,150780,162100,150140,149150,154700,155050
"2005",137390,147440,144520,155910,157180,169330,156960,156170,162150,162640
"2006",143000,153920,151020,163290,165130,178330,165360,164820,171290,171970
"2007",148760,160760,157740,171090,173470,187930,174160,173940,180960,181860
"2008",155420,168680,165430,180020,182930,198860,184100,184260,191900,193060
"2009",162450,177160,173570,189560,192910,210490,194520,195160,203440,204910
"2010",168590,184910,180860,198370,201990,221320,203970,205180,214050,215880
"2011",172360,190400,185750,204850,208480,229610,210720,212570,221910,224120
"2012",175390,195310,189820,210610,213870,236840,216250,218810,228400,231030
"2013",177350,199440,192630,215300,217700,242660,220110,223490,232980,236070
"2014",172840,204840,196030,220960,221850,249100,224260,228610,237610,241220
"2015",NA,201250,198000,225680,224340,254320,226920,232450,240560,244790
"2016",NA,NA,191460,230870,226680,259790,229820,236770,243740,248720
"2017",NA,NA,NA,224450,226640,263100,230960,239520,245420,251250
"2018",NA,NA,NA,NA,215280,264330,230720,241000,246230,253000
"2019",NA,NA,NA,NA,NA,252060,228380,240390,245500,253280
"2020",NA,NA,NA,NA,NA,NA,214560,237630,243060,251890
"2021",NA,NA,NA,NA,NA,NA,NA,223680,239600,249530
"2022",NA,NA,NA,NA,NA,NA,NA,NA,223550,244790
"2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,229170
