"year","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1961",206247,206489,210590,211258,215275,216691,219122,220678,223211,224129
"1962",222228,222389,226074,226632,230180,231417,233595,234988,237251,238093
"1963",236364,236400,239358,239734,242499,243433,245178,246289,248084,248777
"1964",242847,242732,244706,244848,246587,247115,248269,248990,250146,250621
"1965",217002,216724,217681,217565,218225,218309,218822,219112,219606,219868
"1966",156868,156339,156628,156188,156071,155676,155685,155550,155600,155752
"1967",136442,135813,135951,135396,135123,134568,134446,134179,134123,134243
"1968",128510,127829,127955,127347,127076,126456,126304,125991,125914,126021
"1969",117007,116286,116448,115805,115595,114935,114789,114455,114382,114482
"1970",109032,108281,108494,107827,107709,107023,106899,106556,106496,106585
"1971",108794,108014,108301,107614,107616,106909,106822,106478,106441,106519
"1972",96210.2,95378.2,95751.5,95021.6,95159,94406.7,94355,93992.6,93984.9,94055.9
"1973",83060.7,82157.3,82615,81824.2,82096.4,81276.9,81253.7,80859.6,80876.7,80937.3
"1974",75102.8,74120.4,74679.9,73822.9,74241.4,73351.8,73363.3,72939.6,72987.5,73041.6
"1975",65943.8,64875.2,65557.6,64628,65206.7,64242.6,64295.2,63841,63933.9,63990.4
"1976",53890,52730,53546.4,52538.3,53279.4,52236,52330.4,51842.6,51991.6,52059.3
"1977",41594.7,40343.3,41290.4,40202.6,41093.9,39970,40102.3,39579,39786.9,39871.2
"1978",37315.4,35967,37049,35876.9,36917.4,35708.8,35881.1,35320.3,35590.9,35695.5
"1979",38011.2,36571,37791.2,36538.5,37729.4,36440.7,36653.1,36056.9,36396.2,36524.9
"1980",38348.1,36818.6,38184.5,36852.7,38198.8,36832.6,37088.5,36457.3,36876.3,37035.2
"1981",37409.2,35789.9,37307.8,35895.9,37400.7,35957,36259,35591.9,36099.9,36294.8
"1982",36439.3,34726.2,36399.7,34904.2,36571.4,35046.8,35396.6,34691.5,35292.5,35525.4
"1983",37669.5,35856,37689.4,36104.8,37943.6,36332.2,36732.4,35986.7,36680.7,36949.7
"1984",40290.4,38365.2,40367.8,38685.1,40713.2,39005.5,39460.9,38670.6,39459.2,39761.9
"1985",43356.2,41306.6,43490.7,41699.7,43939.7,42125.5,42642.7,41803.7,42689.4,43023
"1986",47553.9,45370.4,47749.8,45843.5,48321.9,46394.5,46980.6,46090.9,47077.8,47439.3
"1987",51417.5,49095.9,51682.7,49658.9,52401.2,50359.9,51022.2,50082.5,51175.6,51562.5
"1988",54479.9,52017.8,54826,52684.6,55719.2,53566.7,54311,53324.2,54530.4,54941.1
"1989",56139.5,53528.7,56580.6,54316.9,57684.4,55419.6,56251.4,55218.6,56548.8,56982.5
"1990",57039.9,54263.7,57594.9,55197.8,58957.2,56573.5,57495.8,56416.3,57887.9,58345.3
"1991",58507.8,55546.2,59204.1,56659.4,60888.3,58375.5,59386.3,58258.1,59897.2,60381
"1992",64083.9,60901,64963.4,62242.9,67056.6,64389.8,65493.4,64308.9,66157,66673.3
"1993",71561.9,68119.9,72675,69749.2,75285.4,72438.1,73635.6,72386.9,74493.1,75046.8
"1994",82485.5,78751.2,83892.2,80734.1,87135.4,84082.3,85377.7,84058.1,86475.1,87071
"1995",94765.9,90732.5,96524.8,93129.3,100504,97239.8,98632.5,97244.1,100012,100650
"1996",105719,101414,107877,104267,112655,109200,110686,109242,112377,113053
"1997",114328,109808,116912,113132,122496,118894,120473,118991,122483,123189
"1998",120273,115620,123292,119409,129646,125961,127632,126142,129955,130681
"1999",124219,119517,127676,123761,134751,131053,132816,131348,135441,136177
"2000",125856,121175,129766,125874,137535,133882,135744,134324,138667,139407
"2001",126965,122351,131361,127531,139848,136285,138258,136909,141497,142236
"2002",128060,123543,133004,129262,142297,138859,140965,139707,144564,145303
"2003",129749,125352,135326,131693,145565,142286,144551,143407,148582,149321
"2004",133136,128893,139440,135947,150797,147726,150159,149161,154715,155457
"2005",137448,133414,144564,141260,157207,154413,156991,156182,162175,162923
"2006",143072,139331,151075,148036,165167,162747,165399,164839,171325,172081
"2007",148844,145511,157812,155136,173517,171597,174208,173969,181004,181770
"2008",155518,152710,165515,163299,182993,181690,184158,184303,191956,192731
"2009",162561,160462,173662,172061,192987,192472,194589,195213,203501,204284
"2010",168716,167532,180959,180143,202074,202519,204049,205237,214120,214906
"2011",172484,172434,185855,185999,208564,210130,210804,212631,221983,222765
"2012",175520,176864,189932,191244,213957,216828,216335,218881,228472,229245
"2013",177482,180559,192745,195494,217788,222192,220191,223556,233056,233814
"2014",172961,185485,196141,200690,221935,228192,224341,228681,237685,238425
"2015",NA,182006,198110,204898,224431,232938,226999,232521,240627,241348
"2016",NA,NA,191565,209504,226765,237906,229906,236845,243814,244513
"2017",NA,NA,NA,203254,226725,240735,231044,239592,245491,246166
"2018",NA,NA,NA,NA,215355,241601,230808,241073,246301,246949
"2019",NA,NA,NA,NA,NA,229896,228467,240461,245574,246192
"2020",NA,NA,NA,NA,NA,NA,214640,237702,243130,243714
"2021",NA,NA,NA,NA,NA,NA,NA,223741,239667,240214
"2022",NA,NA,NA,NA,NA,NA,NA,NA,223616,234273
"2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,217879
