"year","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1961",246071.225,225166.6,210486.95,239054.25,240871.55,269433.75,254064.5,220389.55,243600.4,283457.45
"1962",255663.65,248224.25,228556.7,256138.575,260046.4,287839.525,268139.7,234872.2,260747.35,287958.575
"1963",259639.425,271229.025,242126.525,265461.95,276938.125,301295.3,281645.625,247655.225,269064.875,286270.95
"1964",249335.7,276241.275,244820.7,263903.775,289423.75,297189.375,276182,253128.45,269634.925,268944.325
"1965",216903.525,265604.3,217377.175,240114.55,246749.6,273817.425,239575.9,228278.75,237952.45,219845.875
"1966",159483.9,170473.525,157383.725,163880.4,189356.175,198994.75,179675.175,160169.75,166232.375,166982.425
"1967",140715.5,147596.275,140894.2,138612.325,162808.25,172629.775,159778.1,142450.15,142876.425,145470.65
"1968",130909.45,134532.8,135606.6,137847.6,150012.3,158466.525,150399.725,135432.275,138506.7,134090.5
"1969",123319.2,122775.225,123381.8,125364.975,129725.3,140201.25,145776.85,123465.425,127814.85,119556.55
"1970",114960.325,113357.125,116799.575,119411.3,124053.75,127790.55,134107.875,112396.45,114818.425,109732.125
"1971",115189.45,115790.3,113673.4,119500.075,123253.125,128376.95,130746.2,109708.1,115408.125,109603.875
"1972",102217.89,105158.725,99548.81,104004.1,110289.225,114617.725,121965.325,93912.98,98507.7025,94734.48
"1973",87062.855,89982.6325,82614.655,94963.3925,96065.935,101774.63,113403.2775,80735.865,90927.38,84790.16
"1974",80057.285,79733.7025,74502.705,86540.0475,87244.5875,93284.4125,105108.0975,72858.7575,86677.315,76405.53
"1975",67449.0525,70634.6425,65277.76,79010.7425,77626.7675,79702.6775,97763.365,64234.68,78857.7575,69092.43
"1976",53836.8025,61715.6975,53104.98,65784.0775,63545.05,67176.8475,89105.3475,51758.6825,66562.8475,58947.675
"1977",42234.06,49561.0625,40852.3175,50215.4575,50270.64,54575.935,77179.1675,39378.705,53962.525,50278.86
"1978",39061.245,45811.8675,36651.6425,45484.6625,45922.645,50019.4475,72179.6725,34971.7975,47535.61,45760.55
"1979",41465.89,47167.615,37417.835,45430.955,46208.9675,51455.955,72234.52,35572.835,47374.3775,47699.0675
"1980",42937.58,46930.7,37852.0625,45663.0675,45639.0375,52364.88,71822.065,35892.055,47044.825,49174.335
"1981",43516.975,45580.655,37033.3825,44282.1975,44830.7625,51717.5475,70727.83,34941.365,45117.4475,49931.505
"1982",42632.4525,44364.145,36154.7575,43368.04,44283.7725,51268.83,69238.7425,34038.49,42695.09,50614.6475
"1983",43660.6325,45218.9425,37446.9475,45404.35,45504.92,52558.0875,70484.91,35309.105,42787.92,53383.1575
"1984",45860.75,46952.9,40136.35,48810.2275,47949.475,55977.9675,73371.2525,38025.045,44156.72,57534.3875
"1985",48650.8075,49454.925,43251.5475,52834.11,50567.325,59759.4425,77166.185,41188.61,46178.685,62395.83
"1986",52752.8625,53098.59,47493.255,57986.2675,53954.595,64836.225,82082.1525,45509.9125,49609.34,68599.6
"1987",56807.105,56363.1625,51399.185,62775.4725,56864.695,69398.8975,86849.7425,49540.8125,53068.89,74405.8375
"1988",60211.385,58510.2825,54538.7275,66909.38,59255.1975,73130.7275,90538.1425,52783.5325,55512.6575,79277.11
"1989",62574.6325,58639.655,56282.895,69811.59,60997.8425,75343.6375,91892.3425,54737.07,56478.615,82212.3075
"1990",65201.4525,58611.28,57319.4475,72080.225,61587.4375,77041.715,92193.875,56002.9975,57707.1425,85411.765
"1991",68884.08,59333.785,58916.4525,75767.2475,62924.8725,81690.125,93044.3875,57993.7325,59644.39,88903.3825
"1992",78112.45,63924.25,64660.1075,85085.085,67836.6525,91185.1075,99210.275,64148.5725,65780.44,97310.6925
"1993",90208.42,70412.1575,72338.955,97442.55,75198.4,103172.0575,108027.3075,72324.2675,73984.9675,108023.9225
"1994",106999.3875,82382.365,83475.725,114286.86,86948.5525,119318.9725,121143.93,84406.825,85983.355,123036.2125
"1995",126117.9425,96197.5325,95992.96,132884.65,100256.0875,137129.685,136482.675,98375.745,99537.9325,139596.425
"1996",144900.15,109052.65,107204.445,149343.525,112405.55,153684.175,151384.525,111007.825,111954.9,154835.825
"1997",160867.525,119440.025,116076.05,162135.175,122266.125,167497.2,164191.775,121828.9,122186.45,166470.675
"1998",174361.45,127336.975,122381.05,170325.925,129411.25,177613,173496.4,130185.175,129807.025,175330.75
"1999",184222.825,132325.475,126712.85,175906.625,134510.25,185263.55,180008.475,137434.5,135431.625,180825.825
"2000",190374.75,134070.425,128731.075,178295.875,137336.025,190423.55,184614.475,142453.825,139974.025,184029
"2001",194906.25,136410.075,130183.05,180653.05,139626.375,194439.75,188356.375,147092.325,143137.025,186791.4
"2002",200210.925,138637.15,131723.075,183586.375,142059.4,199508.475,191344.025,150527.65,146612.875,189420.875
