"age","srv1","maturity"
2,44.3,0.00657105
3,98.3,0.0127563
4,166.7,0.0246193
5,242.4,0.0469894
6,319.8,0.0878553
7,394.7,0.158356
8,464.5,0.268761
9,527.8,0.417919
10,584,0.583771
11,633.1,0.732603
12,675.5,0.842568
13,711.8,0.9127
14,742.7,0.953321
15,768.7,0.975547
16,790.5,0.987331
17,808.8,0.993474
18,824.1,0.996649
19,836.8,0.998282
20,847.3,0.99912
21,856.1,0.999549
22,863.3,0.999769
23,869.3,0.999882
24,874.2,0.999939
25,878.3,0.999969
26,881.7,0.999984
27,884.5,0.999992
28,886.8,0.999996
29,893,0.999998
