"weight","value","variable","model"
50,0.248425,"SSQ Catch Likelihood","2023-09-25-Mprofile_M=0.07"
1,15.6783,"Bottom Trawl Survey Likelihood","2023-09-25-Mprofile_M=0.07"
1,24.8858,"Fishery Age Composition Likelihood","2023-09-25-Mprofile_M=0.07"
1,24.8064,"Bottom Trawl Survey Age Composition Likelihood","2023-09-25-Mprofile_M=0.07"
1,68.7906,"Fishery Size Composition Likelihood","2023-09-25-Mprofile_M=0.07"
0,0,"Fishery CPUE Likelihood","2023-09-25-Mprofile_M=0.07"
0,0,"Alternative Survey Abundance Index Likelihood","2023-09-25-Mprofile_M=0.07"
0,0,"Bottom Trawl Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.07"
0,0,"Alternative Survey Size Composition Likelihood","2023-09-25-Mprofile_M=0.07"
1,12.0306,"Recruitment Deviations Likelihood","2023-09-25-Mprofile_M=0.07"
0.1,6.15061,"Fishing Mortality Deviations Penalty","2023-09-25-Mprofile_M=0.07"
1,7.70625,"Priors SigmaR","2023-09-25-Mprofile_M=0.07"
1,0.567517,"Priors q Bottom Trawl Survey","2023-09-25-Mprofile_M=0.07"
1,0,"Priors M","2023-09-25-Mprofile_M=0.07"
1,0,"Priors q Alternative Survey","2023-09-25-Mprofile_M=0.07"
1,103.516,"Maturity Likelihood","2023-09-25-Mprofile_M=0.07"
1,264.38,"Objective Function","2023-09-25-Mprofile_M=0.07"
1,134.41,"Data Likelihood","2023-09-25-Mprofile_M=0.07"
