"year","obs","pred"
1961,16000,16032.8
1962,65000,65173.1
1963,136300,136926
1964,243400,244983
1965,348600,349547
1966,200800,199847
1967,120000,119571
1968,100200,99993.5
1969,72600,72510.4
1970,44900,44878.3
1971,77500,77360.9
1972,77600,77412.9
1973,56400,56292.4
1974,51000,50938.8
1975,50400,50365.8
1976,45500,45476.4
1977,21600,21603.7
1978,8000,8015.39
1979,8300,8315.62
1980,10800,10816.2
1981,10500,10517.1
1982,5400,5414.54
1983,2821,2831.75
1984,2752,2762.63
1985,800,804.904
1986,2200,2209.38
1987,4500,4514.32
1988,8540,8562.31
1989,11780,11811.3
1990,13090,13114.2
1991,6548.13,6564.86
1992,6537.64,6554.61
1993,2059.76,2069.17
1994,1841.23,1850.32
1995,5740.72,5757.31
1996,8378.43,8392.09
1997,9518.82,9533.1
1998,8907.93,8922.68
1999,10473.1,10488.3
2000,10145.5,10161.4
2001,10817.1,10833.7
2002,11733.8,11750.8
2003,10846.3,10850.6
2004,11639.9,11641.8
2005,11247.5,11247.4
2006,13595.3,13587.7
2007,12954.8,12922.5
2008,12461.2,12430.3
2009,12986.4,12942.9
2010,15615.7,15544.2
2011,14223.6,14156.5
2012,14916,14836.6
2013,13181.4,13127.4
2014,17712.1,17602.2
2015,18732.8,18618.4
2016,23034.5,22852.9
2017,23860.2,23706.5
2018,24737,24567
2019,25470.3,25330.2
2020,25191.2,25054
2021,28899.9,28781.8
2022,29484,29377
2023,29939.5,29874.4
