"age","fish1","fish2","fish3","fish4","srv1"
2,0.000122005,0.0000616429,0.00000128071,0.0000359426,0.00887699
3,0.000657976,0.000396529,0.000135085,0.000631473,0.0119629
4,0.00354014,0.00262127,0.00170243,0.00315998,0.0161048
5,0.0188096,0.0138997,0.00898995,0.00945601,0.0216502
6,0.0937436,0.0616089,0.0294747,0.0213488,0.0290506
7,0.358216,0.214849,0.0714843,0.0403316,0.0388835
8,0.750733,0.445768,0.140805,0.0673765,0.0518727
9,0.942033,0.590101,0.238173,0.102868,0.0689005
10,0.988725,0.673678,0.358639,0.146619,0.0909998
11,0.997891,0.745288,0.492694,0.197949,0.119311
12,0.999608,0.814018,0.628439,0.255776,0.154982
13,0.999927,0.876922,0.753932,0.318737,0.198997
14,0.999987,0.929541,0.859112,0.385296,0.251929
15,0.999998,0.968482,0.936985,0.453841,0.31365
16,1,0.992007,0.984033,0.522776,0.383084
17,1,0.999991,1,0.590585,0.45811
18,1,0.993627,0.987273,0.655887,0.535732
19,1,0.975028,0.950073,0.71747,0.612513
20,1,0.946811,0.893639,0.774316,0.685159
21,1,0.911749,0.823513,0.825607,0.75106
22,1,0.872488,0.74499,0.870729,0.808598
23,1,0.831368,0.662749,0.909261,0.857179
24,1,0.790319,0.58065,0.940964,0.897051
25,1,0.750826,0.501661,0.965762,0.929021
26,1,0.713942,0.427892,0.983723,0.954179
27,1,0.680336,0.360679,0.995038,0.973686
28,1,0.650357,0.300719,1,0.988639
29,1,0.624096,0.248197,0.998982,1
