"age","srv1","maturity"
2,44.3,0.00606842
3,98.3,0.0118856
4,166.7,0.0231492
5,242.5,0.0446052
6,320,0.0842329
7,395,0.153413
8,464.9,0.263088
9,528.2,0.412926
10,584.5,0.580839
11,633.8,0.731906
12,676.3,0.843224
13,712.7,0.913766
14,743.6,0.954288
15,769.7,0.976263
16,791.7,0.987809
17,810,0.993775
18,825.4,0.99683
19,838.1,0.998389
20,848.7,0.999181
21,857.5,0.999584
22,864.7,0.999789
23,870.8,0.999893
24,875.7,0.999946
25,879.8,0.999972
26,883.2,0.999986
27,886,0.999993
28,888.3,0.999996
29,894.6,0.999998
