"year","tot_biom","sp_biom","F","recruits"
1961,1271880,258906,0.0277921,251.176
1962,1395740,272358,0.100972,237.483
1963,1445560,280721,0.191675,255.609
1964,1393100,278192,0.364918,224.9
1965,1205530,244834,0.611951,255.772
1966,901909,181158,0.393889,379.258
1967,751723,160066,0.267767,274.495
1968,677326,152850,0.257234,167.201
1969,616095,142382,0.209025,128.118
1970,577158,135350,0.13498,132.479
1971,560315,136044,0.238442,124.865
1972,503722,124420,0.253681,104.041
1973,442825,112392,0.198435,93.88
1974,400386,106065,0.196383,87.2961
1975,360842,98881.6,0.218606,82.7705
1976,320433,88977.2,0.224306,82.0287
1977,285348,78827.4,0.132303,95.3388
1978,277056,76628.7,0.0492662,133.824
1979,283301,79313.4,0.0501367,108.398
1980,289130,81432.3,0.0650274,96.336
1981,292297,82076.7,0.063659,99.2223
1982,296549,82543.3,0.0324072,121.658
1983,306800,85126.5,0.0163172,125.972
1984,320688,89051.8,0.0151663,136.737
1985,338011,93388.6,0.00420502,195.886
1986,364770,98839.6,0.0110521,293.352
1987,396331,103919,0.0217983,272.069
1988,437666,108304,0.0402305,413.213
1989,481708,111690,0.0541558,321.782
1990,525133,115120,0.0575371,251.393
1991,562732,120302,0.0265193,137.671
1992,601009,131091,0.0234814,153.494
1993,631534,145294,0.00645315,154.184
1994,659880,164130,0.00501588,176.808
1995,681012,184699,0.0139906,148.578
1996,699809,203277,0.0232343,327.076
1997,719772,217867,0.0248014,351.165
1998,738009,227701,0.0224401,216.199
1999,758827,233681,0.0261472,267.493
2000,790620,236303,0.0255093,532.461
2001,826004,238335,0.0275222,335.435
2002,871971,241218,0.0300893,512.714
2003,916035,246185,0.0275958,286.431
2004,964213,254562,0.0289542,405.447
2005,1002080,265442,0.0268719,177.075
2006,1034260,279044,0.0307278,270.425
2007,1053870,294044,0.0258641,205.361
2008,1074610,310701,0.0237869,422.213
2009,1092450,327645,0.0237182,318.072
2010,1115410,342515,0.0274908,478.573
2011,1129080,352935,0.0243217,196.218
2012,1146640,360247,0.0248843,387.044
2013,1154750,364332,0.0215961,166.846
2014,1165760,367869,0.0284661,379.587
2015,1168120,369773,0.0298033,271.237
2016,1166000,372293,0.0363689,253.424
2017,1152140,373533,0.0377853,155.809
2018,1140920,373877,0.0392886,390.043
2019,1127350,372451,0.0408232,269.464
2020,1109430,369120,0.0408031,183.27
2021,1087960,364661,0.0476577,175.383
2022,1060010,357604,0.0496342,201.761
2023,1029460,332459,0.0524971,201.388
