Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom
1 Model_1_goa_pop_2023.dat 2023 37.8855 45.0936 28.8122 217.879 0.0750682 633.37
1 Model_1_goa_pop_2023.dat 2024 36.7542 43.749 36.7542 210.771 0.0996381 622.27
1 Model_1_goa_pop_2023.dat 2025 35.0251 41.6926 35.0251 202.04 0.0996381 601.941
1 Model_1_goa_pop_2023.dat 2026 33.4338 39.7999 33.4338 194.269 0.0996381 584.824
1 Model_1_goa_pop_2023.dat 2027 32.0291 38.1294 32.0291 186.955 0.0996381 570.064
1 Model_1_goa_pop_2023.dat 2028 30.8669 36.7481 30.8669 179.867 0.0996381 560.023
1 Model_1_goa_pop_2023.dat 2029 29.9386 35.6455 29.9386 173.46 0.0996381 548.895
1 Model_1_goa_pop_2023.dat 2030 29.2418 34.8182 29.2418 168.412 0.0996381 538.306
1 Model_1_goa_pop_2023.dat 2031 28.7156 34.1933 28.7156 164.989 0.0996381 527.454
1 Model_1_goa_pop_2023.dat 2032 28.3041 33.7038 28.3041 162.644 0.0996381 518.734
1 Model_1_goa_pop_2023.dat 2033 27.926 33.2529 27.926 160.566 0.0996381 515.229
1 Model_1_goa_pop_2023.dat 2034 27.5564 32.8115 27.5564 158.31 0.0996381 512.372
1 Model_1_goa_pop_2023.dat 2035 27.2118 32.3999 27.2118 155.875 0.0996381 509.9
1 Model_1_goa_pop_2023.dat 2036 26.9535 32.0921 26.9535 153.313 0.0996381 505.904
1 Model_1_goa_pop_2023.dat 2023 37.8855 45.0936 28.8122 217.879 0.0750682 633.37
1 Model_1_goa_pop_2023.dat 2024 36.7535 43.748 36.7535 210.742 0.0996381 613.024
1 Model_1_goa_pop_2023.dat 2025 35.0067 41.6706 35.0067 201.924 0.0996381 583.784
1 Model_1_goa_pop_2023.dat 2026 33.3267 39.6715 33.3267 193.923 0.0996381 556.982
1 Model_1_goa_pop_2023.dat 2027 31.6929 37.7266 31.6929 186.076 0.0996381 533.597
1 Model_1_goa_pop_2023.dat 2028 30.1266 35.8618 30.1266 177.889 0.0996381 515.653
1 Model_1_goa_pop_2023.dat 2029 28.6471 34.1008 28.6471 169.49 0.0996381 500.826
1 Model_1_goa_pop_2023.dat 2030 27.3336 32.5383 27.3336 161.343 0.0996381 489.616
1 Model_1_goa_pop_2023.dat 2031 26.2347 31.2326 26.2347 154.011 0.0996381 478.343
1 Model_1_goa_pop_2023.dat 2032 25.3951 30.2363 25.3951 147.96 0.0996381 468.125
1 Model_1_goa_pop_2023.dat 2033 24.7824 29.5098 24.7824 143.523 0.0996381 458.028
1 Model_1_goa_pop_2023.dat 2034 24.3408 28.9859 24.3408 140.673 0.0996381 454.701
1 Model_1_goa_pop_2023.dat 2035 23.9948 28.5743 23.9948 138.96 0.0996381 455.043
1 Model_1_goa_pop_2023.dat 2036 23.7295 28.2576 23.7295 137.647 0.0996381 457.376
1 Model_1_goa_pop_2023.dat 2023 37.8855 45.0936 28.8122 217.879 0.0750682 633.37
1 Model_1_goa_pop_2023.dat 2024 36.7541 43.7488 36.7541 210.766 0.0996381 620.588
