Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom
1 Model_1_goa_pop_2023.dat 2023 40.916 48.8962 30.3807 234.352 0.0727775 670.712
1 Model_1_goa_pop_2023.dat 2024 39.7197 47.4672 31.454 228.053 0.0777689 657.368
1 Model_1_goa_pop_2023.dat 2025 38.3698 45.8546 29.89 221.473 0.0764642 641.738
1 Model_1_goa_pop_2023.dat 2026 37.0896 44.3252 37.0896 214.035 0.0990105 629.104
1 Model_1_goa_pop_2023.dat 2027 35.3079 42.1976 35.3079 204.403 0.0990105 609.957
1 Model_1_goa_pop_2023.dat 2028 33.7863 40.3818 33.7863 195.175 0.0990105 596.264
1 Model_1_goa_pop_2023.dat 2029 32.5262 38.879 32.5262 186.93 0.0990105 581.955
1 Model_1_goa_pop_2023.dat 2030 31.5353 37.6979 31.5353 180.397 0.0990105 568.663
1 Model_1_goa_pop_2023.dat 2031 30.7549 36.7676 30.7549 175.841 0.0990105 555.496
1 Model_1_goa_pop_2023.dat 2032 30.1322 36.0246 30.1322 172.652 0.0990105 544.911
1 Model_1_goa_pop_2023.dat 2033 29.583 35.3683 29.583 169.925 0.0990105 540.093
1 Model_1_goa_pop_2023.dat 2034 29.0806 34.7668 29.0806 167.134 0.0990105 536.171
1 Model_1_goa_pop_2023.dat 2035 28.6356 34.234 28.6356 164.241 0.0990105 532.834
1 Model_1_goa_pop_2023.dat 2036 28.2995 33.8321 28.2995 161.278 0.0990105 528.054
1 Model_1_goa_pop_2023.dat 2023 40.916 48.8962 30.3807 234.352 0.0727775 670.712
1 Model_1_goa_pop_2023.dat 2024 39.7187 47.466 31.454 228.022 0.0777709 647.647
1 Model_1_goa_pop_2023.dat 2025 38.3485 45.8289 29.89 221.349 0.0765076 622.613
1 Model_1_goa_pop_2023.dat 2026 36.9719 44.1835 36.9719 213.662 0.0990105 599.72
1 Model_1_goa_pop_2023.dat 2027 34.9537 41.7715 34.9537 203.468 0.0990105 571.415
1 Model_1_goa_pop_2023.dat 2028 33.0239 39.4652 33.0239 193.079 0.0990105 549.312
1 Model_1_goa_pop_2023.dat 2029 31.2124 37.3009 31.2124 182.72 0.0990105 530.949
1 Model_1_goa_pop_2023.dat 2030 29.6046 35.3812 29.6046 172.886 0.0990105 516.808
1 Model_1_goa_pop_2023.dat 2031 28.2462 33.7607 28.2462 164.14 0.0990105 503.037
1 Model_1_goa_pop_2023.dat 2032 27.1788 32.4887 27.1788 156.937 0.0990105 490.714
1 Model_1_goa_pop_2023.dat 2033 26.3649 31.5195 26.3649 151.593 0.0990105 478.822
1 Model_1_goa_pop_2023.dat 2034 25.7506 30.7877 25.7506 148.059 0.0990105 474.309
