Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom
1 Model_1_goa_pop_2023.dat 2023 37.8855 45.0936 28.8122 217.879 0.0750682 633.37
1 Model_1_goa_pop_2023.dat 2024 36.7543 43.749 29.106 211.926 0.0782669 622.27
1 Model_1_goa_pop_2023.dat 2025 35.5857 42.3594 27.726 206.436 0.0769694 609.615
1 Model_1_goa_pop_2023.dat 2026 34.5112 41.0815 34.5112 200.515 0.0996381 599.525
1 Model_1_goa_pop_2023.dat 2027 32.9915 39.2742 32.9915 192.652 0.0996381 583.088
1 Model_1_goa_pop_2023.dat 2028 31.7167 37.7589 31.7167 185.008 0.0996381 571.49
1 Model_1_goa_pop_2023.dat 2029 30.6801 36.5275 30.6801 178.052 0.0996381 558.944
1 Model_1_goa_pop_2023.dat 2030 29.8819 35.5797 29.8819 172.478 0.0996381 547.079
1 Model_1_goa_pop_2023.dat 2031 29.2625 34.844 29.2625 168.566 0.0996381 535.095
1 Model_1_goa_pop_2023.dat 2032 28.7676 34.2553 28.7676 165.777 0.0996381 525.379
1 Model_1_goa_pop_2023.dat 2033 28.3156 33.7166 28.3156 163.302 0.0996381 521.007
1 Model_1_goa_pop_2023.dat 2034 27.8822 33.1993 27.8822 160.699 0.0996381 517.399
1 Model_1_goa_pop_2023.dat 2035 27.483 32.7229 27.483 157.961 0.0996381 514.279
1 Model_1_goa_pop_2023.dat 2036 27.1793 32.3611 27.1793 155.136 0.0996381 509.726
1 Model_1_goa_pop_2023.dat 2023 37.8855 45.0936 28.8122 217.879 0.0750682 633.37
1 Model_1_goa_pop_2023.dat 2024 36.7535 43.7481 29.106 211.896 0.0782686 613.024
1 Model_1_goa_pop_2023.dat 2025 35.5672 42.3373 27.726 206.318 0.0770102 591.457
1 Model_1_goa_pop_2023.dat 2026 34.403 40.9517 34.403 200.162 0.0996381 571.661
1 Model_1_goa_pop_2023.dat 2027 32.6543 38.8702 32.6543 191.766 0.0996381 546.597
1 Model_1_goa_pop_2023.dat 2028 30.9754 36.8713 30.9754 183.025 0.0996381 527.097
1 Model_1_goa_pop_2023.dat 2029 29.3875 34.9814 29.3875 174.077 0.0996381 510.851
1 Model_1_goa_pop_2023.dat 2030 27.9725 33.2984 27.9725 165.404 0.0996381 498.366
1 Model_1_goa_pop_2023.dat 2031 26.7804 31.8818 26.7804 157.581 0.0996381 485.962
1 Model_1_goa_pop_2023.dat 2032 25.8573 30.7863 25.8573 151.085 0.0996381 474.749
1 Model_1_goa_pop_2023.dat 2033 25.1707 29.972 25.1707 146.252 0.0996381 463.787
1 Model_1_goa_pop_2023.dat 2034 24.6653 29.3722 24.6653 143.054 0.0996381 459.71
1 Model_1_goa_pop_2023.dat 2035 24.2648 28.8958 24.2648 141.038 0.0996381 459.407
1 Model_1_goa_pop_2023.dat 2036 23.9542 28.5253 23.9542 139.464 0.0996381 461.184
1 Model_1_goa_pop_2023.dat 2023 37.8855 45.0936 28.8122 217.879 0.0750682 633.37
1 Model_1_goa_pop_2023.dat 2024 36.7541 43.7488 29.106 211.92 0.0782672 620.588
1 Model_1_goa_pop_2023.dat 2025 35.5824 42.3555 27.726 206.417 0.0769766 607.089
1 Model_1_goa_pop_2023.dat 2026 34.4931 41.0598 34.4931 200.462 0.0996381 596.465
1 Model_1_goa_pop_2023.dat 2027 32.9403 39.2129 32.9403 192.531 0.0996381 581.45
1 Model_1_goa_pop_2023.dat 2028 31.6186 37.6415 31.6186 184.743 0.0996381 565.676
1 Model_1_goa_pop_2023.dat 2029 30.5336 36.3524 30.5336 177.543 0.0996381 552.291
1 Model_1_goa_pop_2023.dat 2030 29.6837 35.3431 29.6837 171.614 0.0996381 540.212
1 Model_1_goa_pop_2023.dat 2031 29.0012 34.5322 29.0012 167.306 0.0996381 528.919
1 Model_1_goa_pop_2023.dat 2032 28.4363 33.8602 28.4363 164.216 0.0996381 522.328
1 Model_1_goa_pop_2023.dat 2033 27.9318 33.2592 27.9318 161.581 0.0996381 520.032
1 Model_1_goa_pop_2023.dat 2034 27.4962 32.7398 27.4962 158.845 0.0996381 517.425
1 Model_1_goa_pop_2023.dat 2035 27.1631 32.3431 27.1631 155.967 0.0996381 516.236
1 Model_1_goa_pop_2023.dat 2036 26.9826 32.129 26.9826 153.306 0.0996381 518.076
1 Model_1_goa_pop_2023.dat 2023 37.8855 45.0936 28.8122 217.879 0.0750682 633.37
1 Model_1_goa_pop_2023.dat 2024 36.7536 43.7482 29.106 211.9 0.0782684 614.136
1 Model_1_goa_pop_2023.dat 2025 35.5698 42.3404 27.726 206.345 0.0770045 597.608
1 Model_1_goa_pop_2023.dat 2026 34.4239 40.9769 34.4239 200.255 0.0996381 583.149
1 Model_1_goa_pop_2023.dat 2027 32.742 38.9752 32.742 192.043 0.0996381 568.782
1 Model_1_goa_pop_2023.dat 2028 31.2232 37.1682 31.2232 183.721 0.0996381 560.035
1 Model_1_goa_pop_2023.dat 2029 29.9345 35.6362 29.9345 175.635 0.0996381 552.61
1 Model_1_goa_pop_2023.dat 2030 28.978 34.5012 28.978 168.541 0.0996381 548.684
1 Model_1_goa_pop_2023.dat 2031 28.3753 33.7882 28.3753 163.243 0.0996381 544.781
1 Model_1_goa_pop_2023.dat 2032 28.1044 33.4696 28.1044 160.186 0.0996381 540.099
1 Model_1_goa_pop_2023.dat 2033 28.0568 33.4153 28.0568 159.277 0.0996381 531.515
1 Model_1_goa_pop_2023.dat 2034 28.1132 33.4824 28.1132 159.783 0.0996381 523.467
1 Model_1_goa_pop_2023.dat 2035 28.1375 33.509 28.1375 160.545 0.0996381 513.076
1 Model_1_goa_pop_2023.dat 2036 28.044 33.3937 28.044 160.41 0.0996381 501.262
1 Model_1_goa_pop_2023.dat 2023 37.8855 45.0936 28.8122 217.879 0.0750682 633.37
1 Model_1_goa_pop_2023.dat 2024 36.7536 43.7482 29.106 211.899 0.0782684 614.027
1 Model_1_goa_pop_2023.dat 2025 35.5691 42.3396 27.726 206.327 0.077006 592.122
1 Model_1_goa_pop_2023.dat 2026 34.4122 40.9628 34.4122 200.186 0.0996381 572.837
1 Model_1_goa_pop_2023.dat 2027 32.677 38.8973 32.677 191.813 0.0996381 545.121
1 Model_1_goa_pop_2023.dat 2028 31.0105 36.9133 31.0105 183.093 0.0996381 519.102
1 Model_1_goa_pop_2023.dat 2029 29.4075 35.0052 29.4075 174.142 0.0996381 497.411
1 Model_1_goa_pop_2023.dat 2030 27.9043 33.2163 27.9043 165.346 0.0996381 477.245
1 Model_1_goa_pop_2023.dat 2031 26.512 31.5599 26.512 157.104 0.0996381 459.498
1 Model_1_goa_pop_2023.dat 2032 25.2694 30.0822 25.2694 149.643 0.0996381 448.323
1 Model_1_goa_pop_2023.dat 2033 24.1855 28.7937 24.1855 143.106 0.0996381 438.501
1 Model_1_goa_pop_2023.dat 2034 23.2952 27.7359 23.2952 137.531 0.0996381 430.51
1 Model_1_goa_pop_2023.dat 2035 22.6127 26.9255 22.6127 132.958 0.0996381 425.231
1 Model_1_goa_pop_2023.dat 2036 21.7096 25.7377 21.7096 129.487 0.0976043 420.374
1 Model_1_goa_pop_2023.dat 2023 37.8855 45.0936 28.8122 217.879 0.0750682 633.37
1 Model_1_goa_pop_2023.dat 2024 36.7535 43.7481 29.106 211.898 0.0782685 613.705
1 Model_1_goa_pop_2023.dat 2025 35.5687 42.3391 27.726 206.333 0.0770068 594.719
1 Model_1_goa_pop_2023.dat 2026 34.4145 40.9656 34.4145 200.203 0.0996381 574.476
1 Model_1_goa_pop_2023.dat 2027 32.6952 38.9192 32.6952 191.859 0.0996381 546.805
1 Model_1_goa_pop_2023.dat 2028 31.0604 36.9732 31.0604 183.216 0.0996381 525.53
1 Model_1_goa_pop_2023.dat 2029 29.5025 35.1188 29.5025 174.425 0.0996381 507.849
1 Model_1_goa_pop_2023.dat 2030 28.0713 33.416 28.0713 165.948 0.0996381 496.24
1 Model_1_goa_pop_2023.dat 2031 26.8111 31.9175 26.8111 158.26 0.0996381 489.708
1 Model_1_goa_pop_2023.dat 2032 25.8057 30.7233 25.8057 151.636 0.0996381 486.619
1 Model_1_goa_pop_2023.dat 2033 25.0997 29.8866 25.0997 146.312 0.0996381 484.338
