"year","obs","pred"
1961,16000,16127.2
1962,65000,66192.8
1963,136300,139594
1964,243400,251107
1965,348600,355069
1966,200800,198182
1967,120000,118906
1968,100200,99858.1
1969,72600,72404.6
1970,44900,44810.7
1971,77500,76860
1972,77600,76579.3
1973,56400,55726.1
1974,51000,50689
1975,50400,50356.1
1976,45500,45372.3
1977,21600,21572.9
1978,8000,8010.22
1979,8300,8321.66
1980,10800,10853
1981,10500,10568.9
1982,5400,5426.1
1983,2821,2832.71
1984,2752,2764.04
1985,800,804.047
1986,2200,2210.08
1987,4500,4524.82
1988,8540,8608.99
1989,11780,11898.4
1990,13090,13114.8
1991,6548.13,6558.62
1992,6537.64,6546.77
1993,2059.76,2068.43
1994,1841.23,1849.7
1995,5740.72,5759.24
1996,8378.43,8413.57
1997,9518.82,9559.85
1998,8907.93,8944.23
1999,10473.1,10524.3
2000,10145.5,10191.7
2001,10817.1,10864.6
2002,11733.8,11777.5
2003,10846.3,10835.3
2004,11639.9,11619.1
2005,11247.5,11225.9
2006,13595.3,13552
2007,12954.8,12904.3
2008,12461.2,12416
2009,12986.4,12899.9
2010,15615.7,15482
2011,14223.6,14088.8
2012,14916,14768.7
2013,13181.4,13100.1
2014,17712.1,17552.4
2015,18732.8,18574.9
2016,23034.5,22794.3
2017,23860.2,23707.3
2018,24737,24571.7
2019,25470.3,25334.4
2020,25191.2,25059.1
2021,28899.9,28834.6
2022,29484,29413.2
2023,30380.7,30381.1
