item,y1,y2,y3,y4
M (natural mortality),0.075,0.075,0.074,0.074
Tier,3a,3a,3a,3a
Projected total (age 2+) biomass (t),636129,621249,650027,628753
Projected female spawning biomass (t),39445,37470,228030,221384
B100%,82350,82350,343618,343618
B40%,32940,32940,137447,137447
B35%,28822,28822,120266,120266
FOFL,0.074,0.074,0.119,0.119
maxFABC,0.061,0.061,0.099,0.099
FABC,0.061,0.061,0.099,0.099
OFL (t),5927,5661,47466,45835
maxABC (t),4965,4742,39719,38354
ABC (t),4965,4742,39719,38354
blank,NA,NA,NA,NA
Status,2023,2024,2023,2024
Overfishing,NA,NA,NA,NA
Overfished,NA,NA,NA,NA
Approaching overfished,NA,NA,NA,NA
