"","year","length","value","groups","Length","Year"
"1",1993,16,0.00211801,"obs","16","1993"
"2",1996,16,0.00337856,"obs","16","1996"
"3",1999,16,0.00149282,"obs","16","1999"
"4",2001,16,0.00187868,"obs","16","2001"
"5",2003,16,0.00480931,"obs","16","2003"
"6",2005,16,0.00117703,"obs","16","2005"
"7",2007,16,0.00176374,"obs","16","2007"
"8",2009,16,0.00310109,"obs","16","2009"
"9",2011,16,0.00156929,"obs","16","2011"
"10",2013,16,0.00141335,"obs","16","2013"
"11",2015,16,0.0019062,"obs","16","2015"
"12",2017,16,0.000274772,"obs","16","2017"
"13",2019,16,0.00664497,"obs","16","2019"
"14",2021,16,0.000339481,"obs","16","2021"
"15",2023,16,0.00135733,"obs","16","2023"
"16",1993,17,0.00117744,"obs","17","1993"
"17",1996,17,0.000599405,"obs","17","1996"
"18",1999,17,0.00160784,"obs","17","1999"
"19",2001,17,0.00572356,"obs","17","2001"
"20",2003,17,0.00321018,"obs","17","2003"
"21",2005,17,0.00246016,"obs","17","2005"
"22",2007,17,0.0037118,"obs","17","2007"
"23",2009,17,0.0112398,"obs","17","2009"
"24",2011,17,0.00198312,"obs","17","2011"
"25",2013,17,0.00292761,"obs","17","2013"
"26",2015,17,0.00227444,"obs","17","2015"
"27",2017,17,0.000894826,"obs","17","2017"
"28",2019,17,0.00641932,"obs","17","2019"
"29",2021,17,0.00134861,"obs","17","2021"
"30",2023,17,0.00349953,"obs","17","2023"
"31",1993,18,0.00177665,"obs","18","1993"
"32",1996,18,0.00102298,"obs","18","1996"
"33",1999,18,0.00192038,"obs","18","1999"
"34",2001,18,0.0186624,"obs","18","2001"
"35",2003,18,0.00778044,"obs","18","2003"
"36",2005,18,0.00715188,"obs","18","2005"
"37",2007,18,0.00479699,"obs","18","2007"
"38",2009,18,0.0263931,"obs","18","2009"
"39",2011,18,0.00685473,"obs","18","2011"
"40",2013,18,0.00452192,"obs","18","2013"
"41",2015,18,0.00325588,"obs","18","2015"
"42",2017,18,0.00123848,"obs","18","2017"
"43",2019,18,0.0114923,"obs","18","2019"
"44",2021,18,0.00287215,"obs","18","2021"
"45",2023,18,0.0081748,"obs","18","2023"
"46",1993,19,0.00433511,"obs","19","1993"
"47",1996,19,0.00243123,"obs","19","1996"
"48",1999,19,0.00321843,"obs","19","1999"
"49",2001,19,0.0182125,"obs","19","2001"
"50",2003,19,0.0139092,"obs","19","2003"
"51",2005,19,0.0113361,"obs","19","2005"
"52",2007,19,0.00605714,"obs","19","2007"
"53",2009,19,0.0351884,"obs","19","2009"
"54",2011,19,0.0114853,"obs","19","2011"
"55",2013,19,0.00625367,"obs","19","2013"
"56",2015,19,0.00489808,"obs","19","2015"
"57",2017,19,0.00231974,"obs","19","2017"
"58",2019,19,0.0228725,"obs","19","2019"
"59",2021,19,0.00342402,"obs","19","2021"
"60",2023,19,0.00859223,"obs","19","2023"
"61",1993,20,0.00698584,"obs","20","1993"
"62",1996,20,0.00294563,"obs","20","1996"
"63",1999,20,0.00480341,"obs","20","1999"
"64",2001,20,0.00892711,"obs","20","2001"
"65",2003,20,0.0168976,"obs","20","2003"
"66",2005,20,0.0132678,"obs","20","2005"
"67",2007,20,0.00630726,"obs","20","2007"
"68",2009,20,0.0273545,"obs","20","2009"
"69",2011,20,0.0143354,"obs","20","2011"
"70",2013,20,0.00823918,"obs","20","2013"
"71",2015,20,0.00967211,"obs","20","2015"
"72",2017,20,0.00474428,"obs","20","2017"
"73",2019,20,0.0283934,"obs","20","2019"
"74",2021,20,0.00558512,"obs","20","2021"
"75",2023,20,0.00392198,"obs","20","2023"
"76",1993,21,0.00845115,"obs","21","1993"
"77",1996,21,0.00416005,"obs","21","1996"
"78",1999,21,0.0102495,"obs","21","1999"
"79",2001,21,0.0088132,"obs","21","2001"
"80",2003,21,0.0125041,"obs","21","2003"
"81",2005,21,0.012892,"obs","21","2005"
"82",2007,21,0.00672939,"obs","21","2007"
"83",2009,21,0.0165119,"obs","21","2009"
"84",2011,21,0.00872697,"obs","21","2011"
"85",2013,21,0.0052584,"obs","21","2013"
"86",2015,21,0.0106284,"obs","21","2015"
"87",2017,21,0.00537029,"obs","21","2017"
"88",2019,21,0.0188626,"obs","21","2019"
"89",2021,21,0.00996258,"obs","21","2021"
"90",2023,21,0.00176108,"obs","21","2023"
"91",1993,22,0.00686293,"obs","22","1993"
"92",1996,22,0.00666678,"obs","22","1996"
"93",1999,22,0.0174307,"obs","22","1999"
"94",2001,22,0.00674432,"obs","22","2001"
"95",2003,22,0.0250933,"obs","22","2003"
"96",2005,22,0.0160242,"obs","22","2005"
"97",2007,22,0.00623274,"obs","22","2007"
"98",2009,22,0.00943715,"obs","22","2009"
"99",2011,22,0.00840037,"obs","22","2011"
"100",2013,22,0.00408811,"obs","22","2013"
"101",2015,22,0.00483411,"obs","22","2015"
"102",2017,22,0.00419892,"obs","22","2017"
"103",2019,22,0.00682194,"obs","22","2019"
"104",2021,22,0.0123678,"obs","22","2021"
"105",2023,22,0.00175626,"obs","22","2023"
"106",1993,23,0.00418868,"obs","23","1993"
"107",1996,23,0.00896406,"obs","23","1996"
"108",1999,23,0.0197777,"obs","23","1999"
"109",2001,23,0.0057106,"obs","23","2001"
"110",2003,23,0.0200788,"obs","23","2003"
"111",2005,23,0.0166914,"obs","23","2005"
"112",2007,23,0.00738598,"obs","23","2007"
"113",2009,23,0.00988825,"obs","23","2009"
"114",2011,23,0.01907,"obs","23","2011"
"115",2013,23,0.0063691,"obs","23","2013"
"116",2015,23,0.00363101,"obs","23","2015"
"117",2017,23,0.00358884,"obs","23","2017"
"118",2019,23,0.00485518,"obs","23","2019"
"119",2021,23,0.0128363,"obs","23","2021"
"120",2023,23,0.00281713,"obs","23","2023"
"121",1993,24,0.0050371,"obs","24","1993"
"122",1996,24,0.00946248,"obs","24","1996"
"123",1999,24,0.0169099,"obs","24","1999"
"124",2001,24,0.00418107,"obs","24","2001"
"125",2003,24,0.0180231,"obs","24","2003"
"126",2005,24,0.019106,"obs","24","2005"
"127",2007,24,0.011555,"obs","24","2007"
"128",2009,24,0.0129543,"obs","24","2009"
"129",2011,24,0.0385817,"obs","24","2011"
"130",2013,24,0.0133517,"obs","24","2013"
"131",2015,24,0.00802561,"obs","24","2015"
"132",2017,24,0.00572375,"obs","24","2017"
"133",2019,24,0.00803658,"obs","24","2019"
"134",2021,24,0.0107125,"obs","24","2021"
"135",2023,24,0.0085007,"obs","24","2023"
"136",1993,25,0.00819413,"obs","25","1993"
"137",1996,25,0.0135541,"obs","25","1996"
"138",1999,25,0.0174048,"obs","25","1999"
"139",2001,25,0.00450241,"obs","25","2001"
"140",2003,25,0.0130666,"obs","25","2003"
"141",2005,25,0.0207518,"obs","25","2005"
"142",2007,25,0.0130205,"obs","25","2007"
"143",2009,25,0.012598,"obs","25","2009"
"144",2011,25,0.0541039,"obs","25","2011"
"145",2013,25,0.0202968,"obs","25","2013"
"146",2015,25,0.0168211,"obs","25","2015"
"147",2017,25,0.00768919,"obs","25","2017"
"148",2019,25,0.0110059,"obs","25","2019"
"149",2021,25,0.00920934,"obs","25","2021"
"150",2023,25,0.0130012,"obs","25","2023"
"151",1993,26,0.0164911,"obs","26","1993"
"152",1996,26,0.012563,"obs","26","1996"
"153",1999,26,0.0128163,"obs","26","1999"
"154",2001,26,0.0054726,"obs","26","2001"
"155",2003,26,0.0161968,"obs","26","2003"
"156",2005,26,0.0197823,"obs","26","2005"
"157",2007,26,0.0140259,"obs","26","2007"
"158",2009,26,0.0161611,"obs","26","2009"
"159",2011,26,0.0554234,"obs","26","2011"
"160",2013,26,0.0226869,"obs","26","2013"
"161",2015,26,0.0240128,"obs","26","2015"
"162",2017,26,0.00988883,"obs","26","2017"
"163",2019,26,0.0152468,"obs","26","2019"
"164",2021,26,0.00815579,"obs","26","2021"
"165",2023,26,0.0216616,"obs","26","2023"
"166",1993,27,0.0234007,"obs","27","1993"
