"year","obs","pred"
1961,16000,16228
1962,65000,67504.7
1963,136300,143948
1964,243400,262031
1965,348600,370701
1966,200800,200703
1967,120000,119631
1968,100200,100431
1969,72600,72667.9
1970,44900,44905.9
1971,77500,77001.2
1972,77600,76617.3
1973,56400,55655.5
1974,51000,50562.6
1975,50400,50146.4
1976,45500,44982.7
1977,21600,21443.8
1978,8000,7992.68
1979,8300,8303.43
1980,10800,10823.3
1981,10500,10542.8
1982,5400,5418.39
1983,2821,2829.65
1984,2752,2760.77
1985,800,803.438
1986,2200,2207.32
1987,4500,4514.48
1988,8540,8572.06
1989,11780,11826.4
1990,13090,12966.8
1991,6548.13,6521.61
1992,6537.64,6512.92
1993,2059.76,2067.97
1994,1841.23,1849.12
1995,5740.72,5758.56
1996,8378.43,8433.71
1997,9518.82,9580.34
1998,8907.93,8955.83
1999,10473.1,10546
2000,10145.5,10203
2001,10817.1,10873.9
2002,11733.8,11775.4
2003,10846.3,10797.7
2004,11639.9,11572.1
2005,11247.5,11188.4
2006,13595.3,13497.8
2007,12954.8,12854.1
2008,12461.2,12374.5
2009,12986.4,12829.6
2010,15615.7,15391.7
2011,14223.6,13995.4
2012,14916,14677.3
2013,13181.4,13049.8
2014,17712.1,17474.7
2015,18732.8,18488.7
2016,23034.5,22683.5
2017,23860.2,23644.9
2018,24737,24509.1
2019,25470.3,25242.7
2020,25191.2,24973.8
2021,28899.9,28786.4
2022,29484,29358.5
2023,30380.7,30376.7
