"age","srv1","maturity"
2,44.3,0.00582685
3,98.3,0.0114661
4,166.7,0.0224397
5,242.5,0.0434541
6,320,0.0824876
7,395,0.151047
8,464.9,0.260416
9,528.2,0.410668
10,584.5,0.579665
11,633.8,0.731845
12,676.3,0.843778
13,712.7,0.914449
14,743.6,0.954861
15,769.7,0.97667
16,791.7,0.988074
17,810,0.993938
18,825.4,0.996928
19,838.1,0.998445
20,848.7,0.999214
21,857.5,0.999603
22,864.7,0.999799
23,870.8,0.999898
24,875.7,0.999949
25,879.8,0.999974
26,883.2,0.999987
27,886,0.999993
28,888.3,0.999997
29,894.6,0.999998
