
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 30.3807 30.3807 30.3807 30.3807 1.74083e-13 
2024  0 25.3018 27.0643 39.7186 39.7188 39.7189 39.7195 0.000312594 
2025  0 25.3018 27.0643 37.7366 37.7423 37.7438 37.756 0.00650638 
2026  0 25.3018 27.0643 35.7896 35.825 35.8315 35.9003 0.0362335 
2027  0 25.3018 27.0643 33.8745 33.9895 34.0102 34.2306 0.113969 
2028  0 25.3018 27.0643 32.0272 32.2957 32.3393 32.8324 0.259306 
2029  0 25.3018 27.0643 30.2395 30.7693 30.8421 31.7243 0.47814 
2030  0 25.3018 27.0643 28.6205 29.4337 29.5682 30.9849 0.761 
2031  0 25.3018 27.0643 27.1138 28.3103 28.5161 30.5345 1.08628 
2032  0 25.3018 27.0643 25.7776 27.4928 27.6941 30.2967 1.4262 
2033  0 25.3018 27.0643 24.6789 26.8915 27.068 30.2647 1.75349 
2034  0 25.3018 27.0643 23.7969 26.3972 26.6019 30.4063 2.07866 
2035  0 25.3018 27.0643 22.3975 26.0191 26.2314 30.2962 2.43004 
2036  0 25.3018 27.0643 21.3255 25.7498 25.9578 30.3397 2.75502 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.352 234.352 234.352 234.352 1.87583e-12 
2024 343.618 137.447 120.266 226.754 226.762 226.765 226.783 0.00952192 
2025 343.618 137.447 120.266 216.532 216.571 216.578 216.649 0.0384172 
2026 343.618 137.447 120.266 206.833 206.953 206.974 207.202 0.118301 
2027 343.618 137.447 120.266 197.219 197.532 197.586 198.176 0.308466 
2028 343.618 137.447 120.266 187.325 188.072 188.193 189.549 0.71156 
2029 343.618 137.447 120.266 177.337 178.903 179.136 181.992 1.47419 
2030 343.618 137.447 120.266 167.565 170.556 170.996 176.075 2.73848 
2031 343.618 137.447 120.266 158.535 163.489 164.278 172.973 4.52341 
