
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 30.3807 30.3807 30.3807 30.3807 1.74083e-13 
2024  0 25.3018 27.0643 31.454 31.454 31.454 31.454 7.07846e-10 
2025  0 25.3018 27.0643 29.89 29.89 29.89 29.89 1.35037e-08 
2026  0 25.3018 27.0643 36.9616 36.9972 37.004 37.0736 0.0366288 
2027  0 25.3018 27.0643 34.9224 35.0377 35.0585 35.2796 0.114336 
2028  0 25.3018 27.0643 32.954 33.223 33.2665 33.7603 0.259657 
2029  0 25.3018 27.0643 31.0504 31.5803 31.6533 32.5363 0.478483 
2030  0 25.3018 27.0643 29.3229 30.1363 30.2711 31.6889 0.761341 
2031  0 25.3018 27.0643 27.7168 28.9134 29.1195 31.1388 1.08662 
2032  0 25.3018 27.0643 26.2915 28.0072 28.2083 30.8118 1.42652 
2033  0 25.3018 27.0643 25.1136 27.3264 27.5029 30.7008 1.75379 
2034  0 25.3018 27.0643 24.1626 26.7632 26.9799 30.7735 2.05659 
2035  0 25.3018 27.0643 23.0635 26.3259 26.5724 30.6034 2.37623 
2036  0 25.3018 27.0643 21.8601 26.0065 26.2616 30.5978 2.69173 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.352 234.352 234.352 234.352 1.87583e-12 
2024 343.618 137.447 120.266 228.019 228.027 228.03 228.048 0.00955937 
2025 343.618 137.447 120.266 221.337 221.377 221.384 221.457 0.0392784 
2026 343.618 137.447 120.266 213.629 213.751 213.773 214.006 0.120499 
2027 343.618 137.447 120.266 203.387 203.701 203.755 204.349 0.310481 
2028 343.618 137.447 120.266 192.865 193.614 193.734 195.094 0.713444 
2029 343.618 137.447 120.266 182.265 183.831 184.065 186.921 1.47602 
2030 343.618 137.447 120.266 171.912 174.903 175.345 180.425 2.74036 
2031 343.618 137.447 120.266 162.344 167.302 168.09 176.791 4.52538 
2032 343.618 137.447 120.266 153.884 161.226 162.428 174.686 6.63169 
2033 343.618 137.447 120.266 146.427 156.986 158.192 173.978 8.73377 
2034 343.618 137.447 120.266 140.529 154.006 155.04 173.992 10.5804 
2035 343.618 137.447 120.266 135.844 151.243 152.676 173.943 12.0605 
2036 343.618 137.447 120.266 132.459 148.981 150.862 173.877 13.1661 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2023  0 0.0990105 0.119243 0.0727775 0.0727775 0.0727775 0.0727775 3.46945e-16 
2024  0 0.0990105 0.119243 0.0777692 0.0777706 0.0777704 0.0777711 6.25827e-07 
2025  0 0.0990105 0.119243 0.0764708 0.0764996 0.0764967 0.0765113 1.32906e-05 
2026  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2027  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2028  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2029  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2030  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2031  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2032  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2033  0 0.0990105 0.119243 0.0990105 0.0990105 0.0990105 0.0990105 7.07767e-16 
2034  0 0.0990105 0.119243 0.0990105 0.0990105 0.0989919 0.0990105 0.000177731 
2035  0 0.0990105 0.119243 0.0977951 0.0990105 0.0988243 0.0990105 0.000829546 
2036  0 0.0990105 0.119243 0.0952278 0.0990105 0.0985101 0.0990105 0.00154386 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2023 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2024 1785.64 465.616 428.615 646.756 649.268 650.027 655.738 2.97097 
2025 1785.64 465.616 428.615 620.865 627.755 628.753 641.063 6.51075 
2026 1785.64 465.616 428.615 596.258 607.984 610.049 630.064 11.0356 
2027 1785.64 465.616 428.615 565.602 582.626 585.787 616.173 16.2557 
2028 1785.64 465.616 428.615 536.904 562.192 565.212 604.496 21.7219 
2029 1785.64 465.616 428.615 512.218 545.924 548.15 596.773 27.0704 
2030 1785.64 465.616 428.615 490.187 531.022 534.368 591.741 31.9459 
2031 1785.64 465.616 428.615 472.668 519.152 523.435 588.141 36.3153 
2032 1785.64 465.616 428.615 457.512 509.474 514.764 583.552 39.991 
2033 1785.64 465.616 428.615 445.686 502.775 507.915 580.993 43.2538 
2034 1785.64 465.616 428.615 435.43 496.689 502.483 578.522 46.0679 
2035 1785.64 465.616 428.615 425.952 493.514 498.17 576.978 48.6145 
2036 1785.64 465.616 428.615 421.386 490.502 494.613 573.62 50.7545 
Alternative 2 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2023  0 25.3018 27.0643 30.3807 30.3807 30.3807 30.3807 1.74083e-13 
2024  0 25.3018 27.0643 31.454 31.454 31.454 31.454 7.07846e-10 
2025  0 25.3018 27.0643 29.89 29.89 29.89 29.89 1.35037e-08 
2026  0 25.3018 27.0643 36.9616 36.9972 37.004 37.0736 0.0366288 
2027  0 25.3018 27.0643 34.9224 35.0377 35.0585 35.2796 0.114336 
2028  0 25.3018 27.0643 32.954 33.223 33.2665 33.7603 0.259657 
2029  0 25.3018 27.0643 31.0504 31.5803 31.6533 32.5363 0.478483 
2030  0 25.3018 27.0643 29.3229 30.1363 30.2711 31.6889 0.761341 
2031  0 25.3018 27.0643 27.7168 28.9134 29.1195 31.1388 1.08662 
2032  0 25.3018 27.0643 26.2915 28.0072 28.2083 30.8118 1.42652 
2033  0 25.3018 27.0643 25.1136 27.3264 27.5029 30.7008 1.75379 
2034  0 25.3018 27.0643 24.1626 26.7632 26.9799 30.7735 2.05659 
2035  0 25.3018 27.0643 23.0635 26.3259 26.5724 30.6034 2.37623 
2036  0 25.3018 27.0643 21.8601 26.0065 26.2616 30.5978 2.69173 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2023 343.618 137.447 120.266 234.352 234.352 234.352 234.352 1.87583e-12 
2024 343.618 137.447 120.266 228.019 228.027 228.03 228.048 0.00955937 
2025 343.618 137.447 120.266 221.337 221.377 221.384 221.457 0.0392784 
2026 343.618 137.447 120.266 213.629 213.751 213.773 214.006 0.120499 
2027 343.618 137.447 120.266 203.387 203.701 203.755 204.349 0.310481 
2028 343.618 137.447 120.266 192.865 193.614 193.734 195.094 0.713444 
2029 343.618 137.447 120.266 182.265 183.831 184.065 186.921 1.47602 
2030 343.618 137.447 120.266 171.912 174.903 175.345 180.425 2.74036 
2031 343.618 137.447 120.266 162.344 167.302 168.09 176.791 4.52538 
2032 343.618 137.447 120.266 153.884 161.226 162.428 174.686 6.63169 
2033 343.618 137.447 120.266 146.427 156.986 158.192 173.978 8.73377 
2034 343.618 137.447 120.266 140.529 154.006 155.04 173.992 10.5804 
2035 343.618 137.447 120.266 135.844 151.243 152.676 173.943 12.0605 
